AsActive(cross4_fps) X,AsActive(cross4_fps) Y,BActive(cross4_fps) X,BActive(cross4_fps) Y
-1.2376208,0,-1.2376208,0
-1.2287291,0,-1.2287291,0
-1.2287291,0,-1.2287291,0
-1.2287291,1.0001399e+10,-1.2287291,1.0001399e+10
-1.2256552,1.0001399e+10,-1.2256552,1.0001399e+10
-1.2231401,1.0001399e+10,-1.2231401,1.0001399e+10
-1.2181098,1.0001399e+10,-1.2181098,1.0001399e+10
-1.2130795,1.0001399e+10,-1.2130795,1.0001399e+10
-1.2080492,1.0001399e+10,-1.2080492,1.0001399e+10
-1.1979887,1.0001399e+10,-1.1979887,1.0001399e+10
-1.1879281,1.0001399e+10,-1.1879281,1.0001399e+10
-1.1778676,1.0001399e+10,-1.1778676,1.0001399e+10
-1.167807,1.0001399e+10,-1.167807,1.0001399e+10
-1.1476859,1.0001399e+10,-1.1476859,1.0001399e+10
-1.1275648,1.0001399e+10,-1.1275648,1.0001399e+10
-1.0873226,1.0001399e+10,-1.0873226,1.0001399e+10
-1.0470804,1.0001399e+10,-1.0470804,1.0001399e+10
-1.0068382,1.0001399e+10,-1.0068382,1.0001399e+10
-0.92635384,1.0001399e+10,-0.92635384,1.0001399e+10
-0.84586944,1.0001399e+10,-0.84586944,1.0001399e+10
-0.80562724,1.0001399e+10,-0.80562724,1.0001399e+10
-0.76538504,1.0001399e+10,-0.76538504,1.0001399e+10
-0.72514284,1.0001399e+10,-0.72514284,1.0001399e+10
-0.70502174,1.0001399e+10,-0.70502174,1.0001399e+10
-0.68490064,1.0001399e+10,-0.68490064,1.0001399e+10
-0.67484009,1.0001399e+10,-0.67484009,1.0001399e+10
-0.66477954,1.0001399e+10,-0.66477954,1.0001399e+10
-0.65471899,1.0001399e+10,-0.65471899,1.0001399e+10
-0.64968871,1.0001399e+10,-0.64968871,1.00014e+10
-0.64465844,1.0002771e+10,-0.64465844,1.0002268e+10
-0.63962816,5.4621863e+10,-0.63962816,1.0426115e+10
-0.63459789,9.6920136e+14,-0.63459789,1.488032e+11
-0.63208275,3.9532119e+18,-0.63208275,8.6425744e+12
-0.62172074,4.1177557e+18,-0.62172074,5.1863656e+13
-0.61083113,3.7536908e+18,-0.61083113,1.4335516e+14
-0.6000749,3.4134752e+18,-0.6000749,2.5906146e+14
-0.58988822,3.1177785e+18,-0.58988822,3.8648251e+14
-0.57905666,2.8933482e+18,-0.57905666,4.9964421e+14
-0.56865185,2.7616791e+18,-0.56865185,5.7037605e+14
-0.55569649,1.8813351e+18,-0.55569649,1.4182785e+15
-0.55569649,0,-0.55569649,0
-0.55569649,3.6977372e+19,-0.55569649,8.5116931e+13
-0.55340724,3.6976541e+19,-0.55340724,1.0030211e+14
-0.54334528,3.6956206e+19,-0.54334528,1.4031304e+14
-0.52322136,3.6834162e+19,-0.52322136,1.7943241e+14
-0.50309745,3.6605261e+19,-0.50309745,2.0524854e+14
-0.48297353,3.6272282e+19,-0.48297353,2.2698185e+14
-0.4427257,3.5302072e+19,-0.4427257,2.6663695e+14
-0.40247787,3.3972128e+19,-0.40247787,3.0477633e+14
-0.36223004,3.2327477e+19,-0.36223004,3.4022904e+14
