AsActive(cross2_fps) X,AsActive(cross2_fps) Y,BActive(cross2_fps) X,BActive(cross2_fps) Y
-1.81311,0,-1.81311,0
-1.91321,0,-1.91321,0
-1.81311,0,-1.81311,0
-1.81311,0,-1.81311,0
-1.6740588,0,-1.6740588,0
-1.5544831,0,-1.5544831,0
-1.4349075,0,-1.4349075,0
-1.3153319,0,-1.3153319,0
-1.1957563,0,-1.1957563,0
-1.0761806,0,-1.0761806,0
-1.0163928,0,-1.0163928,0
-0.95660501,0,-0.95660501,0
-0.9267111,0,-0.9267111,0
-0.8968172,0,-0.8968172,0
-0.86692329,0,-0.86692329,0
-0.85197634,0,-0.85197634,0
-0.83702938,0,-0.83702938,0
-0.82208243,0,-0.82208243,0
-0.81311002,0,-0.81311002,0
-0.81311002,0,-0.81311002,0
-0.81311002,0,-0.81311002,0
-0.80713548,0,-0.80713548,0
-0.799662,0,-0.799662,0
-0.79592526,0,-0.79592526,0
-0.79311002,0,-0.79311002,0
-0.79311002,0,-0.79311002,0
-0.79311002,0,-0.79311002,0
-0.79032015,0,-0.79032015,0
-0.78811002,0,-0.78811002,0
-0.78811002,0,-0.78811002,0
-0.78811002,1.0001396e+10,-0.78811002,1.0001396e+10
-0.78658342,1.0001396e+10,-0.78658342,1.0001396e+10
-0.78471505,1.0001396e+10,-0.78471505,1.0001396e+10
-0.78097831,1.0001396e+10,-0.78097831,1.0001396e+10
-0.77724157,1.0001396e+10,-0.77724157,1.0001396e+10
-0.77350483,1.0001396e+10,-0.77350483,1.0001396e+10
-0.76976809,1.0001396e+10,-0.76976809,1.0001396e+10
-0.76229462,1.0001396e+10,-0.76229462,1.0001396e+10
-0.75482114,1.0001396e+10,-0.75482114,1.0001396e+10
-0.74734766,1.0001396e+10,-0.74734766,1.0001396e+10
-0.73240071,1.0001396e+10,-0.73240071,1.0001396e+10
-0.71745376,1.0001396e+10,-0.71745376,1.0001396e+10
-0.68755985,1.0001396e+10,-0.68755985,1.0001396e+10
-0.65766594,1.0001396e+10,-0.65766594,1.0001396e+10
-0.62777204,1.0001396e+10,-0.62777204,1.0001396e+10
-0.59787813,1.0001396e+10,-0.59787813,1.0001396e+10
-0.53809032,1.0001396e+10,-0.53809032,1.0001397e+10
-0.4783025,1.0001718e+10,-0.4783025,1.0055629e+10
-0.35872688,6.1631456e+12,-0.35872688,1.3596651e+13
-0.23915125,3.7398265e+19,-0.23915125,1.0839995e+18
-0.11957563,1.4495399e+20,-0.11957563,6.3142002e+18
-0.059787813,1.0409094e+19,-0.059787813,5.1103474e+18
-0.029893907,1.6301775e+17,-0.029893907,4.4706229e+18
-0.014946953,4.0366459e+12,-0.014946953,4.2068701e+18
-0.0074734766,1.4509966e+10,-0.0074734766,4.083787e+18
-0.0037367383,1.0151845e+10,-0.0037367383,4.0243007e+18
-0.0018683692,1.0001839e+10,-0.0018683692,3.9959443e+18
0,1e+10,0,3.9691275e+18
0.0009871922,1e+10,0.0009871922,3.9551064e+18
0.002028449,1e+10,0.002028449,3.9404875e+18
0.003126732,1e+10,0.003126732,3.9250679e+18
0.004285163,1e+10,0.004285163,3.9086595e+18
0.005507036,1e+10,0.005507036,3.8912447e+18
0.006795827,1e+10,0.006795827,3.872745e+18
0.0081552,1e+10,0.0081552,3.8521033e+18
0.009589021,1e+10,0.009589021,3.830331e+18
0.01110137,1e+10,0.01110137,3.8070045e+18
0.01269654,1e+10,0.01269654,3.7822341e+18
0.01437907,1e+10,0.01437907,3.7566027e+18
0.01615375,1e+10,0.01615375,3.7306349e+18
0.01802562,1e+10,0.01802562,3.703245e+18
0.02,1e+10,0.02,3.6776165e+18
0.02198433,1e+10,0.02198433,3.6518684e+18
0.02419341,1e+10,0.02419341,3.6240554e+18
