AsActive(cross3_fps) X,AsActive(cross3_fps) Y,BActive(cross3_fps) X,BActive(cross3_fps) Y
-0.97516006,0,-0.97516006,0
-0.80644505,0,-0.80644505,0
-0.67203754,0,-0.67203754,0
-0.53763003,0,-0.53763003,0
-0.40322252,0,-0.40322252,0
-0.26881502,0,-0.26881502,0
-0.20161126,0,-0.20161126,0
-0.13440751,0,-0.13440751,0
-0.10080563,0,-0.10080563,0
-0.067203754,0,-0.067203754,0
-0.033601877,0,-0.033601877,0
-0.016800938,0,-0.016800938,0
-0.0084004692,0,-0.0084004692,0
-0.0042002346,0,-0.0042002346,0
-0.0021001173,0,-0.0021001173,0
0,0,0,0
0.0009871922,0,0.0009871922,0
0.002028449,0,0.002028449,0
0.003126732,0,0.003126732,0
0.004285163,0,0.004285163,0
0.005507036,0,0.005507036,0
0.006795827,0,0.006795827,0
0.0081552,0,0.0081552,0
0.009589021,0,0.009589021,0
0.01110137,0,0.01110137,0
0.01269654,0,0.01269654,0
0.01437907,0,0.01437907,0
0.01615375,0,0.01615375,0
0.01802562,0,0.01802562,0
0.02,0,0.02,0
0.02198433,0,0.02198433,0
0.02483994,0,0.02483994,0
0.02483994,0,0.02483994,0
0.02483994,0,0.02483994,0
0.02665271,0,0.02665271,0
0.02939055,0,0.02939055,0
0.03243848,0,0.03243848,0
0.03583164,0,0.03583164,0
0.03960912,0,0.03960912,0
0.04381445,0,0.04381445,0
0.044839939,0,0.044839939,0
0.044839939,0,0.044839939,0
0.044839939,0,0.044839939,0
0.04615527,0,0.04615527,0
0.04849609,0,0.04849609,0
0.049839939,0,0.049839939,0
0.049839939,0,0.049839939,0
0.049839939,7.3776105e+19,0.049839939,3.6475244e+17
0.05110204,7.7804681e+19,0.05110204,3.8926995e+17
0.05370799,8.6122771e+19,0.05370799,4.39893e+17
0.0566091,8.8520819e+19,0.0566091,4.5547398e+17
0.05951021,9.0918867e+19,0.05951021,4.7105496e+17
0.06596961,9.3064706e+19,0.06596961,4.9958263e+17
0.07316063,9.4029857e+19,0.07316063,5.2423627e+17
0.08116612,9.4008151e+19,0.08116612,5.4698667e+17
0.09007834,9.2859852e+19,0.09007834,5.6990064e+17
0.1,9.0331983e+19,0.1,5.9112392e+17
0.1098905,8.6637391e+19,0.1098905,6.060439e+17
0.1199848,8.1771601e+19,0.1199848,6.1437265e+17
0.1302869,7.5775366e+19,0.1302869,6.1585012e+17
0.1408013,6.870495e+19,0.1408013,6.1014962e+17
0.1515322,6.0644598e+19,0.1515322,5.9643132e+17
0.1624841,5.1708823e+19,0.1624841,5.730072e+17
0.1736615,4.2043809e+19,0.1736615,5.3708745e+17
0.1850692,3.1844657e+19,0.1850692,4.8486817e+17
0.1967118,2.1430934e+19,0.1967118,4.1348385e+17
0.2085942,1.1508949e+19,0.2085942,3.2825914e+17
0.2207214,3.9340306e+18,0.2207214,2.6155785e+17
0.2330983,7.92809e+17,0.2330983,2.6542616e+17
0.2457301,1.3785953e+17,0.2457301,3.0992672e+17
0.2586221,3.6641867e+16,0.2586221,3.5813012e+17
0.2717796,1.9654043e+16,0.2717796,4.0222372e+17
0.2852081,1.443166e+16,0.2852081,4.4158567e+17
0.2989132,1.1314632e+16,0.2989132,4.7629038e+17
0.3129005,8.9985273e+15,0.3129005,5.0643252e+17
0.327176,7.2048298e+15,0.327176,5.3212761e+17
0.3417454,5.8001783e+15,0.3417454,5.5351858e+17
0.3566149,4.6926099e+15,0.3566149,5.7076993e+17
0.3717907,3.8140658e+15,0.3717907,5.8405624e+17
0.387279,3.1133495e+15,0.387279,5.9355266e+17
0.4030863,2.5515959e+15,0.4030863,5.9942751e+17
0.4192192,2.0990881e+15,0.4192192,6.0183699e+17
0.4356843,1.7329479e+15,0.4356843,6.0092296e+17
0.4524886,1.4354411e+15,0.4524886,5.9681334e+17
0.469639,1.192747e+15,0.469639,5.8962498e+17
0.4871426,9.9402899e+14,0.4871426,5.7946864e+17
0.5050067,8.3074563e+14,0.5050067,5.6645536e+17
0.5232387,6.9613208e+14,0.5232387,5.5070392e+17
0.5418462,5.8480451e+14,0.5418462,5.3234836e+17
0.560837,4.9245919e+14,0.560837,5.1154519e+17
0.5802189,4.1564153e+14,0.5802189,4.8847994e+17
0.6,3.5156423e+14,0.6,4.6337165e+17
0.6202349,2.9785704e+14,0.6202349,4.3641286e+17
0.6422276,2.5024209e+14,0.6422276,4.0607431e+17
0.6661307,2.0844559e+14,0.6661307,3.7240799e+17
0.6921102,1.7212899e+14,0.6921102,3.3565655e+17
0.7203465,1.4089983e+14,0.7203465,2.963081e+17
0.7510355,1.1432544e+14,0.7510355,2.5514251e+17
0.7843905,9.1948352e+13,0.7843905,2.1325229e+17
0.8206428,7.330276e+13,0.8206428,1.7202001e+17
0.8600443,5.7928151e+13,0.8600443,1.33026e+17
0.9028685,4.5381865e+13,0.9028685,9.7877876e+16
0.9494127,3.5248616e+13,0.9494127,6.796771e+16
1,2.7149466e+13,1,4.4204483e+16
1.049227,2.1313293e+13,1.049227,2.8211318e+16
1.101048,1.671684e+13,1.101048,1.7193469e+16
1.155599,1.3099742e+13,1.155599,1.0144001e+16
1.213024,1.0256291e+13,1.213024,5.9844913e+15
1.273474,8.0233237e+12,1.273474,3.7373405e+15
1.337109,6.271476e+12,1.337109,2.633608e+15
1.404097,4.8983727e+12,1.404097,2.1440313e+15
1.474614,3.8231042e+12,1.474614,1.9491107e+15
1.548846,2.981786e+12,1.548846,1.8798146e+15
1.62699,2.3240444e+12,1.62699,1.8579089e+15
1.70925,1.810238e+12,1.70925,1.851769e+15
1.795844,1.4091626e+12,1.795844,1.8502442e+15
1.887,1.0963097e+12,1.887,1.8499069e+15
1.982959,8.5243855e+11,1.982959,1.8498385e+15
2.083974,6.6246384e+11,2.083974,1.8498241e+15
2.19031,5.1456853e+11,2.19031,1.8498196e+15
2.302249,3.9949897e+11,2.302249,1.849817e+15
2.420085,3.1002141e+11,2.420085,1.8498151e+15
2.54413,2.4048125e+11,2.54413,1.8498135e+15
2.67471,1.8646465e+11,2.67471,1.8498122e+15
2.81217,1.4452688e+11,2.81217,1.849811e+15
2.956871,1.1198269e+11,2.956871,1.8498101e+15
3.109197,8.6739031e+10,3.109197,1.8498093e+15
3.269547,6.7166983e+10,3.269547,1.8498087e+15
3.438346,5.1998308e+10,3.438346,1.8498082e+15
3.616038,4.0247021e+10,3.616038,1.8498078e+15
3.803091,3.1147058e+10,3.803091,1.8498076e+15
4,2.4202531e+10,4,1.8498075e+15

