Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 24.6153 nA	 -17.3954 nA	 2.461530000 nA/um	 -1.739540000 nA/um	 -954.0000000 pS	 -95.40000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 24.5676 nA	 -17.4146 nA	 2.456760000 nA/um	 -1.741460000 nA/um	 -630.0000000 pS	 -63.00000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 24.5523 nA	 -17.3916 nA	 2.455230000 nA/um	 -1.739160000 nA/um	 -325.0000000 pS	 -32.50000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 24.5351 nA	 -17.3808 nA	 2.453510000 nA/um	 -1.738080000 nA/um	 26.00000000 pS	 2.600000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 24.5549 nA	 -17.3804 nA	 2.455490000 nA/um	 -1.738040000 nA/um	 251.0000000 pS	 25.10000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 24.5602 nA	 -17.4012 nA	 2.456020000 nA/um	 -1.740120000 nA/um	 -1.353000000 nS	 -135.3000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 24.4196 nA	 -17.2201 nA	 2.441960000 nA/um	 -1.722010000 nA/um	 -2.237000000 nS	 -223.7000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 24.3365 nA	 -17.2909 nA	 2.433650000 nA/um	 -1.729090000 nA/um	 -999.0000000 pS	 -99.90000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 24.3197 nA	 -17.3049 nA	 2.431970000 nA/um	 -1.730490000 nA/um	 116.0000000 pS	 11.60000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 24.3481 nA	 -17.2736 nA	 2.434810000 nA/um	 -1.727360000 nA/um	 734.0000000 pS	 73.40000000 pS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 24.3931 nA	 -17.3058 nA	 2.439310000 nA/um	 -1.730580000 nA/um	 658.0000000 pS	 65.80000000 pS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 24.4139 nA	 -17.3260 nA	 2.441390000 nA/um	 -1.732600000 nA/um	 288.0000000 pS	 28.80000000 pS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 24.4219 nA	 -17.3103 nA	 2.442190000 nA/um	 -1.731030000 nA/um	 567.0000000 pS	 56.70000000 pS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 24.4706 nA	 -17.3631 nA	 2.447060000 nA/um	 -1.736310000 nA/um	 644.0000000 pS	 64.40000000 pS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 24.4863 nA	 -17.3694 nA	 2.448630000 nA/um	 -1.736940000 nA/um	 -182.0000000 pS	 -18.20000000 pS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 24.4524 nA	 -17.2802 nA	 2.445240000 nA/um	 -1.728020000 nA/um	 -728.0000000 pS	 -72.80000000 pS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 24.4135 nA	 -17.3231 nA	 2.441350000 nA/um	 -1.732310000 nA/um	 684.0000000 pS	 68.40000000 pS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 24.5208 nA	 -17.3455 nA	 2.452080000 nA/um	 -1.734550000 nA/um	 934.0000000 pS	 93.40000000 pS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 24.5069 nA	 -17.3672 nA	 2.450690000 nA/um	 -1.736720000 nA/um	 -313.0000000 pS	 -31.30000000 pS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 24.4895 nA	 -17.4359 nA	 2.448950000 nA/um	 -1.743590000 nA/um	 502.0000000 pS	 50.20000000 pS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 24.5571 nA	 -17.3530 nA	 2.455710000 nA/um	 -1.735300000 nA/um	 418.0000000 pS	 41.80000000 pS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 24.5313 nA	 -17.3342 nA	 2.453130000 nA/um	 -1.733420000 nA/um	 -605.0000000 pS	 -60.50000000 pS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 24.4966 nA	 -17.4051 nA	 2.449660000 nA/um	 -1.740510000 nA/um	 -338.0000000 pS	 -33.80000000 pS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 24.4975 nA	 -17.4319 nA	 2.449750000 nA/um	 -1.743190000 nA/um	 41.00000000 pS	 4.100000000 pS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 24.5007 nA	 -17.3505 nA	 2.450070000 nA/um	 -1.735050000 nA/um	 282.0000000 pS	 28.20000000 pS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 24.5257 nA	 -17.3597 nA	 2.452570000 nA/um	 -1.735970000 nA/um	 121.0000000 pS	 12.10000000 pS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 24.5128 nA	 -17.3661 nA	 2.451280000 nA/um	 -1.736610000 nA/um	 270.0000000 pS	 27.00000000 pS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 24.5527 nA	 -17.3758 nA	 2.455270000 nA/um	 -1.737580000 nA/um	 309.0000000 pS	 30.90000000 pS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 24.5437 nA	 -17.4177 nA	 2.454370000 nA/um	 -1.741770000 nA/um	 -284.0000000 pS	 -28.40000000 pS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 24.5243 nA	 -17.4373 nA	 2.452430000 nA/um	 -1.743730000 nA/um	 -81.00000000 pS	 -8.100000000 pS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 24.5356 nA	 -17.4076 nA	 2.453560000 nA/um	 -1.740760000 nA/um	 227.0000000 pS	 22.70000000 pS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 24.5470 nA	 -17.3711 nA	 2.454700000 nA/um	 -1.737110000 nA/um	 123.0000000 pS	 12.30000000 pS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 24.5479 nA	 -17.3447 nA	 2.454790000 nA/um	 -1.734470000 nA/um	 -102.0000000 pS	 -10.20000000 pS/um
