Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 2.38704 uA	 -3.082 pA	 238.7040000 nA/um	 -308.2000000 fA/um	 -7.800000000 nS	 -780.0000000 pS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 2.38665 uA	 -2.933 pA	 238.6650000 nA/um	 -293.3000000 fA/um	 4.400000000 nS	 440.0000000 pS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 2.38748 uA	 -2.911 pA	 238.7480000 nA/um	 -291.1000000 fA/um	 11.70000000 nS	 1.170000000 nS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 2.38782 uA	 -2.897 pA	 238.7820000 nA/um	 -289.7000000 fA/um	 8.000000000 nS	 800.0000000 pS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 2.38828 uA	 -2.712 pA	 238.8280000 nA/um	 -271.2000000 fA/um	 5.900000000 nS	 590.0000000 pS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 2.38841 uA	 -2.867 pA	 238.8410000 nA/um	 -286.7000000 fA/um	 8.400000000 nS	 840.0000000 pS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 2.38912 uA	 -2.840 pA	 238.9120000 nA/um	 -284.0000000 fA/um	 15.40000000 nS	 1.540000000 nS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 2.38995 uA	 -2.818 pA	 238.9950000 nA/um	 -281.8000000 fA/um	 14.40000000 nS	 1.440000000 nS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 2.39056 uA	 -2.898 pA	 239.0560000 nA/um	 -289.8000000 fA/um	 4.400000000 nS	 440.0000000 pS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 2.39039 uA	 -2.798 pA	 239.0390000 nA/um	 -279.8000000 fA/um	 4.000000000 nS	 400.0000000 pS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 2.39096 uA	 -2.895 pA	 239.0960000 nA/um	 -289.5000000 fA/um	 8.100000000 nS	 810.0000000 pS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 2.39120 uA	 -2.858 pA	 239.1200000 nA/um	 -285.8000000 fA/um	 3.100000000 nS	 310.0000000 pS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 2.39127 uA	 -2.767 pA	 239.1270000 nA/um	 -276.7000000 fA/um	 6.500000000 nS	 650.0000000 pS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 2.39185 uA	 -3.028 pA	 239.1850000 nA/um	 -302.8000000 fA/um	 13.40000000 nS	 1.340000000 nS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 2.39261 uA	 -2.952 pA	 239.2610000 nA/um	 -295.2000000 fA/um	 12.40000000 nS	 1.240000000 nS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 2.39309 uA	 -2.912 pA	 239.3090000 nA/um	 -291.2000000 fA/um	 14.00000000 nS	 1.400000000 nS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 2.39401 uA	 -2.794 pA	 239.4010000 nA/um	 -279.4000000 fA/um	 13.30000000 nS	 1.330000000 nS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 2.39442 uA	 -3.008 pA	 239.4420000 nA/um	 -300.8000000 fA/um	 3.900000000 nS	 390.0000000 pS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 2.39440 uA	 -2.870 pA	 239.4400000 nA/um	 -287.0000000 fA/um	 10.00000000 nS	 1.000000000 nS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 2.39542 uA	 -2.903 pA	 239.5420000 nA/um	 -290.3000000 fA/um	 18.60000000 nS	 1.860000000 nS/um
