Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 1.0000 V	 0 V	 1.55956 nA	 -76.40000000 pS
2	 -450.0 mV	 0 V	 1.0000 V	 0 V	 1.55574 nA	 -31.50000000 pS
3	 -400.0 mV	 0 V	 1.0000 V	 0 V	 1.55641 nA	 -35.50000000 pS
4	 -350.0 mV	 0 V	 1.0000 V	 0 V	 1.55219 nA	 5.500000000 pS
5	 -300.0 mV	 0 V	 1.0000 V	 0 V	 1.55696 nA	 -73.70000000 pS
6	 -250.0 mV	 0 V	 1.0000 V	 0 V	 1.54482 nA	 -67.90000000 pS
7	 -200.0 mV	 0 V	 1.0000 V	 0 V	 1.55017 nA	 123.5000000 pS
8	 -150.0 mV	 0 V	 1.0000 V	 0 V	 1.55717 nA	 28.50000000 pS
9	 -100.0 mV	 0 V	 1.0000 V	 0 V	 1.55302 nA	 11.20000000 pS
10	 -50.0 mV	 0 V	 1.0000 V	 0 V	 1.55829 nA	 -58.10000000 pS
11	 0 V	 0 V	 1.0000 V	 0 V	 1.54721 nA	 -167.8000000 pS
12	 50.0 mV	 0 V	 1.0000 V	 0 V	 1.54151 nA	 -21.50000000 pS
13	 100.0 mV	 0 V	 1.0000 V	 0 V	 1.54506 nA	 107.4000000 pS
14	 150.0 mV	 0 V	 1.0000 V	 0 V	 1.55225 nA	 127.3000000 pS
15	 200.0 mV	 0 V	 1.0000 V	 0 V	 1.55779 nA	 51.30000000 pS
16	 250.0 mV	 0 V	 1.0000 V	 0 V	 1.55738 nA	 -26.10000000 pS
17	 300.0 mV	 0 V	 1.0000 V	 0 V	 1.55518 nA	 -67.50000000 pS
18	 350.0 mV	 0 V	 1.0000 V	 0 V	 1.55063 nA	 -81.60000000 pS
19	 400.0 mV	 0 V	 1.0000 V	 0 V	 1.54702 nA	 -43.90000000 pS
20	 450.0 mV	 0 V	 1.0000 V	 0 V	 1.54624 nA	 84.80000000 pS
21	 500.0 mV	 0 V	 1.0000 V	 0 V	 1.55550 nA	 161.7000000 pS
22	 550.0 mV	 0 V	 1.0000 V	 0 V	 1.56241 nA	 -17.50000000 pS
23	 600.0 mV	 0 V	 1.0000 V	 0 V	 1.55375 nA	 -7.100000000 pS
24	 650.0 mV	 0 V	 1.0000 V	 0 V	 1.56170 nA	 112.5000000 pS
25	 700.0 mV	 0 V	 1.0000 V	 0 V	 1.56500 nA	 297.7000000 pS
26	 750.0 mV	 0 V	 1.0000 V	 0 V	 1.59147 nA	 755.4000000 pS
27	 800.0 mV	 0 V	 1.0000 V	 0 V	 1.64054 nA	 2.126900000 nS
28	 850.0 mV	 0 V	 1.0000 V	 0 V	 1.80416 nA	 5.514200000 nS
29	 900.0 mV	 0 V	 1.0000 V	 0 V	 2.19196 nA	 14.36680000 nS
