Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 1.0000 V	 0 V	 232.133 pA	 -103.2600000 pS
2	 -450.0 mV	 0 V	 1.0000 V	 0 V	 226.970 pA	 -44.84000000 pS
3	 -400.0 mV	 0 V	 1.0000 V	 0 V	 227.649 pA	 -2.740000000 pS
4	 -350.0 mV	 0 V	 1.0000 V	 0 V	 226.696 pA	 -9.640000000 pS
5	 -300.0 mV	 0 V	 1.0000 V	 0 V	 226.685 pA	 17.18000000 pS
6	 -250.0 mV	 0 V	 1.0000 V	 0 V	 228.414 pA	 -1.220000000 pS
7	 -200.0 mV	 0 V	 1.0000 V	 0 V	 226.563 pA	 -60.71000000 pS
8	 -150.0 mV	 0 V	 1.0000 V	 0 V	 222.343 pA	 30.11000000 pS
9	 -100.0 mV	 0 V	 1.0000 V	 0 V	 229.574 pA	 9.250000000 pS
10	 -50.0 mV	 0 V	 1.0000 V	 0 V	 223.268 pA	 -42.62000000 pS
11	 0 V	 0 V	 1.0000 V	 0 V	 225.312 pA	 15.68000000 pS
12	 50.0 mV	 0 V	 1.0000 V	 0 V	 224.836 pA	 13.30000000 pS
13	 100.0 mV	 0 V	 1.0000 V	 0 V	 226.642 pA	 25.93000000 pS
14	 150.0 mV	 0 V	 1.0000 V	 0 V	 227.429 pA	 -17.91000000 pS
15	 200.0 mV	 0 V	 1.0000 V	 0 V	 224.851 pA	 -59.73000000 pS
16	 250.0 mV	 0 V	 1.0000 V	 0 V	 221.456 pA	 -19.64000000 pS
17	 300.0 mV	 0 V	 1.0000 V	 0 V	 222.887 pA	 38.51000000 pS
18	 350.0 mV	 0 V	 1.0000 V	 0 V	 225.307 pA	 42.86000000 pS
19	 400.0 mV	 0 V	 1.0000 V	 0 V	 227.173 pA	 1.690000000 pS
20	 450.0 mV	 0 V	 1.0000 V	 0 V	 225.476 pA	 24.72000000 pS
21	 500.0 mV	 0 V	 1.0000 V	 0 V	 229.645 pA	 -43.39000000 pS
22	 550.0 mV	 0 V	 1.0000 V	 0 V	 221.137 pA	 14.22000000 pS
23	 600.0 mV	 0 V	 1.0000 V	 0 V	 231.067 pA	 53.84000000 pS
24	 650.0 mV	 0 V	 1.0000 V	 0 V	 226.521 pA	 56.36000000 pS
25	 700.0 mV	 0 V	 1.0000 V	 0 V	 236.703 pA	 278.9900000 pS
26	 750.0 mV	 0 V	 1.0000 V	 0 V	 254.420 pA	 511.4600000 pS
27	 800.0 mV	 0 V	 1.0000 V	 0 V	 287.849 pA	 1.280980000 nS
28	 850.0 mV	 0 V	 1.0000 V	 0 V	 382.518 pA	 3.465410000 nS
29	 900.0 mV	 0 V	 1.0000 V	 0 V	 634.39 pA	 8.989120000 nS
30	 950.0 mV	 0 V	 1.0000 V	 0 V	 1.28143 nA	 21.77510000 nS
31	 1.0000 V	 0 V	 1.0000 V	 0 V	 2.8119 nA	 54.94970000 nS
32	 1.0500 V	 0 V	 1.0000 V	 0 V	 6.7764 nA	 142.5950000 nS
33	 1.1000 V	 0 V	 1.0000 V	 0 V	 17.0714 nA	 345.3660000 nS
34	 1.1500 V	 0 V	 1.0000 V	 0 V	 41.313 nA	 819.9760000 nS
35	 1.2000 V	 0 V	 1.0000 V	 0 V	 99.069 nA	 1.729590000 uS
36	 1.2500 V	 0 V	 1.0000 V	 0 V	 214.272 nA	 3.408510000 uS
37	 1.3000 V	 0 V	 1.0000 V	 0 V	 439.92 nA	 6.485880000 uS
38	 1.3500 V	 0 V	 1.0000 V	 0 V	 862.86 nA	 10.63370000 uS
39	 1.4000 V	 0 V	 1.0000 V	 0 V	 1.50329 uA	 16.10810000 uS
40	 1.4500 V	 0 V	 1.0000 V	 0 V	 2.47367 uA	 23.54260000 uS
41	 1.5000 V	 0 V	 1.0000 V	 0 V	 3.85755 uA	 31.71640000 uS
42	 1.5500 V	 0 V	 1.0000 V	 0 V	 5.64531 uA	 40.54450000 uS
43	 1.6000 V	 0 V	 1.0000 V	 0 V	 7.9120 uA	 49.36490000 uS
44	 1.6500 V	 0 V	 1.0000 V	 0 V	 10.5818 uA	 62.54100000 uS
45	 1.7000 V	 0 V	 1.0000 V	 0 V	 14.1661 uA	 73.78700000 uS
46	 1.7500 V	 0 V	 1.0000 V	 0 V	 17.9605 uA	 80.80000000 uS
47	 1.8000 V	 0 V	 1.0000 V	 0 V	 22.2461 uA	 92.00100000 uS
48	 1.8500 V	 0 V	 1.0000 V	 0 V	 27.1606 uA	 105.8070000 uS
49	 1.9000 V	 0 V	 1.0000 V	 0 V	 32.8268 uA	 114.9950000 uS
50	 1.9500 V	 0 V	 1.0000 V	 0 V	 38.6601 uA	 123.6780000 uS
51	 2.0000 V	 0 V	 1.0000 V	 0 V	 45.1946 uA	 136.1400000 uS
52	 2.0500 V	 0 V	 1.0000 V	 0 V	 52.2741 uA	 144.0140000 uS
53	 2.1000 V	 0 V	 1.0000 V	 0 V	 59.5960 uA	 142.9400000 uS
54	 2.1500 V	 0 V	 1.0000 V	 0 V	 66.5681 uA	 152.9810000 uS
55	 2.2000 V	 0 V	 1.0000 V	 0 V	 74.8941 uA	 164.7080000 uS
