Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
318	 2.0000 V	 0 V	 1.5850 V	 0 V	 22.8110 uA	 2.281100000 uA/um
319	 2.0000 V	 0 V	 1.5900 V	 0 V	 22.2460 uA	 2.224600000 uA/um
320	 2.0000 V	 0 V	 1.5950 V	 0 V	 23.8480 uA	 2.384800000 uA/um
321	 2.0000 V	 0 V	 1.6000 V	 0 V	 23.4770 uA	 2.347700000 uA/um
322	 2.0000 V	 0 V	 1.6050 V	 0 V	 21.5080 uA	 2.150800000 uA/um
323	 2.0000 V	 0 V	 1.6100 V	 0 V	 23.1970 uA	 2.319700000 uA/um
324	 2.0000 V	 0 V	 1.6150 V	 0 V	 24.0090 uA	 2.400900000 uA/um
325	 2.0000 V	 0 V	 1.6200 V	 0 V	 22.5180 uA	 2.251800000 uA/um
326	 2.0000 V	 0 V	 1.6250 V	 0 V	 22.5480 uA	 2.254800000 uA/um
327	 2.0000 V	 0 V	 1.6300 V	 0 V	 24.1520 uA	 2.415200000 uA/um
328	 2.0000 V	 0 V	 1.6350 V	 0 V	 23.4820 uA	 2.348200000 uA/um
329	 2.0000 V	 0 V	 1.6400 V	 0 V	 21.5610 uA	 2.156100000 uA/um
330	 2.0000 V	 0 V	 1.6450 V	 0 V	 23.5350 uA	 2.353500000 uA/um
331	 2.0000 V	 0 V	 1.6500 V	 0 V	 25.1470 uA	 2.514700000 uA/um
332	 2.0000 V	 0 V	 1.6550 V	 0 V	 23.5590 uA	 2.355900000 uA/um
333	 2.0000 V	 0 V	 1.6600 V	 0 V	 21.8960 uA	 2.189600000 uA/um
334	 2.0000 V	 0 V	 1.6650 V	 0 V	 23.9650 uA	 2.396500000 uA/um
335	 2.0000 V	 0 V	 1.6700 V	 0 V	 24.2390 uA	 2.423900000 uA/um
336	 2.0000 V	 0 V	 1.6750 V	 0 V	 23.3420 uA	 2.334200000 uA/um
337	 2.0000 V	 0 V	 1.6800 V	 0 V	 21.9310 uA	 2.193100000 uA/um
338	 2.0000 V	 0 V	 1.6850 V	 0 V	 24.3210 uA	 2.432100000 uA/um
339	 2.0000 V	 0 V	 1.6900 V	 0 V	 24.1240 uA	 2.412400000 uA/um
340	 2.0000 V	 0 V	 1.6950 V	 0 V	 23.0390 uA	 2.303900000 uA/um
341	 2.0000 V	 0 V	 1.7000 V	 0 V	 23.0470 uA	 2.304700000 uA/um
342	 2.0000 V	 0 V	 1.7050 V	 0 V	 24.3220 uA	 2.432200000 uA/um
343	 2.0000 V	 0 V	 1.7100 V	 0 V	 24.3470 uA	 2.434700000 uA/um
344	 2.0000 V	 0 V	 1.7150 V	 0 V	 23.2020 uA	 2.320200000 uA/um
345	 2.0000 V	 0 V	 1.7200 V	 0 V	 23.5440 uA	 2.354400000 uA/um
346	 2.0000 V	 0 V	 1.7250 V	 0 V	 24.4530 uA	 2.445300000 uA/um
347	 2.0000 V	 0 V	 1.7300 V	 0 V	 24.2380 uA	 2.423800000 uA/um
348	 2.0000 V	 0 V	 1.7350 V	 0 V	 23.2390 uA	 2.323900000 uA/um
349	 2.0000 V	 0 V	 1.7400 V	 0 V	 23.4130 uA	 2.341300000 uA/um
350	 2.0000 V	 0 V	 1.7450 V	 0 V	 24.5900 uA	 2.459000000 uA/um
351	 2.0000 V	 0 V	 1.7500 V	 0 V	 23.8420 uA	 2.384200000 uA/um
352	 2.0000 V	 0 V	 1.7550 V	 0 V	 23.5010 uA	 2.350100000 uA/um
353	 2.0000 V	 0 V	 1.7600 V	 0 V	 24.5500 uA	 2.455000000 uA/um
