Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 266.360 nA	 26.63600000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 10.4930 uA	 1.049300000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 17.4730 uA	 1.747300000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 30.8900 uA	 3.089000000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 43.0710 uA	 4.307100000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 44.8870 uA	 4.488700000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 54.5150 uA	 5.451500000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 74.8140 uA	 7.481400000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 81.0900 uA	 8.109000000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 75.0650 uA	 7.506500000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 95.8430 uA	 9.584300000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 112.3770 uA	 11.23770000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 97.5020 uA	 9.750200000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 111.0270 uA	 11.10270000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 137.970 uA	 13.79700000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 118.590 uA	 11.85900000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 137.750 uA	 13.77500000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 167.540 uA	 16.75400000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 152.780 uA	 15.27800000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 145.350 uA	 14.53500000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 194.650 uA	 19.46500000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 187.610 uA	 18.76100000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 162.050 uA	 16.20500000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 192.160 uA	 19.21600000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 222.000 uA	 22.20000000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 200.300 uA	 20.03000000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 180.960 uA	 18.09600000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 218.300 uA	 21.83000000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 250.960 uA	 25.09600000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 202.590 uA	 20.25900000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 214.060 uA	 21.40600000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 271.420 uA	 27.14200000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 245.180 uA	 24.51800000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 213.530 uA	 21.35300000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 257.700 uA	 25.77000000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 291.730 uA	 29.17300000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 266.740 uA	 26.67400000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 230.590 uA	 23.05900000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 274.970 uA	 27.49700000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 316.010 uA	 31.60100000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 263.080 uA	 26.30800000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 254.880 uA	 25.48800000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 331.320 uA	 33.13200000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 295.630 uA	 29.56300000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 252.960 uA	 25.29600000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 320.380 uA	 32.03800000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 334.930 uA	 33.49300000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 287.840 uA	 28.78400000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 267.170 uA	 26.71700000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 363.720 uA	 36.37200000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 336.040 uA	 33.60400000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 270.130 uA	 27.01300000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 322.260 uA	 32.22600000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 369.120 uA	 36.91200000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 337.020 uA	 33.70200000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 284.020 uA	 28.40200000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 345.940 uA	 34.59400000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 371.870 uA	 37.18700000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 293.560 uA	 29.35600000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 311.750 uA	 31.17500000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 390.190 uA	 39.01900000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 361.290 uA	 36.12900000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 294.290 uA	 29.42900000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 362.400 uA	 36.24000000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 388.570 uA	 38.85700000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 314.880 uA	 31.48800000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 319.830 uA	 31.98300000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 411.050 uA	 41.10500000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 384.500 uA	 38.45000000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 302.560 uA	 30.25600000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 338.100 uA	 33.81000000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 417.290 uA	 41.72900000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 384.660 uA	 38.46600000 uA/um
