Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 34.0870 nA	 3.408700000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 915.870 nA	 91.58700000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 2.28910 uA	 228.9100000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 1.82190 uA	 182.1900000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 4.56120 uA	 456.1200000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 6.33510 uA	 633.5100000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 3.87820 uA	 387.8200000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 5.84020 uA	 584.0200000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 10.84200 uA	 1.084200000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 5.53220 uA	 553.2200000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 8.02920 uA	 802.9200000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 9.2160 uA	 921.6000000 nA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 14.9310 uA	 1.493100000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 7.0270 uA	 702.7000000 nA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 14.7200 uA	 1.472000000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 17.7530 uA	 1.775300000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 9.3920 uA	 939.2000000 nA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 12.4570 uA	 1.245700000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 22.8010 uA	 2.280100000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 13.8300 uA	 1.383000000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 11.1360 uA	 1.113600000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 24.9060 uA	 2.490600000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 23.6660 uA	 2.366600000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 12.9590 uA	 1.295900000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 15.9540 uA	 1.595400000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 30.3210 uA	 3.032100000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 25.3190 uA	 2.531900000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 11.8910 uA	 1.189100000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 27.6010 uA	 2.760100000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 29.3950 uA	 2.939500000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 14.0790 uA	 1.407900000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 19.9490 uA	 1.994900000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 36.1520 uA	 3.615200000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 26.6090 uA	 2.660900000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 13.2890 uA	 1.328900000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 21.9510 uA	 2.195100000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 40.4230 uA	 4.042300000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 26.9330 uA	 2.693300000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 14.0110 uA	 1.401100000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 24.1050 uA	 2.410500000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 42.8880 uA	 4.288800000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 19.5830 uA	 1.958300000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 21.7080 uA	 2.170800000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 44.5480 uA	 4.454800000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 26.3900 uA	 2.639000000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 15.9650 uA	 1.596500000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 36.0220 uA	 3.602200000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 44.8490 uA	 4.484900000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 27.3070 uA	 2.730700000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 16.1360 uA	 1.613600000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 44.4670 uA	 4.446700000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 38.8770 uA	 3.887700000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 15.0240 uA	 1.502400000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 31.0920 uA	 3.109200000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 46.9750 uA	 4.697500000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 21.4540 uA	 2.145400000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 17.5840 uA	 1.758400000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 49.0850 uA	 4.908500000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 41.3020 uA	 4.130200000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 18.9480 uA	 1.894800000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 20.6550 uA	 2.065500000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 52.4920 uA	 5.249200000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 27.0770 uA	 2.707700000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 18.1670 uA	 1.816700000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 50.5290 uA	 5.052900000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 44.9080 uA	 4.490800000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 20.9700 uA	 2.097000000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 20.6110 uA	 2.061100000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 55.7810 uA	 5.578100000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 35.2960 uA	 3.529600000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 17.1650 uA	 1.716500000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 49.1780 uA	 4.917800000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 44.8930 uA	 4.489300000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 20.7040 uA	 2.070400000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 27.3640 uA	 2.736400000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 56.8540 uA	 5.685400000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 41.4210 uA	 4.142100000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 17.4500 uA	 1.745000000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 31.3670 uA	 3.136700000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 56.5810 uA	 5.658100000 uA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 38.6330 uA	 3.863300000 uA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 21.6900 uA	 2.169000000 uA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 57.5060 uA	 5.750600000 uA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 37.2890 uA	 3.728900000 uA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 17.8830 uA	 1.788300000 uA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 50.3440 uA	 5.034400000 uA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 47.2770 uA	 4.727700000 uA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 17.7450 uA	 1.774500000 uA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 31.7520 uA	 3.175200000 uA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 58.1020 uA	 5.810200000 uA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 40.1630 uA	 4.016300000 uA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 17.8720 uA	 1.787200000 uA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 27.9850 uA	 2.798500000 uA/um
