Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 366.937 uA	 -1.34655 nA	 36.69370000 uA/um	 -134.6550000 pA/um	 260.0000000 nS	 26.00000000 nS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 366.950 uA	 -1.34613 nA	 36.69500000 uA/um	 -134.6130000 pA/um	 210.0000000 nS	 21.00000000 nS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 366.958 uA	 -1.34570 nA	 36.69580000 uA/um	 -134.5700000 pA/um	 210.0000000 nS	 21.00000000 nS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 366.971 uA	 -1.34660 nA	 36.69710000 uA/um	 -134.6600000 pA/um	 240.0000000 nS	 24.00000000 nS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 366.982 uA	 -1.34635 nA	 36.69820000 uA/um	 -134.6350000 pA/um	 120.0000000 nS	 12.00000000 nS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 366.983 uA	 -1.34578 nA	 36.69830000 uA/um	 -134.5780000 pA/um	 140.0000000 nS	 14.00000000 nS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 366.996 uA	 -1.34655 nA	 36.69960000 uA/um	 -134.6550000 pA/um	 260.0000000 nS	 26.00000000 nS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 367.009 uA	 -1.34614 nA	 36.70090000 uA/um	 -134.6140000 pA/um	 190.0000000 nS	 19.00000000 nS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 367.015 uA	 -1.34645 nA	 36.70150000 uA/um	 -134.6450000 pA/um	 160.0000000 nS	 16.00000000 nS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 367.025 uA	 -1.34547 nA	 36.70250000 uA/um	 -134.5470000 pA/um	 250.0000000 nS	 25.00000000 nS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 367.040 uA	 -1.34523 nA	 36.70400000 uA/um	 -134.5230000 pA/um	 200.0000000 nS	 20.00000000 nS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 367.045 uA	 -1.34419 nA	 36.70450000 uA/um	 -134.4190000 pA/um	 170.0000000 nS	 17.00000000 nS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 367.057 uA	 -1.34548 nA	 36.70570000 uA/um	 -134.5480000 pA/um	 190.0000000 nS	 19.00000000 nS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 367.064 uA	 -1.34629 nA	 36.70640000 uA/um	 -134.6290000 pA/um	 190.0000000 nS	 19.00000000 nS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 367.076 uA	 -1.34671 nA	 36.70760000 uA/um	 -134.6710000 pA/um	 280.0000000 nS	 28.00000000 nS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 367.092 uA	 -1.34604 nA	 36.70920000 uA/um	 -134.6040000 pA/um	 200.0000000 nS	 20.00000000 nS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 367.096 uA	 -1.34531 nA	 36.70960000 uA/um	 -134.5310000 pA/um	 130.0000000 nS	 13.00000000 nS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 367.105 uA	 -1.34604 nA	 36.71050000 uA/um	 -134.6040000 pA/um	 290.0000000 nS	 29.00000000 nS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 367.125 uA	 -1.34654 nA	 36.71250000 uA/um	 -134.6540000 pA/um	 230.0000000 nS	 23.00000000 nS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 367.128 uA	 -1.34700 nA	 36.71280000 uA/um	 -134.7000000 pA/um	 190.0000000 nS	 19.00000000 nS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 367.144 uA	 -1.34632 nA	 36.71440000 uA/um	 -134.6320000 pA/um	 260.0000000 nS	 26.00000000 nS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 367.154 uA	 -1.34713 nA	 36.71540000 uA/um	 -134.7130000 pA/um	 240.0000000 nS	 24.00000000 nS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 367.168 uA	 -1.34666 nA	 36.71680000 uA/um	 -134.6660000 pA/um	 270.0000000 nS	 27.00000000 nS/um
