Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
6690	 3.0000 V	 0 V	 3.4150 V	 0 V	 70.6890 uA	 7.068900000 uA/um
6691	 3.0000 V	 0 V	 3.4200 V	 0 V	 70.7460 uA	 7.074600000 uA/um
6692	 3.0000 V	 0 V	 3.4250 V	 0 V	 70.7940 uA	 7.079400000 uA/um
6693	 3.0000 V	 0 V	 3.4300 V	 0 V	 70.8230 uA	 7.082300000 uA/um
6694	 3.0000 V	 0 V	 3.4350 V	 0 V	 70.8720 uA	 7.087200000 uA/um
6695	 3.0000 V	 0 V	 3.4400 V	 0 V	 70.9270 uA	 7.092700000 uA/um
6696	 3.0000 V	 0 V	 3.4450 V	 0 V	 70.9840 uA	 7.098400000 uA/um
6697	 3.0000 V	 0 V	 3.4500 V	 0 V	 70.9980 uA	 7.099800000 uA/um
6698	 3.0000 V	 0 V	 3.4550 V	 0 V	 71.0520 uA	 7.105200000 uA/um
6699	 3.0000 V	 0 V	 3.4600 V	 0 V	 71.1060 uA	 7.110600000 uA/um
6700	 3.0000 V	 0 V	 3.4650 V	 0 V	 71.1350 uA	 7.113500000 uA/um
6701	 3.0000 V	 0 V	 3.4700 V	 0 V	 71.1780 uA	 7.117800000 uA/um
6702	 3.0000 V	 0 V	 3.4750 V	 0 V	 71.2290 uA	 7.122900000 uA/um
6703	 3.0000 V	 0 V	 3.4800 V	 0 V	 71.2760 uA	 7.127600000 uA/um
6704	 3.0000 V	 0 V	 3.4850 V	 0 V	 71.3140 uA	 7.131400000 uA/um
6705	 3.0000 V	 0 V	 3.4900 V	 0 V	 71.3480 uA	 7.134800000 uA/um
6706	 3.0000 V	 0 V	 3.4950 V	 0 V	 71.4100 uA	 7.141000000 uA/um
6707	 3.0000 V	 0 V	 3.5000 V	 0 V	 71.4440 uA	 7.144400000 uA/um
6708	 3.0000 V	 0 V	 3.5050 V	 0 V	 71.4860 uA	 7.148600000 uA/um
6709	 3.0000 V	 0 V	 3.5100 V	 0 V	 71.5370 uA	 7.153700000 uA/um
6710	 3.0000 V	 0 V	 3.5150 V	 0 V	 71.5840 uA	 7.158400000 uA/um
6711	 3.0000 V	 0 V	 3.5200 V	 0 V	 71.6200 uA	 7.162000000 uA/um
6712	 3.0000 V	 0 V	 3.5250 V	 0 V	 71.6710 uA	 7.167100000 uA/um
6713	 3.0000 V	 0 V	 3.5300 V	 0 V	 71.7240 uA	 7.172400000 uA/um
6714	 3.0000 V	 0 V	 3.5350 V	 0 V	 71.7560 uA	 7.175600000 uA/um
6715	 3.0000 V	 0 V	 3.5400 V	 0 V	 71.7990 uA	 7.179900000 uA/um
6716	 3.0000 V	 0 V	 3.5450 V	 0 V	 71.8580 uA	 7.185800000 uA/um
6717	 3.0000 V	 0 V	 3.5500 V	 0 V	 71.9110 uA	 7.191100000 uA/um
6718	 3.0000 V	 0 V	 3.5550 V	 0 V	 71.9450 uA	 7.194500000 uA/um
6719	 3.0000 V	 0 V	 3.5600 V	 0 V	 71.9910 uA	 7.199100000 uA/um
6720	 3.0000 V	 0 V	 3.5650 V	 0 V	 72.0480 uA	 7.204800000 uA/um
6721	 3.0000 V	 0 V	 3.5700 V	 0 V	 72.0850 uA	 7.208500000 uA/um
6722	 3.0000 V	 0 V	 3.5750 V	 0 V	 72.1260 uA	 7.212600000 uA/um
6723	 3.0000 V	 0 V	 3.5800 V	 0 V	 72.1790 uA	 7.217900000 uA/um
6724	 3.0000 V	 0 V	 3.5850 V	 0 V	 72.2310 uA	 7.223100000 uA/um
6725	 3.0000 V	 0 V	 3.5900 V	 0 V	 72.2620 uA	 7.226200000 uA/um
6726	 3.0000 V	 0 V	 3.5950 V	 0 V	 72.3110 uA	 7.231100000 uA/um
6727	 3.0000 V	 0 V	 3.6000 V	 0 V	 72.3650 uA	 7.236500000 uA/um
6728	 3.0000 V	 0 V	 3.6050 V	 0 V	 72.4030 uA	 7.240300000 uA/um
6729	 3.0000 V	 0 V	 3.6100 V	 0 V	 72.4460 uA	 7.244600000 uA/um
6730	 3.0000 V	 0 V	 3.6150 V	 0 V	 72.4970 uA	 7.249700000 uA/um
6731	 3.0000 V	 0 V	 3.6200 V	 0 V	 72.5540 uA	 7.255400000 uA/um
6732	 3.0000 V	 0 V	 3.6250 V	 0 V	 72.5890 uA	 7.258900000 uA/um
6733	 3.0000 V	 0 V	 3.6300 V	 0 V	 72.6310 uA	 7.263100000 uA/um
6734	 3.0000 V	 0 V	 3.6350 V	 0 V	 72.6870 uA	 7.268700000 uA/um
6735	 3.0000 V	 0 V	 3.6400 V	 0 V	 72.7410 uA	 7.274100000 uA/um
6736	 3.0000 V	 0 V	 3.6450 V	 0 V	 72.7810 uA	 7.278100000 uA/um
6737	 3.0000 V	 0 V	 3.6500 V	 0 V	 72.8240 uA	 7.282400000 uA/um
6738	 3.0000 V	 0 V	 3.6550 V	 0 V	 72.8850 uA	 7.288500000 uA/um
6739	 3.0000 V	 0 V	 3.6600 V	 0 V	 72.9340 uA	 7.293400000 uA/um
6740	 3.0000 V	 0 V	 3.6650 V	 0 V	 72.9820 uA	 7.298200000 uA/um
6741	 3.0000 V	 0 V	 3.6700 V	 0 V	 73.0230 uA	 7.302300000 uA/um
6742	 3.0000 V	 0 V	 3.6750 V	 0 V	 73.0810 uA	 7.308100000 uA/um
6743	 3.0000 V	 0 V	 3.6800 V	 0 V	 73.1210 uA	 7.312100000 uA/um
6744	 3.0000 V	 0 V	 3.6850 V	 0 V	 73.1680 uA	 7.316800000 uA/um
6745	 3.0000 V	 0 V	 3.6900 V	 0 V	 73.2210 uA	 7.322100000 uA/um
6746	 3.0000 V	 0 V	 3.6950 V	 0 V	 73.2710 uA	 7.327100000 uA/um
6747	 3.0000 V	 0 V	 3.7000 V	 0 V	 73.3160 uA	 7.331600000 uA/um
6748	 3.0000 V	 0 V	 3.7050 V	 0 V	 73.3650 uA	 7.336500000 uA/um
6749	 3.0000 V	 0 V	 3.7100 V	 0 V	 73.4230 uA	 7.342300000 uA/um
6750	 3.0000 V	 0 V	 3.7150 V	 0 V	 73.4650 uA	 7.346500000 uA/um
6751	 3.0000 V	 0 V	 3.7200 V	 0 V	 73.5110 uA	 7.351100000 uA/um
6752	 3.0000 V	 0 V	 3.7250 V	 0 V	 73.5650 uA	 7.356500000 uA/um
6753	 3.0000 V	 0 V	 3.7300 V	 0 V	 73.6190 uA	 7.361900000 uA/um
6754	 3.0000 V	 0 V	 3.7350 V	 0 V	 73.6680 uA	 7.366800000 uA/um
6755	 3.0000 V	 0 V	 3.7400 V	 0 V	 73.7160 uA	 7.371600000 uA/um
6756	 3.0000 V	 0 V	 3.7450 V	 0 V	 73.7810 uA	 7.378100000 uA/um
6757	 3.0000 V	 0 V	 3.7500 V	 0 V	 73.8220 uA	 7.382200000 uA/um
6758	 3.0000 V	 0 V	 3.7550 V	 0 V	 73.8750 uA	 7.387500000 uA/um
6759	 3.0000 V	 0 V	 3.7600 V	 0 V	 73.9260 uA	 7.392600000 uA/um
6760	 3.0000 V	 0 V	 3.7650 V	 0 V	 73.9700 uA	 7.397000000 uA/um
6761	 3.0000 V	 0 V	 3.7700 V	 0 V	 74.0150 uA	 7.401500000 uA/um
6762	 3.0000 V	 0 V	 3.7750 V	 0 V	 74.0840 uA	 7.408400000 uA/um
6763	 3.0000 V	 0 V	 3.7800 V	 0 V	 74.1400 uA	 7.414000000 uA/um
6764	 3.0000 V	 0 V	 3.7850 V	 0 V	 74.1820 uA	 7.418200000 uA/um
6765	 3.0000 V	 0 V	 3.7900 V	 0 V	 74.2330 uA	 7.423300000 uA/um
6766	 3.0000 V	 0 V	 3.7950 V	 0 V	 74.2930 uA	 7.429300000 uA/um
6767	 3.0000 V	 0 V	 3.8000 V	 0 V	 74.3410 uA	 7.434100000 uA/um
6768	 3.0000 V	 0 V	 3.8050 V	 0 V	 74.3870 uA	 7.438700000 uA/um
6769	 3.0000 V	 0 V	 3.8100 V	 0 V	 74.4400 uA	 7.444000000 uA/um
6770	 3.0000 V	 0 V	 3.8150 V	 0 V	 74.5050 uA	 7.450500000 uA/um
6771	 3.0000 V	 0 V	 3.8200 V	 0 V	 74.5530 uA	 7.455300000 uA/um
6772	 3.0000 V	 0 V	 3.8250 V	 0 V	 74.6020 uA	 7.460200000 uA/um
6773	 3.0000 V	 0 V	 3.8300 V	 0 V	 74.6600 uA	 7.466000000 uA/um
6774	 3.0000 V	 0 V	 3.8350 V	 0 V	 74.7160 uA	 7.471600000 uA/um
6775	 3.0000 V	 0 V	 3.8400 V	 0 V	 74.7680 uA	 7.476800000 uA/um
6776	 3.0000 V	 0 V	 3.8450 V	 0 V	 74.8200 uA	 7.482000000 uA/um
6777	 3.0000 V	 0 V	 3.8500 V	 0 V	 74.8780 uA	 7.487800000 uA/um
6778	 3.0000 V	 0 V	 3.8550 V	 0 V	 74.9310 uA	 7.493100000 uA/um
6779	 3.0000 V	 0 V	 3.8600 V	 0 V	 74.9850 uA	 7.498500000 uA/um
6780	 3.0000 V	 0 V	 3.8650 V	 0 V	 75.0400 uA	 7.504000000 uA/um
6781	 3.0000 V	 0 V	 3.8700 V	 0 V	 75.0980 uA	 7.509800000 uA/um
6782	 3.0000 V	 0 V	 3.8750 V	 0 V	 75.1400 uA	 7.514000000 uA/um
6783	 3.0000 V	 0 V	 3.8800 V	 0 V	 75.2020 uA	 7.520200000 uA/um
6784	 3.0000 V	 0 V	 3.8850 V	 0 V	 75.2590 uA	 7.525900000 uA/um
6785	 3.0000 V	 0 V	 3.8900 V	 0 V	 75.3130 uA	 7.531300000 uA/um
6786	 3.0000 V	 0 V	 3.8950 V	 0 V	 75.3690 uA	 7.536900000 uA/um
6787	 3.0000 V	 0 V	 3.9000 V	 0 V	 75.4330 uA	 7.543300000 uA/um
6788	 3.0000 V	 0 V	 3.9050 V	 0 V	 75.4830 uA	 7.548300000 uA/um
6789	 3.0000 V	 0 V	 3.9100 V	 0 V	 75.5360 uA	 7.553600000 uA/um
6790	 3.0000 V	 0 V	 3.9150 V	 0 V	 75.5940 uA	 7.559400000 uA/um
6791	 3.0000 V	 0 V	 3.9200 V	 0 V	 75.6540 uA	 7.565400000 uA/um
6792	 3.0000 V	 0 V	 3.9250 V	 0 V	 75.7130 uA	 7.571300000 uA/um
6793	 3.0000 V	 0 V	 3.9300 V	 0 V	 75.7700 uA	 7.577000000 uA/um
6794	 3.0000 V	 0 V	 3.9350 V	 0 V	 75.8250 uA	 7.582500000 uA/um
6795	 3.0000 V	 0 V	 3.9400 V	 0 V	 75.8840 uA	 7.588400000 uA/um
6796	 3.0000 V	 0 V	 3.9450 V	 0 V	 75.9440 uA	 7.594400000 uA/um
6797	 3.0000 V	 0 V	 3.9500 V	 0 V	 76.0030 uA	 7.600300000 uA/um
6798	 3.0000 V	 0 V	 3.9550 V	 0 V	 76.0590 uA	 7.605900000 uA/um
6799	 3.0000 V	 0 V	 3.9600 V	 0 V	 76.1170 uA	 7.611700000 uA/um
6800	 3.0000 V	 0 V	 3.9650 V	 0 V	 76.1690 uA	 7.616900000 uA/um
6801	 3.0000 V	 0 V	 3.9700 V	 0 V	 76.2330 uA	 7.623300000 uA/um
6802	 3.0000 V	 0 V	 3.9750 V	 0 V	 76.3000 uA	 7.630000000 uA/um
6803	 3.0000 V	 0 V	 3.9800 V	 0 V	 76.3560 uA	 7.635600000 uA/um
6804	 3.0000 V	 0 V	 3.9850 V	 0 V	 76.4110 uA	 7.641100000 uA/um
6805	 3.0000 V	 0 V	 3.9900 V	 0 V	 76.4710 uA	 7.647100000 uA/um
6806	 3.0000 V	 0 V	 3.9950 V	 0 V	 76.5340 uA	 7.653400000 uA/um
6807	 3.0000 V	 0 V	 4.0000 V	 0 V	 76.5930 uA	 7.659300000 uA/um
6808	 3.0000 V	 0 V	 4.0050 V	 0 V	 76.6530 uA	 7.665300000 uA/um
6809	 3.0000 V	 0 V	 4.0100 V	 0 V	 76.7150 uA	 7.671500000 uA/um
6810	 3.0000 V	 0 V	 4.0150 V	 0 V	 76.7810 uA	 7.678100000 uA/um
6811	 3.0000 V	 0 V	 4.0200 V	 0 V	 76.8380 uA	 7.683800000 uA/um
6812	 3.0000 V	 0 V	 4.0250 V	 0 V	 76.9010 uA	 7.690100000 uA/um
6813	 3.0000 V	 0 V	 4.0300 V	 0 V	 76.9670 uA	 7.696700000 uA/um
6814	 3.0000 V	 0 V	 4.0350 V	 0 V	 77.0300 uA	 7.703000000 uA/um
6815	 3.0000 V	 0 V	 4.0400 V	 0 V	 77.0880 uA	 7.708800000 uA/um
6816	 3.0000 V	 0 V	 4.0450 V	 0 V	 77.1540 uA	 7.715400000 uA/um
6817	 3.0000 V	 0 V	 4.0500 V	 0 V	 77.2180 uA	 7.721800000 uA/um
6818	 3.0000 V	 0 V	 4.0550 V	 0 V	 77.2750 uA	 7.727500000 uA/um
6819	 3.0000 V	 0 V	 4.0600 V	 0 V	 77.3460 uA	 7.734600000 uA/um
6820	 3.0000 V	 0 V	 4.0650 V	 0 V	 77.4080 uA	 7.740800000 uA/um
6821	 3.0000 V	 0 V	 4.0700 V	 0 V	 77.4680 uA	 7.746800000 uA/um
6822	 3.0000 V	 0 V	 4.0750 V	 0 V	 77.5360 uA	 7.753600000 uA/um
6823	 3.0000 V	 0 V	 4.0800 V	 0 V	 77.6000 uA	 7.760000000 uA/um
6824	 3.0000 V	 0 V	 4.0850 V	 0 V	 77.6660 uA	 7.766600000 uA/um
6825	 3.0000 V	 0 V	 4.0900 V	 0 V	 77.7340 uA	 7.773400000 uA/um
6826	 3.0000 V	 0 V	 4.0950 V	 0 V	 77.8060 uA	 7.780600000 uA/um
6827	 3.0000 V	 0 V	 4.1000 V	 0 V	 77.8660 uA	 7.786600000 uA/um
6828	 3.0000 V	 0 V	 4.1050 V	 0 V	 77.9340 uA	 7.793400000 uA/um
6829	 3.0000 V	 0 V	 4.1100 V	 0 V	 78.0000 uA	 7.800000000 uA/um
6830	 3.0000 V	 0 V	 4.1150 V	 0 V	 78.0610 uA	 7.806100000 uA/um
6831	 3.0000 V	 0 V	 4.1200 V	 0 V	 78.1280 uA	 7.812800000 uA/um
6832	 3.0000 V	 0 V	 4.1250 V	 0 V	 78.1910 uA	 7.819100000 uA/um
6833	 3.0000 V	 0 V	 4.1300 V	 0 V	 78.2660 uA	 7.826600000 uA/um
6834	 3.0000 V	 0 V	 4.1350 V	 0 V	 78.3340 uA	 7.833400000 uA/um
6835	 3.0000 V	 0 V	 4.1400 V	 0 V	 78.3990 uA	 7.839900000 uA/um
6836	 3.0000 V	 0 V	 4.1450 V	 0 V	 78.4710 uA	 7.847100000 uA/um
6837	 3.0000 V	 0 V	 4.1500 V	 0 V	 78.5400 uA	 7.854000000 uA/um
6838	 3.0000 V	 0 V	 4.1550 V	 0 V	 78.6050 uA	 7.860500000 uA/um
6839	 3.0000 V	 0 V	 4.1600 V	 0 V	 78.6710 uA	 7.867100000 uA/um
6840	 3.0000 V	 0 V	 4.1650 V	 0 V	 78.7420 uA	 7.874200000 uA/um
6841	 3.0000 V	 0 V	 4.1700 V	 0 V	 78.8190 uA	 7.881900000 uA/um
6842	 3.0000 V	 0 V	 4.1750 V	 0 V	 78.8890 uA	 7.888900000 uA/um
6843	 3.0000 V	 0 V	 4.1800 V	 0 V	 78.9580 uA	 7.895800000 uA/um
6844	 3.0000 V	 0 V	 4.1850 V	 0 V	 79.0270 uA	 7.902700000 uA/um
6845	 3.0000 V	 0 V	 4.1900 V	 0 V	 79.1020 uA	 7.910200000 uA/um
6846	 3.0000 V	 0 V	 4.1950 V	 0 V	 79.1670 uA	 7.916700000 uA/um
6847	 3.0000 V	 0 V	 4.2000 V	 0 V	 79.2450 uA	 7.924500000 uA/um
6848	 3.0000 V	 0 V	 4.2050 V	 0 V	 79.3140 uA	 7.931400000 uA/um
6849	 3.0000 V	 0 V	 4.2100 V	 0 V	 79.3920 uA	 7.939200000 uA/um
6850	 3.0000 V	 0 V	 4.2150 V	 0 V	 79.4630 uA	 7.946300000 uA/um
6851	 3.0000 V	 0 V	 4.2200 V	 0 V	 79.5420 uA	 7.954200000 uA/um
6852	 3.0000 V	 0 V	 4.2250 V	 0 V	 79.6100 uA	 7.961000000 uA/um
6853	 3.0000 V	 0 V	 4.2300 V	 0 V	 79.6850 uA	 7.968500000 uA/um
6854	 3.0000 V	 0 V	 4.2350 V	 0 V	 79.7550 uA	 7.975500000 uA/um
6855	 3.0000 V	 0 V	 4.2400 V	 0 V	 79.8310 uA	 7.983100000 uA/um
