Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 28.3850 nA	 -21.3516 nA	 2.838500000 nA/um	 -2.135160000 nA/um	 -3.988000000 nS	 -398.8000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 28.1856 nA	 -21.2307 nA	 2.818560000 nA/um	 -2.123070000 nA/um	 -1.628000000 nS	 -162.8000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 28.2222 nA	 -21.2503 nA	 2.822220000 nA/um	 -2.125030000 nA/um	 448.0000000 pS	 44.80000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 28.2304 nA	 -21.2452 nA	 2.823040000 nA/um	 -2.124520000 nA/um	 55.00000000 pS	 5.500000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 28.2277 nA	 -21.2820 nA	 2.822770000 nA/um	 -2.128200000 nA/um	 -276.0000000 pS	 -27.60000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 28.2028 nA	 -21.2585 nA	 2.820280000 nA/um	 -2.125850000 nA/um	 -1.267000000 nS	 -126.7000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 28.1010 nA	 -21.1864 nA	 2.810100000 nA/um	 -2.118640000 nA/um	 -1.219000000 nS	 -121.9000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 28.0809 nA	 -21.1419 nA	 2.808090000 nA/um	 -2.114190000 nA/um	 -361.0000000 pS	 -36.10000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 28.0649 nA	 -21.1512 nA	 2.806490000 nA/um	 -2.115120000 nA/um	 -227.0000000 pS	 -22.70000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 28.0582 nA	 -21.1788 nA	 2.805820000 nA/um	 -2.117880000 nA/um	 168.0000000 pS	 16.80000000 pS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 28.0817 nA	 -21.1855 nA	 2.808170000 nA/um	 -2.118550000 nA/um	 268.0000000 pS	 26.80000000 pS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 28.0850 nA	 -21.2483 nA	 2.808500000 nA/um	 -2.124830000 nA/um	 814.0000000 pS	 81.40000000 pS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 28.1631 nA	 -21.2612 nA	 2.816310000 nA/um	 -2.126120000 nA/um	 995.0000000 pS	 99.50000000 pS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 28.1845 nA	 -21.2404 nA	 2.818450000 nA/um	 -2.124040000 nA/um	 -231.0000000 pS	 -23.10000000 pS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 28.1400 nA	 -21.2461 nA	 2.814000000 nA/um	 -2.124610000 nA/um	 -106.0000000 pS	 -10.60000000 pS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 28.1739 nA	 -21.2026 nA	 2.817390000 nA/um	 -2.120260000 nA/um	 358.0000000 pS	 35.80000000 pS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 28.1758 nA	 -21.2029 nA	 2.817580000 nA/um	 -2.120290000 nA/um	 -264.0000000 pS	 -26.40000000 pS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 28.1475 nA	 -21.2590 nA	 2.814750000 nA/um	 -2.125900000 nA/um	 98.00000000 pS	 9.800000000 pS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 28.1856 nA	 -21.2223 nA	 2.818560000 nA/um	 -2.122230000 nA/um	 538.0000000 pS	 53.80000000 pS/um
