Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 21.2793 nA	 -15.2737 nA	 2.127930000 nA/um	 -1.527370000 nA/um	 -18.00000000 pS	 -1.800000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 21.2784 nA	 -15.2482 nA	 2.127840000 nA/um	 -1.524820000 nA/um	 -332.0000000 pS	 -33.20000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 21.2461 nA	 -15.2595 nA	 2.124610000 nA/um	 -1.525950000 nA/um	 -331.0000000 pS	 -33.10000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 21.2453 nA	 -15.2691 nA	 2.124530000 nA/um	 -1.526910000 nA/um	 -731.0000000 pS	 -73.10000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 21.1730 nA	 -15.2232 nA	 2.117300000 nA/um	 -1.522320000 nA/um	 -760.0000000 pS	 -76.00000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 21.1693 nA	 -15.2358 nA	 2.116930000 nA/um	 -1.523580000 nA/um	 1.099000000 nS	 109.9000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 21.2829 nA	 -15.2760 nA	 2.128290000 nA/um	 -1.527600000 nA/um	 1.093000000 nS	 109.3000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 21.2786 nA	 -15.2938 nA	 2.127860000 nA/um	 -1.529380000 nA/um	 -270.0000000 pS	 -27.00000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 21.2559 nA	 -15.2836 nA	 2.125590000 nA/um	 -1.528360000 nA/um	 -437.0000000 pS	 -43.70000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 21.2349 nA	 -15.2173 nA	 2.123490000 nA/um	 -1.521730000 nA/um	 -738.0000000 pS	 -73.80000000 pS/um
