Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 2.78300 uA	 278.3000000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 63.0950 uA	 6.309500000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 127.070 uA	 12.70700000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 200.040 uA	 20.00400000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 259.540 uA	 25.95400000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 307.590 uA	 30.75900000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 383.160 uA	 38.31600000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 453.260 uA	 45.32600000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 493.800 uA	 49.38000000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 542.440 uA	 54.24400000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 637.290 uA	 63.72900000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 692.200 uA	 69.22000000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 704.600 uA	 70.46000000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 765.730 uA	 76.57300000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 861.930 uA	 86.19300000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 910.690 uA	 91.06900000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 906.190 uA	 90.61900000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 996.810 uA	 99.68100000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 1.073800 mA	 107.3800000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 1.044600 mA	 104.4600000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 1.111250 mA	 111.1250000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 1.14130 mA	 114.1300000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 1.27660 mA	 127.6600000 uA/um
