Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 107.850 nA	 10.78500000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 1.98000 uA	 198.0000000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 3.62580 uA	 362.5800000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 6.65540 uA	 665.5400000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 8.37910 uA	 837.9100000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 8.70370 uA	 870.3700000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 10.4320 uA	 1.043200000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 14.9180 uA	 1.491800000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 17.0460 uA	 1.704600000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 15.9190 uA	 1.591900000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 18.8210 uA	 1.882100000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 24.4170 uA	 2.441700000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 23.9910 uA	 2.399100000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 21.7160 uA	 2.171600000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 25.2570 uA	 2.525700000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 32.3580 uA	 3.235800000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 32.3580 uA	 3.235800000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 28.3500 uA	 2.835000000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 33.2260 uA	 3.322600000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 40.5410 uA	 4.054100000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 34.9340 uA	 3.493400000 uA/um
