Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 3.35930 nA	 335.9300000 pA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 187.930 nA	 18.79300000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 309.440 nA	 30.94400000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 516.660 nA	 51.66600000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 699.070 nA	 69.90700000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 744.940 nA	 74.49400000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 1.003130 uA	 100.3130000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.04430 uA	 104.4300000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.23640 uA	 123.6400000 nA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 1.57200 uA	 157.2000000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 1.56050 uA	 156.0500000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.58890 uA	 158.8900000 nA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 2.04340 uA	 204.3400000 nA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 2.05920 uA	 205.9200000 nA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 1.92290 uA	 192.2900000 nA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 2.35300 uA	 235.3000000 nA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 2.60220 uA	 260.2200000 nA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 2.35560 uA	 235.5600000 nA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 2.55960 uA	 255.9600000 nA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 3.06470 uA	 306.4700000 nA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 3.00250 uA	 300.2500000 nA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 2.72940 uA	 272.9400000 nA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 3.23420 uA	 323.4200000 nA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 3.49710 uA	 349.7100000 nA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 3.03650 uA	 303.6500000 nA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 3.41690 uA	 341.6900000 nA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 3.96020 uA	 396.0200000 nA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 3.65220 uA	 365.2200000 nA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 3.44630 uA	 344.6300000 nA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 4.22280 uA	 422.2800000 nA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 4.27760 uA	 427.7600000 nA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 3.62690 uA	 362.6900000 nA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 3.97490 uA	 397.4900000 nA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 4.67500 uA	 467.5000000 nA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 4.46180 uA	 446.1800000 nA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 3.92250 uA	 392.2500000 nA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 4.63620 uA	 463.6200000 nA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 4.87910 uA	 487.9100000 nA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 4.11710 uA	 411.7100000 nA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 4.60240 uA	 460.2400000 nA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 5.27920 uA	 527.9200000 nA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 4.78290 uA	 478.2900000 nA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 4.32060 uA	 432.0600000 nA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 5.39870 uA	 539.8700000 nA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 5.26010 uA	 526.0100000 nA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 4.48090 uA	 448.0900000 nA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 5.13380 uA	 513.3800000 nA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 5.64480 uA	 564.4800000 nA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 4.63490 uA	 463.4900000 nA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 5.05590 uA	 505.5900000 nA/um
