Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 63.7575 mA	 -232.847 nA	 6.375750000 mA/um	 -23.28470000 nA/um	 2.812000000 mS	 281.2000000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 63.8981 mA	 -229.115 nA	 6.389810000 mA/um	 -22.91150000 nA/um	 2.902000000 mS	 290.2000000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 64.0477 mA	 -225.322 nA	 6.404770000 mA/um	 -22.53220000 nA/um	 3.019000000 mS	 301.9000000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 64.2000 mA	 -221.552 nA	 6.420000000 mA/um	 -22.15520000 nA/um	 3.053000000 mS	 305.3000000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 64.3530 mA	 -217.850 nA	 6.435300000 mA/um	 -21.78500000 nA/um	 3.078000000 mS	 307.8000000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 64.5078 mA	 -214.126 nA	 6.450780000 mA/um	 -21.41260000 nA/um	 3.101000000 mS	 310.1000000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 64.6631 mA	 -210.403 nA	 6.466310000 mA/um	 -21.04030000 nA/um	 3.121000000 mS	 312.1000000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 64.8199 mA	 -206.781 nA	 6.481990000 mA/um	 -20.67810000 nA/um	 3.148000000 mS	 314.8000000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 64.9779 mA	 -203.159 nA	 6.497790000 mA/um	 -20.31590000 nA/um	 3.163000000 mS	 316.3000000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 65.1362 mA	 -199.600 nA	 6.513620000 mA/um	 -19.96000000 nA/um	 3.178000000 mS	 317.8000000 uS/um
