Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 1.0000 V	 0 V	 40.8828 uA	 4.440000000 uS
2	 -450.0 mV	 0 V	 1.0000 V	 0 V	 41.1048 uA	 545.0000000 nS
3	 -400.0 mV	 0 V	 1.0000 V	 0 V	 40.9373 uA	 -1.377000000 uS
4	 -350.0 mV	 0 V	 1.0000 V	 0 V	 40.9671 uA	 1.486000000 uS
5	 -300.0 mV	 0 V	 1.0000 V	 0 V	 41.0859 uA	 1.483000000 uS
6	 -250.0 mV	 0 V	 1.0000 V	 0 V	 41.1154 uA	 66.00000000 nS
7	 -200.0 mV	 0 V	 1.0000 V	 0 V	 41.0925 uA	 -602.0000000 nS
8	 -150.0 mV	 0 V	 1.0000 V	 0 V	 41.0552 uA	 -103.0000000 nS
9	 -100.0 mV	 0 V	 1.0000 V	 0 V	 41.0822 uA	 380.0000000 nS
10	 -50.0 mV	 0 V	 1.0000 V	 0 V	 41.0932 uA	 32.00000000 nS
11	 0 V	 0 V	 1.0000 V	 0 V	 41.0854 uA	 -215.0000000 nS
12	 50.0 mV	 0 V	 1.0000 V	 0 V	 41.0717 uA	 -967.0000000 nS
13	 100.0 mV	 0 V	 1.0000 V	 0 V	 40.9887 uA	 294.0000000 nS
14	 150.0 mV	 0 V	 1.0000 V	 0 V	 41.1011 uA	 1.081000000 uS
15	 200.0 mV	 0 V	 1.0000 V	 0 V	 41.0968 uA	 -160.0000000 nS
16	 250.0 mV	 0 V	 1.0000 V	 0 V	 41.0851 uA	 69.00000000 nS
17	 300.0 mV	 0 V	 1.0000 V	 0 V	 41.1037 uA	 -166.0000000 nS
18	 350.0 mV	 0 V	 1.0000 V	 0 V	 41.0685 uA	 -602.0000000 nS
19	 400.0 mV	 0 V	 1.0000 V	 0 V	 41.0435 uA	 -104.0000000 nS
20	 450.0 mV	 0 V	 1.0000 V	 0 V	 41.0581 uA	 228.0000000 nS
21	 500.0 mV	 0 V	 1.0000 V	 0 V	 41.0663 uA	 93.00000000 nS
22	 550.0 mV	 0 V	 1.0000 V	 0 V	 41.0674 uA	 -700.0000000 nS
23	 600.0 mV	 0 V	 1.0000 V	 0 V	 40.9963 uA	 285.0000000 nS
24	 650.0 mV	 0 V	 1.0000 V	 0 V	 41.0959 uA	 558.0000000 nS
25	 700.0 mV	 0 V	 1.0000 V	 0 V	 41.0521 uA	 -1.682000000 uS
26	 750.0 mV	 0 V	 1.0000 V	 0 V	 40.9277 uA	 350.0000000 nS
27	 800.0 mV	 0 V	 1.0000 V	 0 V	 41.0871 uA	 1.599000000 uS
28	 850.0 mV	 0 V	 1.0000 V	 0 V	 41.0876 uA	 10.00000000 nS
29	 900.0 mV	 0 V	 1.0000 V	 0 V	 41.0881 uA	 843.0000000 nS
30	 950.0 mV	 0 V	 1.0000 V	 0 V	 41.1719 uA	 -93.00000000 nS
31	 1.0000 V	 0 V	 1.0000 V	 0 V	 41.0788 uA	 2.311000000 uS
32	 1.0500 V	 0 V	 1.0000 V	 0 V	 41.4030 uA	 7.115000000 uS
33	 1.1000 V	 0 V	 1.0000 V	 0 V	 41.7903 uA	 10.53100000 uS
34	 1.1500 V	 0 V	 1.0000 V	 0 V	 42.4561 uA	 16.43600000 uS
35	 1.2000 V	 0 V	 1.0000 V	 0 V	 43.4339 uA	 20.55100000 uS
36	 1.2500 V	 0 V	 1.0000 V	 0 V	 44.5112 uA	 35.74200000 uS
37	 1.3000 V	 0 V	 1.0000 V	 0 V	 47.0081 uA	 50.59800000 uS
38	 1.3500 V	 0 V	 1.0000 V	 0 V	 49.5710 uA	 58.30700000 uS
39	 1.4000 V	 0 V	 1.0000 V	 0 V	 52.8388 uA	 66.13500000 uS
40	 1.4500 V	 0 V	 1.0000 V	 0 V	 56.1845 uA	 85.65900000 uS
41	 1.5000 V	 0 V	 1.0000 V	 0 V	 61.4047 uA	 102.5280000 uS
42	 1.5500 V	 0 V	 1.0000 V	 0 V	 66.4373 uA	 108.1910000 uS
43	 1.6000 V	 0 V	 1.0000 V	 0 V	 72.2238 uA	 122.7740000 uS
44	 1.6500 V	 0 V	 1.0000 V	 0 V	 78.7147 uA	 133.2350000 uS
45	 1.7000 V	 0 V	 1.0000 V	 0 V	 85.5473 uA	 141.9460000 uS
46	 1.7500 V	 0 V	 1.0000 V	 0 V	 92.9093 uA	 142.7970000 uS
47	 1.8000 V	 0 V	 1.0000 V	 0 V	 99.827 uA	 163.5270000 uS
48	 1.8500 V	 0 V	 1.0000 V	 0 V	 109.262 uA	 171.9300000 uS
49	 1.9000 V	 0 V	 1.0000 V	 0 V	 117.020 uA	 181.4300000 uS
50	 1.9500 V	 0 V	 1.0000 V	 0 V	 127.405 uA	 188.4300000 uS
