Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 8.51829 uA	 -7.186 pA	 851.8290000 nA/um	 -718.6000000 fA/um	 134.4000000 nS	 13.44000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 8.52501 uA	 -7.095 pA	 852.5010000 nA/um	 -709.5000000 fA/um	 138.6000000 nS	 13.86000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 8.53215 uA	 -6.944 pA	 853.2150000 nA/um	 -694.4000000 fA/um	 138.8000000 nS	 13.88000000 nS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 8.53889 uA	 -7.383 pA	 853.8890000 nA/um	 -738.3000000 fA/um	 141.4000000 nS	 14.14000000 nS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 8.54629 uA	 -7.124 pA	 854.6290000 nA/um	 -712.4000000 fA/um	 152.7000000 nS	 15.27000000 nS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 8.55416 uA	 -6.976 pA	 855.4160000 nA/um	 -697.6000000 fA/um	 157.0000000 nS	 15.70000000 nS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 8.56199 uA	 -7.116 pA	 856.1990000 nA/um	 -711.6000000 fA/um	 157.5000000 nS	 15.75000000 nS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 8.56991 uA	 -7.172 pA	 856.9910000 nA/um	 -717.2000000 fA/um	 151.6000000 nS	 15.16000000 nS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 8.57715 uA	 -7.507 pA	 857.7150000 nA/um	 -750.7000000 fA/um	 152.3000000 nS	 15.23000000 nS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 8.58514 uA	 -6.923 pA	 858.5140000 nA/um	 -692.3000000 fA/um	 154.1000000 nS	 15.41000000 nS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 8.59256 uA	 -7.694 pA	 859.2560000 nA/um	 -769.4000000 fA/um	 178.4000000 nS	 17.84000000 nS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 8.60298 uA	 -7.100 pA	 860.2980000 nA/um	 -710.0000000 fA/um	 191.3000000 nS	 19.13000000 nS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 8.61169 uA	 -7.445 pA	 861.1690000 nA/um	 -744.5000000 fA/um	 197.7000000 nS	 19.77000000 nS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 8.62275 uA	 -7.965 pA	 862.2750000 nA/um	 -796.5000000 fA/um	 206.3000000 nS	 20.63000000 nS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 8.63232 uA	 -6.935 pA	 863.2320000 nA/um	 -693.5000000 fA/um	 194.6000000 nS	 19.46000000 nS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 8.64221 uA	 -7.328 pA	 864.2210000 nA/um	 -732.8000000 fA/um	 175.7000000 nS	 17.57000000 nS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 8.64989 uA	 -7.724 pA	 864.9890000 nA/um	 -772.4000000 fA/um	 228.4000000 nS	 22.84000000 nS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 8.66505 uA	 -7.462 pA	 866.5050000 nA/um	 -746.2000000 fA/um	 269.4000000 nS	 26.94000000 nS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 8.67683 uA	 -7.217 pA	 867.6830000 nA/um	 -721.7000000 fA/um	 251.4000000 nS	 25.14000000 nS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 8.69019 uA	 -7.378 pA	 869.0190000 nA/um	 -737.8000000 fA/um	 259.1000000 nS	 25.91000000 nS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 8.70274 uA	 -7.510 pA	 870.2740000 nA/um	 -751.0000000 fA/um	 280.6000000 nS	 28.06000000 nS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 8.71825 uA	 -7.366 pA	 871.8250000 nA/um	 -736.6000000 fA/um	 305.5000000 nS	 30.55000000 nS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 8.73329 uA	 -7.575 pA	 873.3290000 nA/um	 -757.5000000 fA/um	 318.6000000 nS	 31.86000000 nS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 8.75011 uA	 -7.782 pA	 875.0110000 nA/um	 -778.2000000 fA/um	 373.5000000 nS	 37.35000000 nS/um
