Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 3.19436 nA	 -1.45110 nA	 319.4360000 pA/um	 -145.1100000 pA/um	 152.4000000 pS	 15.24000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 3.20198 nA	 -1.45737 nA	 320.1980000 pA/um	 -145.7370000 pA/um	 -20.60000000 pS	 -2.060000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 3.19230 nA	 -1.45141 nA	 319.2300000 pA/um	 -145.1410000 pA/um	 -89.90000000 pS	 -8.990000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 3.19299 nA	 -1.45249 nA	 319.2990000 pA/um	 -145.2490000 pA/um	 -215.5000000 pS	 -21.55000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 3.17075 nA	 -1.44609 nA	 317.0750000 pA/um	 -144.6090000 pA/um	 -78.40000000 pS	 -7.840000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 3.18515 nA	 -1.45875 nA	 318.5150000 pA/um	 -145.8750000 pA/um	 198.3000000 pS	 19.83000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 3.19058 nA	 -1.45864 nA	 319.0580000 pA/um	 -145.8640000 pA/um	 77.50000000 pS	 7.750000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 3.19290 nA	 -1.45322 nA	 319.2900000 pA/um	 -145.3220000 pA/um	 -20.70000000 pS	 -2.070000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 3.18851 nA	 -1.44522 nA	 318.8510000 pA/um	 -144.5220000 pA/um	 12.90000000 pS	 1.290000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 3.19419 nA	 -1.44939 nA	 319.4190000 pA/um	 -144.9390000 pA/um	 51.00000000 pS	 5.100000000 pS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 3.19361 nA	 -1.45101 nA	 319.3610000 pA/um	 -145.1010000 pA/um	 -67.80000000 pS	 -6.780000000 pS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 3.18741 nA	 -1.46957 nA	 318.7410000 pA/um	 -146.9570000 pA/um	 176.5000000 pS	 17.65000000 pS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 3.21126 nA	 -1.47405 nA	 321.1260000 pA/um	 -147.4050000 pA/um	 154.5000000 pS	 15.45000000 pS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 3.20286 nA	 -1.45942 nA	 320.2860000 pA/um	 -145.9420000 pA/um	 -179.5000000 pS	 -17.95000000 pS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 3.19331 nA	 -1.45434 nA	 319.3310000 pA/um	 -145.4340000 pA/um	 -24.50000000 pS	 -2.450000000 pS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 3.20041 nA	 -1.46420 nA	 320.0410000 pA/um	 -146.4200000 pA/um	 69.10000000 pS	 6.910000000 pS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 3.20022 nA	 -1.46303 nA	 320.0220000 pA/um	 -146.3030000 pA/um	 84.10000000 pS	 8.410000000 pS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 3.20882 nA	 -1.45748 nA	 320.8820000 pA/um	 -145.7480000 pA/um	 -91.80000000 pS	 -9.180000000 pS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 3.19104 nA	 -1.45904 nA	 319.1040000 pA/um	 -145.9040000 pA/um	 -75.30000000 pS	 -7.530000000 pS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 3.20129 nA	 -1.45606 nA	 320.1290000 pA/um	 -145.6060000 pA/um	 -12.80000000 pS	 -1.280000000 pS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 3.18976 nA	 -1.45630 nA	 318.9760000 pA/um	 -145.6300000 pA/um	 -130.6000000 pS	 -13.06000000 pS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 3.18823 nA	 -1.45481 nA	 318.8230000 pA/um	 -145.4810000 pA/um	 92.40000000 pS	 9.240000000 pS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 3.19900 nA	 -1.45627 nA	 319.9000000 pA/um	 -145.6270000 pA/um	 88.20000000 pS	 8.820000000 pS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 3.19705 nA	 -1.45762 nA	 319.7050000 pA/um	 -145.7620000 pA/um	 -90.60000000 pS	 -9.060000000 pS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 3.18994 nA	 -1.44877 nA	 318.9940000 pA/um	 -144.8770000 pA/um	 -85.80000000 pS	 -8.580000000 pS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 3.18847 nA	 -1.45510 nA	 318.8470000 pA/um	 -145.5100000 pA/um	 -62.30000000 pS	 -6.230000000 pS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 3.18371 nA	 -1.45379 nA	 318.3710000 pA/um	 -145.3790000 pA/um	 35.60000000 pS	 3.560000000 pS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 3.19203 nA	 -1.45680 nA	 319.2030000 pA/um	 -145.6800000 pA/um	 57.50000000 pS	 5.750000000 pS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 3.18946 nA	 -1.46344 nA	 318.9460000 pA/um	 -146.3440000 pA/um	 -87.50000000 pS	 -8.750000000 pS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 3.18328 nA	 -1.45606 nA	 318.3280000 pA/um	 -145.6060000 pA/um	 -68.10000000 pS	 -6.810000000 pS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 3.18265 nA	 -1.44628 nA	 318.2650000 pA/um	 -144.6280000 pA/um	 -102.8000000 pS	 -10.28000000 pS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 3.17300 nA	 -1.46139 nA	 317.3000000 pA/um	 -146.1390000 pA/um	 -14.80000000 pS	 -1.480000000 pS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 3.18117 nA	 -1.45328 nA	 318.1170000 pA/um	 -145.3280000 pA/um	 81.30000000 pS	 8.130000000 pS/um
34	 -350.0 mV	 0 V	 2.0000 V	 0 V	 3.18113 nA	 -1.45189 nA	 318.1130000 pA/um	 -145.1890000 pA/um	 49.10000000 pS	 4.910000000 pS/um
35	 -300.0 mV	 0 V	 2.0000 V	 0 V	 3.18608 nA	 -1.45434 nA	 318.6080000 pA/um	 -145.4340000 pA/um	 -85.50000000 pS	 -8.550000000 pS/um
36	 -250.0 mV	 0 V	 2.0000 V	 0 V	 3.17258 nA	 -1.44616 nA	 317.2580000 pA/um	 -144.6160000 pA/um	 -43.20000000 pS	 -4.320000000 pS/um
37	 -200.0 mV	 0 V	 2.0000 V	 0 V	 3.18176 nA	 -1.45596 nA	 318.1760000 pA/um	 -145.5960000 pA/um	 166.1000000 pS	 16.61000000 pS/um
38	 -150.0 mV	 0 V	 2.0000 V	 0 V	 3.18919 nA	 -1.45800 nA	 318.9190000 pA/um	 -145.8000000 pA/um	 -113.9000000 pS	 -11.39000000 pS/um
39	 -100.0 mV	 0 V	 2.0000 V	 0 V	 3.17037 nA	 -1.44368 nA	 317.0370000 pA/um	 -144.3680000 pA/um	 -84.30000000 pS	 -8.430000000 pS/um
40	 -50.0 mV	 0 V	 2.0000 V	 0 V	 3.18076 nA	 -1.44963 nA	 318.0760000 pA/um	 -144.9630000 pA/um	 110.7000000 pS	 11.07000000 pS/um
41	 0 V	 0 V	 2.0000 V	 0 V	 3.18144 nA	 -1.46460 nA	 318.1440000 pA/um	 -146.4600000 pA/um	 36.40000000 pS	 3.640000000 pS/um
42	 50.0 mV	 0 V	 2.0000 V	 0 V	 3.18440 nA	 -1.46614 nA	 318.4400000 pA/um	 -146.6140000 pA/um	 -52.40000000 pS	 -5.240000000 pS/um
43	 100.0 mV	 0 V	 2.0000 V	 0 V	 3.17620 nA	 -1.45403 nA	 317.6200000 pA/um	 -145.4030000 pA/um	 28.10000000 pS	 2.810000000 pS/um
44	 150.0 mV	 0 V	 2.0000 V	 0 V	 3.18721 nA	 -1.45008 nA	 318.7210000 pA/um	 -145.0080000 pA/um	 169.5000000 pS	 16.95000000 pS/um
45	 200.0 mV	 0 V	 2.0000 V	 0 V	 3.19315 nA	 -1.44117 nA	 319.3150000 pA/um	 -144.1170000 pA/um	 24.90000000 pS	 2.490000000 pS/um
46	 250.0 mV	 0 V	 2.0000 V	 0 V	 3.18970 nA	 -1.45270 nA	 318.9700000 pA/um	 -145.2700000 pA/um	 -31.00000000 pS	 -3.100000000 pS/um
47	 300.0 mV	 0 V	 2.0000 V	 0 V	 3.19005 nA	 -1.45042 nA	 319.0050000 pA/um	 -145.0420000 pA/um	 -57.00000000 pS	 -5.700000000 pS/um
48	 350.0 mV	 0 V	 2.0000 V	 0 V	 3.18400 nA	 -1.44776 nA	 318.4000000 pA/um	 -144.7760000 pA/um	 -46.30000000 pS	 -4.630000000 pS/um
49	 400.0 mV	 0 V	 2.0000 V	 0 V	 3.18542 nA	 -1.46524 nA	 318.5420000 pA/um	 -146.5240000 pA/um	 65.70000000 pS	 6.570000000 pS/um
50	 450.0 mV	 0 V	 2.0000 V	 0 V	 3.19057 nA	 -1.45302 nA	 319.0570000 pA/um	 -145.3020000 pA/um	 -32.80000000 pS	 -3.280000000 pS/um
51	 500.0 mV	 0 V	 2.0000 V	 0 V	 3.18214 nA	 -1.45149 nA	 318.2140000 pA/um	 -145.1490000 pA/um	 -62.60000000 pS	 -6.260000000 pS/um
52	 550.0 mV	 0 V	 2.0000 V	 0 V	 3.18431 nA	 -1.45119 nA	 318.4310000 pA/um	 -145.1190000 pA/um	 185.6000000 pS	 18.56000000 pS/um
53	 600.0 mV	 0 V	 2.0000 V	 0 V	 3.20070 nA	 -1.44576 nA	 320.0700000 pA/um	 -144.5760000 pA/um	 101.3000000 pS	 10.13000000 pS/um
54	 650.0 mV	 0 V	 2.0000 V	 0 V	 3.19444 nA	 -1.45226 nA	 319.4440000 pA/um	 -145.2260000 pA/um	 82.40000000 pS	 8.240000000 pS/um
55	 700.0 mV	 0 V	 2.0000 V	 0 V	 3.20894 nA	 -1.44706 nA	 320.8940000 pA/um	 -144.7060000 pA/um	 460.0000000 pS	 46.00000000 pS/um
56	 750.0 mV	 0 V	 2.0000 V	 0 V	 3.24044 nA	 -1.46378 nA	 324.0440000 pA/um	 -146.3780000 pA/um	 1.002300000 nS	 100.2300000 pS/um
57	 800.0 mV	 0 V	 2.0000 V	 0 V	 3.30917 nA	 -1.44157 nA	 330.9170000 pA/um	 -144.1570000 pA/um	 2.568200000 nS	 256.8200000 pS/um
58	 850.0 mV	 0 V	 2.0000 V	 0 V	 3.49726 nA	 -1.46522 nA	 349.7260000 pA/um	 -146.5220000 pA/um	 6.632600000 nS	 663.2600000 pS/um
59	 900.0 mV	 0 V	 2.0000 V	 0 V	 3.97243 nA	 -1.46793 nA	 397.2430000 pA/um	 -146.7930000 pA/um	 16.55930000 nS	 1.655930000 nS/um
60	 950.0 mV	 0 V	 2.0000 V	 0 V	 5.15319 nA	 -1.45561 nA	 515.3190000 pA/um	 -145.5610000 pA/um	 40.26280000 nS	 4.026280000 nS/um
61	 1.0000 V	 0 V	 2.0000 V	 0 V	 7.99871 nA	 -1.46473 nA	 799.8710000 pA/um	 -146.4730000 pA/um	 93.72110000 nS	 9.372110000 nS/um
62	 1.0500 V	 0 V	 2.0000 V	 0 V	 14.5253 nA	 -1.46404 nA	 1.452530000 nA/um	 -146.4040000 pA/um	 203.4989000 nS	 20.34989000 nS/um
63	 1.1000 V	 0 V	 2.0000 V	 0 V	 28.3486 nA	 -1.44877 nA	 2.834860000 nA/um	 -144.8770000 pA/um	 400.1990000 nS	 40.01990000 nS/um
64	 1.1500 V	 0 V	 2.0000 V	 0 V	 54.5452 nA	 -1.44555 nA	 5.454520000 nA/um	 -144.5550000 pA/um	 713.4540000 nS	 71.34540000 nS/um
65	 1.2000 V	 0 V	 2.0000 V	 0 V	 99.694 nA	 -1.46989 nA	 9.969400000 nA/um	 -146.9890000 pA/um	 1.152708000 uS	 115.2708000 nS/um
66	 1.2500 V	 0 V	 2.0000 V	 0 V	 169.816 nA	 -1.41470 nA	 16.98160000 nA/um	 -141.4700000 pA/um	 1.678010000 uS	 167.8010000 nS/um
67	 1.3000 V	 0 V	 2.0000 V	 0 V	 267.495 nA	 -1.42812 nA	 26.74950000 nA/um	 -142.8120000 pA/um	 2.330950000 uS	 233.0950000 nS/um
68	 1.3500 V	 0 V	 2.0000 V	 0 V	 402.911 nA	 -1.42582 nA	 40.29110000 nA/um	 -142.5820000 pA/um	 3.183180000 uS	 318.3180000 nS/um
69	 1.4000 V	 0 V	 2.0000 V	 0 V	 585.813 nA	 -1.49090 nA	 58.58130000 nA/um	 -149.0900000 pA/um	 4.056580000 uS	 405.6580000 nS/um
70	 1.4500 V	 0 V	 2.0000 V	 0 V	 808.569 nA	 -1.49181 nA	 80.85690000 nA/um	 -149.1810000 pA/um	 4.932570000 uS	 493.2570000 nS/um
71	 1.5000 V	 0 V	 2.0000 V	 0 V	 1.07907 uA	 -1.48105 nA	 107.9070000 nA/um	 -148.1050000 pA/um	 5.892910000 uS	 589.2910000 nS/um
72	 1.5500 V	 0 V	 2.0000 V	 0 V	 1.39786 uA	 -1.48364 nA	 139.7860000 nA/um	 -148.3640000 pA/um	 6.913600000 uS	 691.3600000 nS/um
73	 1.6000 V	 0 V	 2.0000 V	 0 V	 1.77043 uA	 -1.48235 nA	 177.0430000 nA/um	 -148.2350000 pA/um	 7.958300000 uS	 795.8300000 nS/um
74	 1.6500 V	 0 V	 2.0000 V	 0 V	 2.19369 uA	 -1.48968 nA	 219.3690000 nA/um	 -148.9680000 pA/um	 9.120500000 uS	 912.0500000 nS/um
