Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 6.70030 uA	 670.0300000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 157.990 uA	 15.79900000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 303.130 uA	 30.31300000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 456.950 uA	 45.69500000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 616.470 uA	 61.64700000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 750.930 uA	 75.09300000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 899.140 uA	 89.91400000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.063740 mA	 106.3740000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.21680 mA	 121.6800000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 1.35090 mA	 135.0900000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 1.46970 mA	 146.9700000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.63770 mA	 163.7700000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 1.80120 mA	 180.1200000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 1.92250 mA	 192.2500000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 2.03460 mA	 203.4600000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 2.21440 mA	 221.4400000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 2.36630 mA	 236.6300000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 2.45070 mA	 245.0700000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 2.58540 mA	 258.5400000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 2.77990 mA	 277.9900000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 2.91320 mA	 291.3200000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 2.99770 mA	 299.7700000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 3.10820 mA	 310.8200000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 3.28910 mA	 328.9100000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 3.43930 mA	 343.9300000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 3.49470 mA	 349.4700000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 3.65220 mA	 365.2200000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 3.84420 mA	 384.4200000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 3.91170 mA	 391.1700000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 3.98520 mA	 398.5200000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 4.16090 mA	 416.0900000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 4.34220 mA	 434.2200000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 4.38630 mA	 438.6300000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 4.46440 mA	 446.4400000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 4.64550 mA	 464.5500000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 4.79210 mA	 479.2100000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 4.80230 mA	 480.2300000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 4.99280 mA	 499.2800000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 5.15570 mA	 515.5700000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 5.15880 mA	 515.8800000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 5.25410 mA	 525.4100000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 5.48960 mA	 548.9600000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 5.58100 mA	 558.1000000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 5.57960 mA	 557.9600000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 5.68060 mA	 568.0600000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 5.93040 mA	 593.0400000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 5.94290 mA	 594.2900000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 5.98060 mA	 598.0600000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 6.23740 mA	 623.7400000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 6.28850 mA	 628.8500000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 6.27320 mA	 627.3200000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 6.39470 mA	 639.4700000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 6.63250 mA	 663.2500000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 6.66790 mA	 666.7900000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 6.64320 mA	 664.3200000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 6.83450 mA	 683.4500000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 6.98230 mA	 698.2300000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 6.91870 mA	 691.8700000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 7.05970 mA	 705.9700000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 7.28020 mA	 728.0200000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 7.26700 mA	 726.7000000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 7.26270 mA	 726.2700000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 7.53970 mA	 753.9700000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 7.60510 mA	 760.5100000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 7.57730 mA	 757.7300000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 7.63470 mA	 763.4700000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 7.88750 mA	 788.7500000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 7.92460 mA	 792.4600000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 7.83170 mA	 783.1700000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 8.01770 mA	 801.7700000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 8.19620 mA	 819.6200000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 8.13380 mA	 813.3800000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 8.17130 mA	 817.1300000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 8.44810 mA	 844.8100000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 8.42650 mA	 842.6500000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 8.36030 mA	 836.0300000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 8.55300 mA	 855.3000000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 8.74140 mA	 874.1400000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 8.69000 mA	 869.0000000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 8.65220 mA	 865.2200000 uA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 8.86950 mA	 886.9500000 uA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 9.03540 mA	 903.5400000 uA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 8.91320 mA	 891.3200000 uA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 8.95930 mA	 895.9300000 uA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 9.26030 mA	 926.0300000 uA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 9.27300 mA	 927.3000000 uA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 9.18140 mA	 918.1400000 uA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 9.24070 mA	 924.0700000 uA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 9.49970 mA	 949.9700000 uA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 9.54960 mA	 954.9600000 uA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 9.42610 mA	 942.6100000 uA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 9.60470 mA	 960.4700000 uA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 9.79480 mA	 979.4800000 uA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 9.73430 mA	 973.4300000 uA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 9.67990 mA	 967.9900000 uA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 9.90370 mA	 990.3700000 uA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 10.05160 mA	 1.005160000 mA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 10.00160 mA	 1.000160000 mA/um
99	 2.0000 V	 0 V	 490.0 mV	 0 V	 9.94240 mA	 994.2400000 uA/um
100	 2.0000 V	 0 V	 495.0 mV	 0 V	 10.15790 mA	 1.015790000 mA/um
101	 2.0000 V	 0 V	 500.0 mV	 0 V	 10.31180 mA	 1.031180000 mA/um
102	 2.0000 V	 0 V	 505.0 mV	 0 V	 10.27930 mA	 1.027930000 mA/um
103	 2.0000 V	 0 V	 510.0 mV	 0 V	 10.19730 mA	 1.019730000 mA/um
104	 2.0000 V	 0 V	 515.0 mV	 0 V	 10.38500 mA	 1.038500000 mA/um
105	 2.0000 V	 0 V	 520.0 mV	 0 V	 10.53540 mA	 1.053540000 mA/um
106	 2.0000 V	 0 V	 525.0 mV	 0 V	 10.40790 mA	 1.040790000 mA/um
107	 2.0000 V	 0 V	 530.0 mV	 0 V	 10.54100 mA	 1.054100000 mA/um
108	 2.0000 V	 0 V	 535.0 mV	 0 V	 10.76090 mA	 1.076090000 mA/um
109	 2.0000 V	 0 V	 540.0 mV	 0 V	 10.73040 mA	 1.073040000 mA/um
110	 2.0000 V	 0 V	 545.0 mV	 0 V	 10.64070 mA	 1.064070000 mA/um
111	 2.0000 V	 0 V	 550.0 mV	 0 V	 10.88650 mA	 1.088650000 mA/um
112	 2.0000 V	 0 V	 555.0 mV	 0 V	 10.97810 mA	 1.097810000 mA/um
113	 2.0000 V	 0 V	 560.0 mV	 0 V	 10.92780 mA	 1.092780000 mA/um
114	 2.0000 V	 0 V	 565.0 mV	 0 V	 10.87890 mA	 1.087890000 mA/um
115	 2.0000 V	 0 V	 570.0 mV	 0 V	 11.11820 mA	 1.111820000 mA/um
116	 2.0000 V	 0 V	 575.0 mV	 0 V	 11.23200 mA	 1.123200000 mA/um
117	 2.0000 V	 0 V	 580.0 mV	 0 V	 11.19490 mA	 1.119490000 mA/um
118	 2.0000 V	 0 V	 585.0 mV	 0 V	 11.12340 mA	 1.112340000 mA/um
119	 2.0000 V	 0 V	 590.0 mV	 0 V	 11.32270 mA	 1.132270000 mA/um
120	 2.0000 V	 0 V	 595.0 mV	 0 V	 11.48720 mA	 1.148720000 mA/um
121	 2.0000 V	 0 V	 600.0 mV	 0 V	 11.46690 mA	 1.146690000 mA/um
122	 2.0000 V	 0 V	 605.0 mV	 0 V	 11.36520 mA	 1.136520000 mA/um
123	 2.0000 V	 0 V	 610.0 mV	 0 V	 11.4820 mA	 1.148200000 mA/um
124	 2.0000 V	 0 V	 615.0 mV	 0 V	 11.7150 mA	 1.171500000 mA/um
125	 2.0000 V	 0 V	 620.0 mV	 0 V	 11.6760 mA	 1.167600000 mA/um
126	 2.0000 V	 0 V	 625.0 mV	 0 V	 11.5880 mA	 1.158800000 mA/um
127	 2.0000 V	 0 V	 630.0 mV	 0 V	 11.7920 mA	 1.179200000 mA/um
128	 2.0000 V	 0 V	 635.0 mV	 0 V	 11.9210 mA	 1.192100000 mA/um
129	 2.0000 V	 0 V	 640.0 mV	 0 V	 11.8750 mA	 1.187500000 mA/um
130	 2.0000 V	 0 V	 645.0 mV	 0 V	 11.8370 mA	 1.183700000 mA/um
131	 2.0000 V	 0 V	 650.0 mV	 0 V	 12.0680 mA	 1.206800000 mA/um
132	 2.0000 V	 0 V	 655.0 mV	 0 V	 12.1530 mA	 1.215300000 mA/um
133	 2.0000 V	 0 V	 660.0 mV	 0 V	 12.1110 mA	 1.211100000 mA/um
134	 2.0000 V	 0 V	 665.0 mV	 0 V	 12.0580 mA	 1.205800000 mA/um
135	 2.0000 V	 0 V	 670.0 mV	 0 V	 12.2630 mA	 1.226300000 mA/um
136	 2.0000 V	 0 V	 675.0 mV	 0 V	 12.3980 mA	 1.239800000 mA/um
137	 2.0000 V	 0 V	 680.0 mV	 0 V	 12.3330 mA	 1.233300000 mA/um
138	 2.0000 V	 0 V	 685.0 mV	 0 V	 12.3160 mA	 1.231600000 mA/um
139	 2.0000 V	 0 V	 690.0 mV	 0 V	 12.5740 mA	 1.257400000 mA/um
140	 2.0000 V	 0 V	 695.0 mV	 0 V	 12.5570 mA	 1.255700000 mA/um
141	 2.0000 V	 0 V	 700.0 mV	 0 V	 12.4490 mA	 1.244900000 mA/um
142	 2.0000 V	 0 V	 705.0 mV	 0 V	 12.6800 mA	 1.268000000 mA/um
143	 2.0000 V	 0 V	 710.0 mV	 0 V	 12.7740 mA	 1.277400000 mA/um
144	 2.0000 V	 0 V	 715.0 mV	 0 V	 12.6980 mA	 1.269800000 mA/um
145	 2.0000 V	 0 V	 720.0 mV	 0 V	 12.7560 mA	 1.275600000 mA/um
146	 2.0000 V	 0 V	 725.0 mV	 0 V	 12.9500 mA	 1.295000000 mA/um
147	 2.0000 V	 0 V	 730.0 mV	 0 V	 12.9380 mA	 1.293800000 mA/um
148	 2.0000 V	 0 V	 735.0 mV	 0 V	 12.8490 mA	 1.284900000 mA/um
149	 2.0000 V	 0 V	 740.0 mV	 0 V	 12.9950 mA	 1.299500000 mA/um
150	 2.0000 V	 0 V	 745.0 mV	 0 V	 13.2000 mA	 1.320000000 mA/um
151	 2.0000 V	 0 V	 750.0 mV	 0 V	 13.1660 mA	 1.316600000 mA/um
152	 2.0000 V	 0 V	 755.0 mV	 0 V	 13.0760 mA	 1.307600000 mA/um
153	 2.0000 V	 0 V	 760.0 mV	 0 V	 13.2130 mA	 1.321300000 mA/um
154	 2.0000 V	 0 V	 765.0 mV	 0 V	 13.3940 mA	 1.339400000 mA/um
155	 2.0000 V	 0 V	 770.0 mV	 0 V	 13.3490 mA	 1.334900000 mA/um
156	 2.0000 V	 0 V	 775.0 mV	 0 V	 13.3240 mA	 1.332400000 mA/um
157	 2.0000 V	 0 V	 780.0 mV	 0 V	 13.5370 mA	 1.353700000 mA/um
158	 2.0000 V	 0 V	 785.0 mV	 0 V	 13.5730 mA	 1.357300000 mA/um
159	 2.0000 V	 0 V	 790.0 mV	 0 V	 13.5490 mA	 1.354900000 mA/um
160	 2.0000 V	 0 V	 795.0 mV	 0 V	 13.5780 mA	 1.357800000 mA/um
161	 2.0000 V	 0 V	 800.0 mV	 0 V	 13.7890 mA	 1.378900000 mA/um
162	 2.0000 V	 0 V	 805.0 mV	 0 V	 13.7730 mA	 1.377300000 mA/um
163	 2.0000 V	 0 V	 810.0 mV	 0 V	 13.6910 mA	 1.369100000 mA/um
164	 2.0000 V	 0 V	 815.0 mV	 0 V	 13.9050 mA	 1.390500000 mA/um
165	 2.0000 V	 0 V	 820.0 mV	 0 V	 13.9750 mA	 1.397500000 mA/um
166	 2.0000 V	 0 V	 825.0 mV	 0 V	 13.9460 mA	 1.394600000 mA/um
167	 2.0000 V	 0 V	 830.0 mV	 0 V	 13.9850 mA	 1.398500000 mA/um
168	 2.0000 V	 0 V	 835.0 mV	 0 V	 14.1820 mA	 1.418200000 mA/um
169	 2.0000 V	 0 V	 840.0 mV	 0 V	 14.1470 mA	 1.414700000 mA/um
170	 2.0000 V	 0 V	 845.0 mV	 0 V	 14.0820 mA	 1.408200000 mA/um
171	 2.0000 V	 0 V	 850.0 mV	 0 V	 14.2610 mA	 1.426100000 mA/um
172	 2.0000 V	 0 V	 855.0 mV	 0 V	 14.3900 mA	 1.439000000 mA/um
173	 2.0000 V	 0 V	 860.0 mV	 0 V	 14.3790 mA	 1.437900000 mA/um
174	 2.0000 V	 0 V	 865.0 mV	 0 V	 14.3390 mA	 1.433900000 mA/um
175	 2.0000 V	 0 V	 870.0 mV	 0 V	 14.4840 mA	 1.448400000 mA/um
176	 2.0000 V	 0 V	 875.0 mV	 0 V	 14.6000 mA	 1.460000000 mA/um
177	 2.0000 V	 0 V	 880.0 mV	 0 V	 14.5890 mA	 1.458900000 mA/um
178	 2.0000 V	 0 V	 885.0 mV	 0 V	 14.5150 mA	 1.451500000 mA/um
179	 2.0000 V	 0 V	 890.0 mV	 0 V	 14.6950 mA	 1.469500000 mA/um
180	 2.0000 V	 0 V	 895.0 mV	 0 V	 14.7890 mA	 1.478900000 mA/um
181	 2.0000 V	 0 V	 900.0 mV	 0 V	 14.7780 mA	 1.477800000 mA/um
182	 2.0000 V	 0 V	 905.0 mV	 0 V	 14.7430 mA	 1.474300000 mA/um
183	 2.0000 V	 0 V	 910.0 mV	 0 V	 14.9420 mA	 1.494200000 mA/um
184	 2.0000 V	 0 V	 915.0 mV	 0 V	 14.9930 mA	 1.499300000 mA/um
185	 2.0000 V	 0 V	 920.0 mV	 0 V	 14.9580 mA	 1.495800000 mA/um
186	 2.0000 V	 0 V	 925.0 mV	 0 V	 15.0590 mA	 1.505900000 mA/um
187	 2.0000 V	 0 V	 930.0 mV	 0 V	 15.1810 mA	 1.518100000 mA/um
188	 2.0000 V	 0 V	 935.0 mV	 0 V	 15.1980 mA	 1.519800000 mA/um
189	 2.0000 V	 0 V	 940.0 mV	 0 V	 15.1410 mA	 1.514100000 mA/um
190	 2.0000 V	 0 V	 945.0 mV	 0 V	 15.2630 mA	 1.526300000 mA/um
191	 2.0000 V	 0 V	 950.0 mV	 0 V	 15.3770 mA	 1.537700000 mA/um
192	 2.0000 V	 0 V	 955.0 mV	 0 V	 15.4300 mA	 1.543000000 mA/um
193	 2.0000 V	 0 V	 960.0 mV	 0 V	 15.3490 mA	 1.534900000 mA/um
194	 2.0000 V	 0 V	 965.0 mV	 0 V	 15.5330 mA	 1.553300000 mA/um
195	 2.0000 V	 0 V	 970.0 mV	 0 V	 15.5870 mA	 1.558700000 mA/um
196	 2.0000 V	 0 V	 975.0 mV	 0 V	 15.5730 mA	 1.557300000 mA/um
197	 2.0000 V	 0 V	 980.0 mV	 0 V	 15.6290 mA	 1.562900000 mA/um
198	 2.0000 V	 0 V	 985.0 mV	 0 V	 15.7510 mA	 1.575100000 mA/um
199	 2.0000 V	 0 V	 990.0 mV	 0 V	 15.7800 mA	 1.578000000 mA/um
200	 2.0000 V	 0 V	 995.0 mV	 0 V	 15.7550 mA	 1.575500000 mA/um
201	 2.0000 V	 0 V	 1.0000 V	 0 V	 15.8550 mA	 1.585500000 mA/um
202	 2.0000 V	 0 V	 1.0050 V	 0 V	 15.9650 mA	 1.596500000 mA/um
203	 2.0000 V	 0 V	 1.0100 V	 0 V	 15.9940 mA	 1.599400000 mA/um
204	 2.0000 V	 0 V	 1.0150 V	 0 V	 15.9950 mA	 1.599500000 mA/um
205	 2.0000 V	 0 V	 1.0200 V	 0 V	 16.0660 mA	 1.606600000 mA/um
206	 2.0000 V	 0 V	 1.0250 V	 0 V	 16.1790 mA	 1.617900000 mA/um
207	 2.0000 V	 0 V	 1.0300 V	 0 V	 16.2330 mA	 1.623300000 mA/um
208	 2.0000 V	 0 V	 1.0350 V	 0 V	 16.2180 mA	 1.621800000 mA/um
209	 2.0000 V	 0 V	 1.0400 V	 0 V	 16.3170 mA	 1.631700000 mA/um
210	 2.0000 V	 0 V	 1.0450 V	 0 V	 16.4010 mA	 1.640100000 mA/um
211	 2.0000 V	 0 V	 1.0500 V	 0 V	 16.3860 mA	 1.638600000 mA/um
212	 2.0000 V	 0 V	 1.0550 V	 0 V	 16.4260 mA	 1.642600000 mA/um
213	 2.0000 V	 0 V	 1.0600 V	 0 V	 16.5540 mA	 1.655400000 mA/um
214	 2.0000 V	 0 V	 1.0650 V	 0 V	 16.5840 mA	 1.658400000 mA/um
215	 2.0000 V	 0 V	 1.0700 V	 0 V	 16.5460 mA	 1.654600000 mA/um
