Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 100.00 mV	 0 V	 4.24476 uA	 126.0000000 nS
2	 -450.0 mV	 0 V	 100.00 mV	 0 V	 4.25106 uA	 -8.800000000 nS
3	 -400.0 mV	 0 V	 100.00 mV	 0 V	 4.24388 uA	 -30.90000000 nS
4	 -350.0 mV	 0 V	 100.00 mV	 0 V	 4.24797 uA	 33.60000000 nS
5	 -300.0 mV	 0 V	 100.00 mV	 0 V	 4.24724 uA	 -25.80000000 nS
6	 -250.0 mV	 0 V	 100.00 mV	 0 V	 4.24539 uA	 10.50000000 nS
7	 -200.0 mV	 0 V	 100.00 mV	 0 V	 4.24829 uA	 50.40000000 nS
8	 -150.0 mV	 0 V	 100.00 mV	 0 V	 4.25043 uA	 -33.80000000 nS
9	 -100.0 mV	 0 V	 100.00 mV	 0 V	 4.24491 uA	 2.700000000 nS
10	 -50.0 mV	 0 V	 100.00 mV	 0 V	 4.25070 uA	 61.70000000 nS
11	 0 V	 0 V	 100.00 mV	 0 V	 4.25108 uA	 -47.60000000 nS
12	 50.0 mV	 0 V	 100.00 mV	 0 V	 4.24594 uA	 -31.30000000 nS
13	 100.0 mV	 0 V	 100.00 mV	 0 V	 4.24795 uA	 75.70000000 nS
14	 150.0 mV	 0 V	 100.00 mV	 0 V	 4.25351 uA	 12.60000000 nS
15	 200.0 mV	 0 V	 100.00 mV	 0 V	 4.24921 uA	 5.600000000 nS
16	 250.0 mV	 0 V	 100.00 mV	 0 V	 4.25407 uA	 30.50000000 nS
17	 300.0 mV	 0 V	 100.00 mV	 0 V	 4.25226 uA	 34.70000000 nS
18	 350.0 mV	 0 V	 100.00 mV	 0 V	 4.25754 uA	 32.00000000 nS
19	 400.0 mV	 0 V	 100.00 mV	 0 V	 4.25546 uA	 -94.00000000 nS
20	 450.0 mV	 0 V	 100.00 mV	 0 V	 4.24814 uA	 -62.90000000 nS
21	 500.0 mV	 0 V	 100.00 mV	 0 V	 4.24917 uA	 71.10000000 nS
22	 550.0 mV	 0 V	 100.00 mV	 0 V	 4.25525 uA	 8.800000000 nS
23	 600.0 mV	 0 V	 100.00 mV	 0 V	 4.25005 uA	 -79.40000000 nS
24	 650.0 mV	 0 V	 100.00 mV	 0 V	 4.24731 uA	 60.80000000 nS
25	 700.0 mV	 0 V	 100.00 mV	 0 V	 4.25613 uA	 29.40000000 nS
26	 750.0 mV	 0 V	 100.00 mV	 0 V	 4.25025 uA	 -62.00000000 nS
27	 800.0 mV	 0 V	 100.00 mV	 0 V	 4.24993 uA	 51.60000000 nS
28	 850.0 mV	 0 V	 100.00 mV	 0 V	 4.25541 uA	 55.50000000 nS
29	 900.0 mV	 0 V	 100.00 mV	 0 V	 4.25548 uA	 40.60000000 nS
30	 950.0 mV	 0 V	 100.00 mV	 0 V	 4.25947 uA	 316.4000000 nS
31	 1.0000 V	 0 V	 100.00 mV	 0 V	 4.28712 uA	 697.2000000 nS
