Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 77.5030 uA	 -3.12699 nA	 7.750300000 uA/um	 -312.6990000 pA/um	 78.00000000 nS	 7.800000000 nS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 77.5069 uA	 -3.12587 nA	 7.750690000 uA/um	 -312.5870000 pA/um	 15.00000000 nS	 1.500000000 nS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 77.5045 uA	 -3.12665 nA	 7.750450000 uA/um	 -312.6650000 pA/um	 -33.00000000 nS	 -3.300000000 nS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 77.5036 uA	 -3.09559 nA	 7.750360000 uA/um	 -309.5590000 pA/um	 34.00000000 nS	 3.400000000 nS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 77.5079 uA	 -3.12760 nA	 7.750790000 uA/um	 -312.7600000 pA/um	 9.000000000 nS	 900.0000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 77.5045 uA	 -3.11225 nA	 7.750450000 uA/um	 -311.2250000 pA/um	 -110.0000000 nS	 -11.00000000 nS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 77.4969 uA	 -3.10896 nA	 7.749690000 uA/um	 -310.8960000 pA/um	 49.00000000 nS	 4.900000000 nS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 77.5094 uA	 -3.11758 nA	 7.750940000 uA/um	 -311.7580000 pA/um	 -216.0000000 nS	 -21.60000000 nS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 77.4753 uA	 -3.12541 nA	 7.747530000 uA/um	 -312.5410000 pA/um	 23.00000000 nS	 2.300000000 nS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 77.5117 uA	 -3.12808 nA	 7.751170000 uA/um	 -312.8080000 pA/um	 328.0000000 nS	 32.80000000 nS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 77.5081 uA	 -3.11008 nA	 7.750810000 uA/um	 -311.0080000 pA/um	 -34.00000000 nS	 -3.400000000 nS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 77.5083 uA	 -3.12506 nA	 7.750830000 uA/um	 -312.5060000 pA/um	 9.000000000 nS	 900.0000000 pS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 77.5090 uA	 -3.09187 nA	 7.750900000 uA/um	 -309.1870000 pA/um	 -315.0000000 nS	 -31.50000000 nS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 77.4768 uA	 -3.12421 nA	 7.747680000 uA/um	 -312.4210000 pA/um	 -69.00000000 nS	 -6.900000000 nS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 77.5021 uA	 -3.09501 nA	 7.750210000 uA/um	 -309.5010000 pA/um	 -116.0000000 nS	 -11.60000000 nS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 77.4652 uA	 -3.11014 nA	 7.746520000 uA/um	 -311.0140000 pA/um	 -456.0000000 nS	 -45.60000000 nS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 77.4565 uA	 -3.11087 nA	 7.745650000 uA/um	 -311.0870000 pA/um	 -53.00000000 nS	 -5.300000000 nS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 77.4599 uA	 -3.13940 nA	 7.745990000 uA/um	 -313.9400000 pA/um	 526.0000000 nS	 52.60000000 nS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 77.5091 uA	 -3.11813 nA	 7.750910000 uA/um	 -311.8130000 pA/um	 463.0000000 nS	 46.30000000 nS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 77.5062 uA	 -3.12438 nA	 7.750620000 uA/um	 -312.4380000 pA/um	 47.00000000 nS	 4.700000000 nS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 77.5138 uA	 -3.12077 nA	 7.751380000 uA/um	 -312.0770000 pA/um	 -295.0000000 nS	 -29.50000000 nS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 77.4767 uA	 -3.11305 nA	 7.747670000 uA/um	 -311.3050000 pA/um	 -453.0000000 nS	 -45.30000000 nS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 77.4685 uA	 -3.11203 nA	 7.746850000 uA/um	 -311.2030000 pA/um	 153.0000000 nS	 15.30000000 nS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 77.4920 uA	 -3.11173 nA	 7.749200000 uA/um	 -311.1730000 pA/um	 -58.00000000 nS	 -5.800000000 nS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 77.4627 uA	 -3.11092 nA	 7.746270000 uA/um	 -311.0920000 pA/um	 34.00000000 nS	 3.400000000 nS/um
