Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 1.60317 mA	 -1.30958 uA	 160.3170000 uA/um	 -130.9580000 nA/um	 359.2000000 uS	 35.92000000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 1.62113 mA	 -1.32051 uA	 162.1130000 uA/um	 -132.0510000 nA/um	 355.7000000 uS	 35.57000000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 1.63874 mA	 -1.33025 uA	 163.8740000 uA/um	 -133.0250000 nA/um	 365.6000000 uS	 36.56000000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 1.65769 mA	 -1.33989 uA	 165.7690000 uA/um	 -133.9890000 nA/um	 385.0000000 uS	 38.50000000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 1.67724 mA	 -1.34962 uA	 167.7240000 uA/um	 -134.9620000 nA/um	 403.4000000 uS	 40.34000000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 1.69803 mA	 -1.35819 uA	 169.8030000 uA/um	 -135.8190000 nA/um	 421.3000000 uS	 42.13000000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 1.71937 mA	 -1.37095 uA	 171.9370000 uA/um	 -137.0950000 nA/um	 434.5000000 uS	 43.45000000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 1.74148 mA	 -1.38213 uA	 174.1480000 uA/um	 -138.2130000 nA/um	 453.3000000 uS	 45.33000000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 1.76470 mA	 -1.39442 uA	 176.4700000 uA/um	 -139.4420000 nA/um	 473.3000000 uS	 47.33000000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 1.78881 mA	 -1.40494 uA	 178.8810000 uA/um	 -140.4940000 nA/um	 495.1000000 uS	 49.51000000 uS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 1.81421 mA	 -1.41907 uA	 181.4210000 uA/um	 -141.9070000 nA/um	 519.9000000 uS	 51.99000000 uS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 1.84080 mA	 -1.43053 uA	 184.0800000 uA/um	 -143.0530000 nA/um	 540.9000000 uS	 54.09000000 uS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 1.86830 mA	 -1.44622 uA	 186.8300000 uA/um	 -144.6220000 nA/um	 571.4000000 uS	 57.14000000 uS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 1.89794 mA	 -1.45797 uA	 189.7940000 uA/um	 -145.7970000 nA/um	 601.4000000 uS	 60.14000000 uS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 1.92844 mA	 -1.47117 uA	 192.8440000 uA/um	 -147.1170000 nA/um	 614.6000000 uS	 61.46000000 uS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 1.95940 mA	 -1.48662 uA	 195.9400000 uA/um	 -148.6620000 nA/um	 635.8000000 uS	 63.58000000 uS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 1.99202 mA	 -1.50414 uA	 199.2020000 uA/um	 -150.4140000 nA/um	 667.4000000 uS	 66.74000000 uS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 2.02614 mA	 -1.51904 uA	 202.6140000 uA/um	 -151.9040000 nA/um	 688.3000000 uS	 68.83000000 uS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 2.06085 mA	 -1.53456 uA	 206.0850000 uA/um	 -153.4560000 nA/um	 714.6000000 uS	 71.46000000 uS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 2.09760 mA	 -1.54853 uA	 209.7600000 uA/um	 -154.8530000 nA/um	 754.6000000 uS	 75.46000000 uS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 2.13631 mA	 -1.56539 uA	 213.6310000 uA/um	 -156.5390000 nA/um	 777.0000000 uS	 77.70000000 uS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 2.17530 mA	 -1.58296 uA	 217.5300000 uA/um	 -158.2960000 nA/um	 804.9000000 uS	 80.49000000 uS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 2.21680 mA	 -1.59968 uA	 221.6800000 uA/um	 -159.9680000 nA/um	 848.2000000 uS	 84.82000000 uS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 2.26012 mA	 -1.61391 uA	 226.0120000 uA/um	 -161.3910000 nA/um	 880.9000000 uS	 88.09000000 uS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 2.30489 mA	 -1.63137 uA	 230.4890000 uA/um	 -163.1370000 nA/um	 906.1000000 uS	 90.61000000 uS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 2.35073 mA	 -1.64857 uA	 235.0730000 uA/um	 -164.8570000 nA/um	 940.2000000 uS	 94.02000000 uS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 2.39891 mA	 -1.66548 uA	 239.8910000 uA/um	 -166.5480000 nA/um	 977.3000000 uS	 97.73000000 uS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 2.44846 mA	 -1.68207 uA	 244.8460000 uA/um	 -168.2070000 nA/um	 1.014100000 mS	 101.4100000 uS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 2.50032 mA	 -1.69776 uA	 250.0320000 uA/um	 -169.7760000 nA/um	 1.058300000 mS	 105.8300000 uS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 2.55429 mA	 -1.71340 uA	 255.4290000 uA/um	 -171.3400000 nA/um	 1.099000000 mS	 109.9000000 uS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 2.61022 mA	 -1.72787 uA	 261.0220000 uA/um	 -172.7870000 nA/um	 1.141900000 mS	 114.1900000 uS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 2.66848 mA	 -1.74528 uA	 266.8480000 uA/um	 -174.5280000 nA/um	 1.178400000 mS	 117.8400000 uS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 2.72806 mA	 -1.76115 uA	 272.8060000 uA/um	 -176.1150000 nA/um	 1.227200000 mS	 122.7200000 uS/um
34	 -350.0 mV	 0 V	 2.0000 V	 0 V	 2.79120 mA	 -1.77640 uA	 279.1200000 uA/um	 -177.6400000 nA/um	 1.278100000 mS	 127.8100000 uS/um
35	 -300.0 mV	 0 V	 2.0000 V	 0 V	 2.85587 mA	 -1.79160 uA	 285.5870000 uA/um	 -179.1600000 nA/um	 1.318000000 mS	 131.8000000 uS/um
36	 -250.0 mV	 0 V	 2.0000 V	 0 V	 2.92300 mA	 -1.80590 uA	 292.3000000 uA/um	 -180.5900000 nA/um	 1.379600000 mS	 137.9600000 uS/um
37	 -200.0 mV	 0 V	 2.0000 V	 0 V	 2.99383 mA	 -1.82156 uA	 299.3830000 uA/um	 -182.1560000 nA/um	 1.432100000 mS	 143.2100000 uS/um
38	 -150.0 mV	 0 V	 2.0000 V	 0 V	 3.06621 mA	 -1.83095 uA	 306.6210000 uA/um	 -183.0950000 nA/um	 1.472000000 mS	 147.2000000 uS/um
39	 -100.0 mV	 0 V	 2.0000 V	 0 V	 3.14103 mA	 -1.84556 uA	 314.1030000 uA/um	 -184.5560000 nA/um	 1.522700000 mS	 152.2700000 uS/um
40	 -50.0 mV	 0 V	 2.0000 V	 0 V	 3.21848 mA	 -1.85493 uA	 321.8480000 uA/um	 -185.4930000 nA/um	 1.581000000 mS	 158.1000000 uS/um
41	 0 V	 0 V	 2.0000 V	 0 V	 3.29913 mA	 -1.86851 uA	 329.9130000 uA/um	 -186.8510000 nA/um	 1.640900000 mS	 164.0900000 uS/um
42	 50.0 mV	 0 V	 2.0000 V	 0 V	 3.38257 mA	 -1.87747 uA	 338.2570000 uA/um	 -187.7470000 nA/um	 1.697700000 mS	 169.7700000 uS/um
43	 100.0 mV	 0 V	 2.0000 V	 0 V	 3.46890 mA	 -1.88671 uA	 346.8900000 uA/um	 -188.6710000 nA/um	 1.754400000 mS	 175.4400000 uS/um
44	 150.0 mV	 0 V	 2.0000 V	 0 V	 3.55801 mA	 -1.89576 uA	 355.8010000 uA/um	 -189.5760000 nA/um	 1.807100000 mS	 180.7100000 uS/um
45	 200.0 mV	 0 V	 2.0000 V	 0 V	 3.64961 mA	 -1.90366 uA	 364.9610000 uA/um	 -190.3660000 nA/um	 1.873200000 mS	 187.3200000 uS/um
46	 250.0 mV	 0 V	 2.0000 V	 0 V	 3.74533 mA	 -1.91244 uA	 374.5330000 uA/um	 -191.2440000 nA/um	 1.940200000 mS	 194.0200000 uS/um
47	 300.0 mV	 0 V	 2.0000 V	 0 V	 3.84363 mA	 -1.91752 uA	 384.3630000 uA/um	 -191.7520000 nA/um	 2.023900000 mS	 202.3900000 uS/um
48	 350.0 mV	 0 V	 2.0000 V	 0 V	 3.94772 mA	 -1.92346 uA	 394.7720000 uA/um	 -192.3460000 nA/um	 2.117900000 mS	 211.7900000 uS/um
49	 400.0 mV	 0 V	 2.0000 V	 0 V	 4.05542 mA	 -1.93144 uA	 405.5420000 uA/um	 -193.1440000 nA/um	 2.210300000 mS	 221.0300000 uS/um
50	 450.0 mV	 0 V	 2.0000 V	 0 V	 4.16875 mA	 -1.93579 uA	 416.8750000 uA/um	 -193.5790000 nA/um	 2.317900000 mS	 231.7900000 uS/um
51	 500.0 mV	 0 V	 2.0000 V	 0 V	 4.28721 mA	 -1.94198 uA	 428.7210000 uA/um	 -194.1980000 nA/um	 2.443600000 mS	 244.3600000 uS/um
52	 550.0 mV	 0 V	 2.0000 V	 0 V	 4.41311 mA	 -1.94763 uA	 441.3110000 uA/um	 -194.7630000 nA/um	 2.591800000 mS	 259.1800000 uS/um
53	 600.0 mV	 0 V	 2.0000 V	 0 V	 4.54639 mA	 -1.95485 uA	 454.6390000 uA/um	 -195.4850000 nA/um	 2.740600000 mS	 274.0600000 uS/um
54	 650.0 mV	 0 V	 2.0000 V	 0 V	 4.68717 mA	 -1.96079 uA	 468.7170000 uA/um	 -196.0790000 nA/um	 2.910500000 mS	 291.0500000 uS/um
55	 700.0 mV	 0 V	 2.0000 V	 0 V	 4.83744 mA	 -1.96329 uA	 483.7440000 uA/um	 -196.3290000 nA/um	 3.103500000 mS	 310.3500000 uS/um
56	 750.0 mV	 0 V	 2.0000 V	 0 V	 4.99752 mA	 -1.96933 uA	 499.7520000 uA/um	 -196.9330000 nA/um	 3.303600000 mS	 330.3600000 uS/um
57	 800.0 mV	 0 V	 2.0000 V	 0 V	 5.16780 mA	 -1.97166 uA	 516.7800000 uA/um	 -197.1660000 nA/um	 3.512100000 mS	 351.2100000 uS/um
58	 850.0 mV	 0 V	 2.0000 V	 0 V	 5.34873 mA	 -1.97400 uA	 534.8730000 uA/um	 -197.4000000 nA/um	 3.734100000 mS	 373.4100000 uS/um
59	 900.0 mV	 0 V	 2.0000 V	 0 V	 5.54121 mA	 -1.97409 uA	 554.1210000 uA/um	 -197.4090000 nA/um	 3.990100000 mS	 399.0100000 uS/um
60	 950.0 mV	 0 V	 2.0000 V	 0 V	 5.74774 mA	 -1.97259 uA	 574.7740000 uA/um	 -197.2590000 nA/um	 4.264300000 mS	 426.4300000 uS/um
61	 1.0000 V	 0 V	 2.0000 V	 0 V	 5.96764 mA	 -1.96730 uA	 596.7640000 uA/um	 -196.7300000 nA/um	 4.537100000 mS	 453.7100000 uS/um
62	 1.0500 V	 0 V	 2.0000 V	 0 V	 6.20145 mA	 -1.96053 uA	 620.1450000 uA/um	 -196.0530000 nA/um	 4.826600000 mS	 482.6600000 uS/um
63	 1.1000 V	 0 V	 2.0000 V	 0 V	 6.45030 mA	 -1.95011 uA	 645.0300000 uA/um	 -195.0110000 nA/um	 5.129400000 mS	 512.9400000 uS/um
64	 1.1500 V	 0 V	 2.0000 V	 0 V	 6.71439 mA	 -1.93754 uA	 671.4390000 uA/um	 -193.7540000 nA/um	 5.429800000 mS	 542.9800000 uS/um
65	 1.2000 V	 0 V	 2.0000 V	 0 V	 6.99328 mA	 -1.92021 uA	 699.3280000 uA/um	 -192.0210000 nA/um	 5.711600000 mS	 571.1600000 uS/um
66	 1.2500 V	 0 V	 2.0000 V	 0 V	 7.28555 mA	 -1.89937 uA	 728.5550000 uA/um	 -189.9370000 nA/um	 5.990600000 mS	 599.0600000 uS/um
67	 1.3000 V	 0 V	 2.0000 V	 0 V	 7.59234 mA	 -1.87258 uA	 759.2340000 uA/um	 -187.2580000 nA/um	 6.251300000 mS	 625.1300000 uS/um
68	 1.3500 V	 0 V	 2.0000 V	 0 V	 7.91068 mA	 -1.84521 uA	 791.0680000 uA/um	 -184.5210000 nA/um	 6.509200000 mS	 650.9200000 uS/um
69	 1.4000 V	 0 V	 2.0000 V	 0 V	 8.24326 mA	 -1.81320 uA	 824.3260000 uA/um	 -181.3200000 nA/um	 6.742400000 mS	 674.2400000 uS/um
70	 1.4500 V	 0 V	 2.0000 V	 0 V	 8.58492 mA	 -1.77698 uA	 858.4920000 uA/um	 -177.6980000 nA/um	 6.934700000 mS	 693.4700000 uS/um
71	 1.5000 V	 0 V	 2.0000 V	 0 V	 8.93673 mA	 -1.73852 uA	 893.6730000 uA/um	 -173.8520000 nA/um	 7.110800000 mS	 711.0800000 uS/um
72	 1.5500 V	 0 V	 2.0000 V	 0 V	 9.29600 mA	 -1.69785 uA	 929.6000000 uA/um	 -169.7850000 nA/um	 7.290300000 mS	 729.0300000 uS/um
73	 1.6000 V	 0 V	 2.0000 V	 0 V	 9.66576 mA	 -1.65488 uA	 966.5760000 uA/um	 -165.4880000 nA/um	 7.450500000 mS	 745.0500000 uS/um
74	 1.6500 V	 0 V	 2.0000 V	 0 V	 10.04105 mA	 -1.61094 uA	 1.004105000 mA/um	 -161.0940000 nA/um	 7.585900000 mS	 758.5900000 uS/um
75	 1.7000 V	 0 V	 2.0000 V	 0 V	 10.42435 mA	 -1.56477 uA	 1.042435000 mA/um	 -156.4770000 nA/um	 7.702600000 mS	 770.2600000 uS/um
76	 1.7500 V	 0 V	 2.0000 V	 0 V	 10.81131 mA	 -1.51875 uA	 1.081131000 mA/um	 -151.8750000 nA/um	 7.809500000 mS	 780.9500000 uS/um
77	 1.8000 V	 0 V	 2.0000 V	 0 V	 11.20530 mA	 -1.47194 uA	 1.120530000 mA/um	 -147.1940000 nA/um	 7.819900000 mS	 781.9900000 uS/um
78	 1.8500 V	 0 V	 2.0000 V	 0 V	 11.5933 mA	 -1.42634 uA	 1.159330000 mA/um	 -142.6340000 nA/um	 7.932000000 mS	 793.2000000 uS/um
79	 1.9000 V	 0 V	 2.0000 V	 0 V	 11.9985 mA	 -1.37918 uA	 1.199850000 mA/um	 -137.9180000 nA/um	 8.101000000 mS	 810.1000000 uS/um
80	 1.9500 V	 0 V	 2.0000 V	 0 V	 12.4034 mA	 -1.33369 uA	 1.240340000 mA/um	 -133.3690000 nA/um	 8.163000000 mS	 816.3000000 uS/um
81	 2.0000 V	 0 V	 2.0000 V	 0 V	 12.8148 mA	 -1.28879 uA	 1.281480000 mA/um	 -128.8790000 nA/um	 8.244000000 mS	 824.4000000 uS/um
82	 2.0500 V	 0 V	 2.0000 V	 0 V	 13.2278 mA	 -1.24384 uA	 1.322780000 mA/um	 -124.3840000 nA/um	 8.312000000 mS	 831.2000000 uS/um
83	 2.1000 V	 0 V	 2.0000 V	 0 V	 13.6460 mA	 -1.20001 uA	 1.364600000 mA/um	 -120.0010000 nA/um	 8.366000000 mS	 836.6000000 uS/um
84	 2.1500 V	 0 V	 2.0000 V	 0 V	 14.0644 mA	 -1.15779 uA	 1.406440000 mA/um	 -115.7790000 nA/um	 8.401000000 mS	 840.1000000 uS/um
85	 2.2000 V	 0 V	 2.0000 V	 0 V	 14.4861 mA	 -1.11540 uA	 1.448610000 mA/um	 -111.5400000 nA/um	 8.454000000 mS	 845.4000000 uS/um
86	 2.2500 V	 0 V	 2.0000 V	 0 V	 14.9098 mA	 -1.07457 uA	 1.490980000 mA/um	 -107.4570000 nA/um	 8.509000000 mS	 850.9000000 uS/um
87	 2.3000 V	 0 V	 2.0000 V	 0 V	 15.3370 mA	 -1.03469 uA	 1.533700000 mA/um	 -103.4690000 nA/um	 8.522000000 mS	 852.2000000 uS/um
88	 2.3500 V	 0 V	 2.0000 V	 0 V	 15.7620 mA	 -996.744 nA	 1.576200000 mA/um	 -99.67440000 nA/um	 8.550000000 mS	 855.0000000 uS/um
89	 2.4000 V	 0 V	 2.0000 V	 0 V	 16.1920 mA	 -959.370 nA	 1.619200000 mA/um	 -95.93700000 nA/um	 8.604000000 mS	 860.4000000 uS/um
90	 2.4500 V	 0 V	 2.0000 V	 0 V	 16.6224 mA	 -923.041 nA	 1.662240000 mA/um	 -92.30410000 nA/um	 8.618000000 mS	 861.8000000 uS/um
91	 2.5000 V	 0 V	 2.0000 V	 0 V	 17.0538 mA	 -888.420 nA	 1.705380000 mA/um	 -88.84200000 nA/um	 8.619000000 mS	 861.9000000 uS/um
92	 2.5500 V	 0 V	 2.0000 V	 0 V	 17.4843 mA	 -854.514 nA	 1.748430000 mA/um	 -85.45140000 nA/um	 8.631000000 mS	 863.1000000 uS/um
93	 2.6000 V	 0 V	 2.0000 V	 0 V	 17.9169 mA	 -821.433 nA	 1.791690000 mA/um	 -82.14330000 nA/um	 8.685000000 mS	 868.5000000 uS/um
94	 2.6500 V	 0 V	 2.0000 V	 0 V	 18.3528 mA	 -789.836 nA	 1.835280000 mA/um	 -78.98360000 nA/um	 8.696000000 mS	 869.6000000 uS/um
95	 2.7000 V	 0 V	 2.0000 V	 0 V	 18.7865 mA	 -759.009 nA	 1.878650000 mA/um	 -75.90090000 nA/um	 8.697000000 mS	 869.7000000 uS/um
96	 2.7500 V	 0 V	 2.0000 V	 0 V	 19.2225 mA	 -729.044 nA	 1.922250000 mA/um	 -72.90440000 nA/um	 8.720000000 mS	 872.0000000 uS/um
97	 2.8000 V	 0 V	 2.0000 V	 0 V	 19.6585 mA	 -700.230 nA	 1.965850000 mA/um	 -70.02300000 nA/um	 8.711000000 mS	 871.1000000 uS/um
98	 2.8500 V	 0 V	 2.0000 V	 0 V	 20.0936 mA	 -672.884 nA	 2.009360000 mA/um	 -67.28840000 nA/um	 8.707000000 mS	 870.7000000 uS/um
99	 2.9000 V	 0 V	 2.0000 V	 0 V	 20.5292 mA	 -646.211 nA	 2.052920000 mA/um	 -64.62110000 nA/um	 8.731000000 mS	 873.1000000 uS/um
100	 2.9500 V	 0 V	 2.0000 V	 0 V	 20.9667 mA	 -620.756 nA	 2.096670000 mA/um	 -62.07560000 nA/um	 8.736000000 mS	 873.6000000 uS/um
101	 3.0000 V	 0 V	 2.0000 V	 0 V	 21.4028 mA	 -595.968 nA	 2.140280000 mA/um	 -59.59680000 nA/um	 8.724000000 mS	 872.4000000 uS/um
102	 3.0500 V	 0 V	 2.0000 V	 0 V	 21.8391 mA	 -571.940 nA	 2.183910000 mA/um	 -57.19400000 nA/um	 8.710000000 mS	 871.0000000 uS/um
103	 3.1000 V	 0 V	 2.0000 V	 0 V	 22.2738 mA	 -549.397 nA	 2.227380000 mA/um	 -54.93970000 nA/um	 8.716000000 mS	 871.6000000 uS/um
104	 3.1500 V	 0 V	 2.0000 V	 0 V	 22.7107 mA	 -527.556 nA	 2.271070000 mA/um	 -52.75560000 nA/um	 8.705000000 mS	 870.5000000 uS/um
105	 3.2000 V	 0 V	 2.0000 V	 0 V	 23.1443 mA	 -506.614 nA	 2.314430000 mA/um	 -50.66140000 nA/um	 8.696000000 mS	 869.6000000 uS/um
106	 3.2500 V	 0 V	 2.0000 V	 0 V	 23.5803 mA	 -486.334 nA	 2.358030000 mA/um	 -48.63340000 nA/um	 8.695000000 mS	 869.5000000 uS/um
107	 3.3000 V	 0 V	 2.0000 V	 0 V	 24.0138 mA	 -467.020 nA	 2.401380000 mA/um	 -46.70200000 nA/um	 8.690000000 mS	 869.0000000 uS/um
108	 3.3500 V	 0 V	 2.0000 V	 0 V	 24.4493 mA	 -448.199 nA	 2.444930000 mA/um	 -44.81990000 nA/um	 8.686000000 mS	 868.6000000 uS/um
109	 3.4000 V	 0 V	 2.0000 V	 0 V	 24.8824 mA	 -430.306 nA	 2.488240000 mA/um	 -43.03060000 nA/um	 8.668000000 mS	 866.8000000 uS/um
110	 3.4500 V	 0 V	 2.0000 V	 0 V	 25.3161 mA	 -412.933 nA	 2.531610000 mA/um	 -41.29330000 nA/um	 8.658000000 mS	 865.8000000 uS/um
