Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 100.00 mV	 0 V	 21.3932 uA	 1.622000000 uS
2	 -450.0 mV	 0 V	 100.00 mV	 0 V	 21.4743 uA	 1.065000000 uS
3	 -400.0 mV	 0 V	 100.00 mV	 0 V	 21.4997 uA	 432.0000000 nS
4	 -350.0 mV	 0 V	 100.00 mV	 0 V	 21.5175 uA	 319.0000000 nS
5	 -300.0 mV	 0 V	 100.00 mV	 0 V	 21.5316 uA	 278.0000000 nS
6	 -250.0 mV	 0 V	 100.00 mV	 0 V	 21.5453 uA	 305.0000000 nS
7	 -200.0 mV	 0 V	 100.00 mV	 0 V	 21.5621 uA	 391.0000000 nS
8	 -150.0 mV	 0 V	 100.00 mV	 0 V	 21.5844 uA	 336.0000000 nS
9	 -100.0 mV	 0 V	 100.00 mV	 0 V	 21.5957 uA	 228.0000000 nS
10	 -50.0 mV	 0 V	 100.00 mV	 0 V	 21.6072 uA	 307.0000000 nS
11	 0 V	 0 V	 100.00 mV	 0 V	 21.6264 uA	 431.0000000 nS
12	 50.0 mV	 0 V	 100.00 mV	 0 V	 21.6503 uA	 355.0000000 nS
13	 100.0 mV	 0 V	 100.00 mV	 0 V	 21.6619 uA	 254.0000000 nS
14	 150.0 mV	 0 V	 100.00 mV	 0 V	 21.6757 uA	 454.0000000 nS
15	 200.0 mV	 0 V	 100.00 mV	 0 V	 21.7073 uA	 769.0000000 nS
16	 250.0 mV	 0 V	 100.00 mV	 0 V	 21.7526 uA	 351.0000000 nS
17	 300.0 mV	 0 V	 100.00 mV	 0 V	 21.7424 uA	 34.00000000 nS
18	 350.0 mV	 0 V	 100.00 mV	 0 V	 21.7560 uA	 529.0000000 nS
19	 400.0 mV	 0 V	 100.00 mV	 0 V	 21.7953 uA	 878.0000000 nS
20	 450.0 mV	 0 V	 100.00 mV	 0 V	 21.8438 uA	 1.033000000 uS
21	 500.0 mV	 0 V	 100.00 mV	 0 V	 21.8986 uA	 1.467000000 uS
22	 550.0 mV	 0 V	 100.00 mV	 0 V	 21.9905 uA	 2.166000000 uS
23	 600.0 mV	 0 V	 100.00 mV	 0 V	 22.1152 uA	 2.923000000 uS
24	 650.0 mV	 0 V	 100.00 mV	 0 V	 22.2828 uA	 4.090000000 uS
25	 700.0 mV	 0 V	 100.00 mV	 0 V	 22.5242 uA	 5.729000000 uS
26	 750.0 mV	 0 V	 100.00 mV	 0 V	 22.8557 uA	 7.636000000 uS
27	 800.0 mV	 0 V	 100.00 mV	 0 V	 23.2878 uA	 10.06000000 uS
28	 850.0 mV	 0 V	 100.00 mV	 0 V	 23.8617 uA	 12.61100000 uS
29	 900.0 mV	 0 V	 100.00 mV	 0 V	 24.5489 uA	 15.61600000 uS
30	 950.0 mV	 0 V	 100.00 mV	 0 V	 25.4233 uA	 18.70400000 uS
31	 1.0000 V	 0 V	 100.00 mV	 0 V	 26.4193 uA	 21.32300000 uS
32	 1.0500 V	 0 V	 100.00 mV	 0 V	 27.5556 uA	 23.91100000 uS
33	 1.1000 V	 0 V	 100.00 mV	 0 V	 28.8104 uA	 27.24400000 uS
34	 1.1500 V	 0 V	 100.00 mV	 0 V	 30.2800 uA	 30.13800000 uS
35	 1.2000 V	 0 V	 100.00 mV	 0 V	 31.8242 uA	 32.19800000 uS
36	 1.2500 V	 0 V	 100.00 mV	 0 V	 33.4998 uA	 34.51000000 uS
37	 1.3000 V	 0 V	 100.00 mV	 0 V	 35.2752 uA	 36.44500000 uS
38	 1.3500 V	 0 V	 100.00 mV	 0 V	 37.1443 uA	 38.80100000 uS
39	 1.4000 V	 0 V	 100.00 mV	 0 V	 39.1553 uA	 40.56900000 uS
40	 1.4500 V	 0 V	 100.00 mV	 0 V	 41.2012 uA	 41.75800000 uS
41	 1.5000 V	 0 V	 100.00 mV	 0 V	 43.3311 uA	 42.82500000 uS
42	 1.5500 V	 0 V	 100.00 mV	 0 V	 45.4837 uA	 43.25500000 uS
43	 1.6000 V	 0 V	 100.00 mV	 0 V	 47.6566 uA	 43.54600000 uS
44	 1.6500 V	 0 V	 100.00 mV	 0 V	 49.8383 uA	 43.68100000 uS
45	 1.7000 V	 0 V	 100.00 mV	 0 V	 52.0247 uA	 43.88100000 uS
46	 1.7500 V	 0 V	 100.00 mV	 0 V	 54.2264 uA	 44.02100000 uS
47	 1.8000 V	 0 V	 100.00 mV	 0 V	 56.4268 uA	 43.85700000 uS
48	 1.8500 V	 0 V	 100.00 mV	 0 V	 58.6121 uA	 43.89400000 uS
49	 1.9000 V	 0 V	 100.00 mV	 0 V	 60.8162 uA	 43.91700000 uS
50	 1.9500 V	 0 V	 100.00 mV	 0 V	 63.0038 uA	 43.27400000 uS
51	 2.0000 V	 0 V	 100.00 mV	 0 V	 65.1436 uA	 42.71700000 uS
52	 2.0500 V	 0 V	 100.00 mV	 0 V	 67.2755 uA	 42.89000000 uS
53	 2.1000 V	 0 V	 100.00 mV	 0 V	 69.4326 uA	 42.65400000 uS
54	 2.1500 V	 0 V	 100.00 mV	 0 V	 71.5409 uA	 41.69200000 uS
55	 2.2000 V	 0 V	 100.00 mV	 0 V	 73.6018 uA	 41.71200000 uS
56	 2.2500 V	 0 V	 100.00 mV	 0 V	 75.7121 uA	 41.65100000 uS
57	 2.3000 V	 0 V	 100.00 mV	 0 V	 77.7669 uA	 40.69400000 uS
58	 2.3500 V	 0 V	 100.00 mV	 0 V	 79.7815 uA	 40.23900000 uS
59	 2.4000 V	 0 V	 100.00 mV	 0 V	 81.7908 uA	 40.17300000 uS
60	 2.4500 V	 0 V	 100.00 mV	 0 V	 83.7988 uA	 39.57000000 uS
61	 2.5000 V	 0 V	 100.00 mV	 0 V	 85.7478 uA	 38.84600000 uS
62	 2.5500 V	 0 V	 100.00 mV	 0 V	 87.6834 uA	 38.40000000 uS
63	 2.6000 V	 0 V	 100.00 mV	 0 V	 89.5878 uA	 38.01100000 uS
64	 2.6500 V	 0 V	 100.00 mV	 0 V	 91.4845 uA	 37.39800000 uS
65	 2.7000 V	 0 V	 100.00 mV	 0 V	 93.3276 uA	 36.57800000 uS
66	 2.7500 V	 0 V	 100.00 mV	 0 V	 95.1423 uA	 36.25700000 uS
67	 2.8000 V	 0 V	 100.00 mV	 0 V	 96.9533 uA	 35.60500000 uS
68	 2.8500 V	 0 V	 100.00 mV	 0 V	 98.7028 uA	 34.56100000 uS
69	 2.9000 V	 0 V	 100.00 mV	 0 V	 100.4094 uA	 34.33600000 uS
70	 2.9500 V	 0 V	 100.00 mV	 0 V	 102.1364 uA	 34.03000000 uS
71	 3.0000 V	 0 V	 100.00 mV	 0 V	 103.8124 uA	 33.37000000 uS
72	 3.0500 V	 0 V	 100.00 mV	 0 V	 105.4734 uA	 32.93400000 uS
73	 3.1000 V	 0 V	 100.00 mV	 0 V	 107.1058 uA	 32.25400000 uS
74	 3.1500 V	 0 V	 100.00 mV	 0 V	 108.6988 uA	 30.96200000 uS
75	 3.2000 V	 0 V	 100.00 mV	 0 V	 110.202 uA	 30.62200000 uS
76	 3.2500 V	 0 V	 100.00 mV	 0 V	 111.761 uA	 30.65000000 uS
77	 3.3000 V	 0 V	 100.00 mV	 0 V	 113.267 uA	 29.67000000 uS
78	 3.3500 V	 0 V	 100.00 mV	 0 V	 114.728 uA	 29.57000000 uS
79	 3.4000 V	 0 V	 100.00 mV	 0 V	 116.224 uA	 29.10000000 uS
80	 3.4500 V	 0 V	 100.00 mV	 0 V	 117.638 uA	 28.00000000 uS
81	 3.5000 V	 0 V	 100.00 mV	 0 V	 119.024 uA	 27.83000000 uS
82	 3.5500 V	 0 V	 100.00 mV	 0 V	 120.421 uA	 27.53000000 uS
83	 3.6000 V	 0 V	 100.00 mV	 0 V	 121.777 uA	 27.06000000 uS
84	 3.6500 V	 0 V	 100.00 mV	 0 V	 123.127 uA	 26.39000000 uS
85	 3.7000 V	 0 V	 100.00 mV	 0 V	 124.416 uA	 25.87000000 uS
86	 3.7500 V	 0 V	 100.00 mV	 0 V	 125.714 uA	 25.52000000 uS
87	 3.8000 V	 0 V	 100.00 mV	 0 V	 126.968 uA	 24.85000000 uS
88	 3.8500 V	 0 V	 100.00 mV	 0 V	 128.199 uA	 24.90000000 uS
89	 3.9000 V	 0 V	 100.00 mV	 0 V	 129.458 uA	 24.45000000 uS
90	 3.9500 V	 0 V	 100.00 mV	 0 V	 130.644 uA	 23.59000000 uS
91	 4.0000 V	 0 V	 100.00 mV	 0 V	 131.817 uA	 23.31000000 uS
92	 4.0500 V	 0 V	 100.00 mV	 0 V	 132.975 uA	 23.24000000 uS
93	 4.1000 V	 0 V	 100.00 mV	 0 V	 134.141 uA	 22.78000000 uS
94	 4.1500 V	 0 V	 100.00 mV	 0 V	 135.253 uA	 22.17000000 uS
95	 4.2000 V	 0 V	 100.00 mV	 0 V	 136.358 uA	 22.19000000 uS
96	 4.2500 V	 0 V	 100.00 mV	 0 V	 137.472 uA	 21.78000000 uS
97	 4.3000 V	 0 V	 100.00 mV	 0 V	 138.536 uA	 21.25000000 uS
98	 4.3500 V	 0 V	 100.00 mV	 0 V	 139.597 uA	 21.10000000 uS
99	 4.4000 V	 0 V	 100.00 mV	 0 V	 140.646 uA	 20.78000000 uS
100	 4.4500 V	 0 V	 100.00 mV	 0 V	 141.675 uA	 20.31000000 uS
101	 4.5000 V	 0 V	 100.00 mV	 0 V	 142.677 uA	 19.83000000 uS
102	 4.5500 V	 0 V	 100.00 mV	 0 V	 143.658 uA	 19.75000000 uS
103	 4.6000 V	 0 V	 100.00 mV	 0 V	 144.652 uA	 19.48000000 uS
104	 4.6500 V	 0 V	 100.00 mV	 0 V	 145.606 uA	 18.79000000 uS
105	 4.7000 V	 0 V	 100.00 mV	 0 V	 146.531 uA	 18.96000000 uS
106	 4.7500 V	 0 V	 100.00 mV	 0 V	 147.502 uA	 18.79000000 uS
107	 4.8000 V	 0 V	 100.00 mV	 0 V	 148.410 uA	 18.14000000 uS
108	 4.8500 V	 0 V	 100.00 mV	 0 V	 149.316 uA	 17.98000000 uS
109	 4.9000 V	 0 V	 100.00 mV	 0 V	 150.208 uA	 17.89000000 uS
110	 4.9500 V	 0 V	 100.00 mV	 0 V	 151.105 uA	 17.65000000 uS
111	 5.0000 V	 0 V	 100.00 mV	 0 V	 151.973 uA	 17.36000000 uS
