Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 2.66184 nA	 -1.97507 nA	 266.1840000 pA/um	 -197.5070000 pA/um	 95.20000000 pS	 9.520000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 2.66660 nA	 -1.97199 nA	 266.6600000 pA/um	 -197.1990000 pA/um	 90.50000000 pS	 9.050000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 2.67089 nA	 -2.01999 nA	 267.0890000 pA/um	 -201.9990000 pA/um	 209.1000000 pS	 20.91000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 2.68751 nA	 -2.01855 nA	 268.7510000 pA/um	 -201.8550000 pA/um	 192.0000000 pS	 19.20000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 2.69009 nA	 -2.01641 nA	 269.0090000 pA/um	 -201.6410000 pA/um	 -48.90000000 pS	 -4.890000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 2.68262 nA	 -1.97466 nA	 268.2620000 pA/um	 -197.4660000 pA/um	 -82.30000000 pS	 -8.230000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 2.68186 nA	 -1.98353 nA	 268.1860000 pA/um	 -198.3530000 pA/um	 -65.90000000 pS	 -6.590000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 2.67603 nA	 -1.98646 nA	 267.6030000 pA/um	 -198.6460000 pA/um	 23.50000000 pS	 2.350000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 2.68421 nA	 -1.98822 nA	 268.4210000 pA/um	 -198.8220000 pA/um	 127.7000000 pS	 12.77000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 2.68880 nA	 -1.98276 nA	 268.8800000 pA/um	 -198.2760000 pA/um	 8.200000000 pS	 820.0000000 fS/um
