Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 4.44150 uA	 444.1500000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 109.780 uA	 10.97800000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 204.110 uA	 20.41100000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 290.160 uA	 29.01600000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 422.550 uA	 42.25500000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 514.650 uA	 51.46500000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 570.750 uA	 57.07500000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 692.020 uA	 69.20200000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 826.320 uA	 82.63200000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 863.290 uA	 86.32900000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 939.240 uA	 93.92400000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.124630 mA	 112.4630000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 1.17710 mA	 117.7100000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 1.29920 mA	 129.9200000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 1.28260 mA	 128.2600000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 1.39190 mA	 139.1900000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 1.59150 mA	 159.1500000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 1.64420 mA	 164.4200000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 1.61190 mA	 161.1900000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 1.70170 mA	 170.1700000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 1.94110 mA	 194.1100000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 1.94370 mA	 194.3700000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 1.90440 mA	 190.4400000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 2.13620 mA	 213.6200000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 2.26100 mA	 226.1000000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 2.15270 mA	 215.2700000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 2.25850 mA	 225.8500000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 2.52380 mA	 252.3800000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 2.52120 mA	 252.1200000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 2.42050 mA	 242.0500000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 2.52820 mA	 252.8200000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 2.82790 mA	 282.7900000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 2.85480 mA	 285.4800000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 2.72050 mA	 272.0500000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 2.75820 mA	 275.8200000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 3.11620 mA	 311.6200000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 3.11080 mA	 311.0800000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 2.94530 mA	 294.5300000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 3.02130 mA	 302.1300000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 3.38440 mA	 338.4400000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 3.25020 mA	 325.0200000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 3.17500 mA	 317.5000000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 3.57820 mA	 357.8200000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 3.52130 mA	 352.1300000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 3.32160 mA	 332.1600000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 3.67130 mA	 367.1300000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 3.74310 mA	 374.3100000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 3.48730 mA	 348.7300000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 3.69970 mA	 369.9700000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 3.96450 mA	 396.4500000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 3.85960 mA	 385.9600000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 3.67920 mA	 367.9200000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 3.88770 mA	 388.7700000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 4.17830 mA	 417.8300000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 3.99710 mA	 399.7100000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 3.90050 mA	 390.0500000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 4.35780 mA	 435.7800000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 4.32090 mA	 432.0900000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 4.07010 mA	 407.0100000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 4.08220 mA	 408.2200000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 4.44080 mA	 444.0800000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 4.54270 mA	 454.2700000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 4.20080 mA	 420.0800000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 4.33860 mA	 433.8600000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 4.70280 mA	 470.2800000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 4.52840 mA	 452.8400000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 4.34250 mA	 434.2500000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 4.79660 mA	 479.6600000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 4.78430 mA	 478.4300000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 4.51630 mA	 451.6300000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 4.54470 mA	 454.4700000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 4.92460 mA	 492.4600000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 4.91060 mA	 491.0600000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 4.61900 mA	 461.9000000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 4.72610 mA	 472.6100000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 5.18230 mA	 518.2300000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 5.02270 mA	 502.2700000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 4.75530 mA	 475.5300000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 4.91350 mA	 491.3500000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 5.26490 mA	 526.4900000 uA/um
