Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 8.05310 uA	 -333 fA	 805.3100000 nA/um	 -33.30000000 fA/um	 911.4000000 nS	 91.14000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 8.09867 uA	 -658 fA	 809.8670000 nA/um	 -65.80000000 fA/um	 474.9000000 nS	 47.49000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 8.10059 uA	 -607 fA	 810.0590000 nA/um	 -60.70000000 fA/um	 62.70000000 nS	 6.270000000 nS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 8.10494 uA	 -758 fA	 810.4940000 nA/um	 -75.80000000 fA/um	 25.60000000 nS	 2.560000000 nS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 8.10315 uA	 -670 fA	 810.3150000 nA/um	 -67.00000000 fA/um	 -4.500000000 nS	 -450.0000000 pS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 8.10449 uA	 -652 fA	 810.4490000 nA/um	 -65.20000000 fA/um	 30.40000000 nS	 3.040000000 nS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 8.10619 uA	 -768 fA	 810.6190000 nA/um	 -76.80000000 fA/um	 17.20000000 nS	 1.720000000 nS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 8.10621 uA	 -636 fA	 810.6210000 nA/um	 -63.60000000 fA/um	 15.00000000 nS	 1.500000000 nS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 8.10769 uA	 -876 fA	 810.7690000 nA/um	 -87.60000000 fA/um	 52.50000000 nS	 5.250000000 nS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 8.11146 uA	 -797 fA	 811.1460000 nA/um	 -79.70000000 fA/um	 43.40000000 nS	 4.340000000 nS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 8.11203 uA	 -927 fA	 811.2030000 nA/um	 -92.70000000 fA/um	 24.00000000 nS	 2.400000000 nS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 8.11386 uA	 -714 fA	 811.3860000 nA/um	 -71.40000000 fA/um	 30.00000000 nS	 3.000000000 nS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 8.11503 uA	 -576 fA	 811.5030000 nA/um	 -57.60000000 fA/um	 37.40000000 nS	 3.740000000 nS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 8.11760 uA	 -640 fA	 811.7600000 nA/um	 -64.00000000 fA/um	 31.80000000 nS	 3.180000000 nS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 8.11821 uA	 -718 fA	 811.8210000 nA/um	 -71.80000000 fA/um	 20.20000000 nS	 2.020000000 nS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 8.11962 uA	 -717 fA	 811.9620000 nA/um	 -71.70000000 fA/um	 48.10000000 nS	 4.810000000 nS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 8.12302 uA	 -916 fA	 812.3020000 nA/um	 -91.60000000 fA/um	 56.50000000 nS	 5.650000000 nS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 8.12527 uA	 -783 fA	 812.5270000 nA/um	 -78.30000000 fA/um	 52.60000000 nS	 5.260000000 nS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 8.12828 uA	 -588 fA	 812.8280000 nA/um	 -58.80000000 fA/um	 57.90000000 nS	 5.790000000 nS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 8.13106 uA	 -825 fA	 813.1060000 nA/um	 -82.50000000 fA/um	 84.50000000 nS	 8.450000000 nS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 8.13673 uA	 -870 fA	 813.6730000 nA/um	 -87.00000000 fA/um	 74.90000000 nS	 7.490000000 nS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 8.13855 uA	 -841 fA	 813.8550000 nA/um	 -84.10000000 fA/um	 33.50000000 nS	 3.350000000 nS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 8.14008 uA	 -845 fA	 814.0080000 nA/um	 -84.50000000 fA/um	 50.10000000 nS	 5.010000000 nS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 8.14356 uA	 -1.021 pA	 814.3560000 nA/um	 -102.1000000 fA/um	 59.70000000 nS	 5.970000000 nS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 8.14605 uA	 -846 fA	 814.6050000 nA/um	 -84.60000000 fA/um	 65.30000000 nS	 6.530000000 nS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 8.15009 uA	 -954 fA	 815.0090000 nA/um	 -95.40000000 fA/um	 82.00000000 nS	 8.200000000 nS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 8.15425 uA	 -1.036 pA	 815.4250000 nA/um	 -103.6000000 fA/um	 104.5000000 nS	 10.45000000 nS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 8.16054 uA	 -958 fA	 816.0540000 nA/um	 -95.80000000 fA/um	 106.0000000 nS	 10.60000000 nS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 8.16485 uA	 -1.015 pA	 816.4850000 nA/um	 -101.5000000 fA/um	 62.50000000 nS	 6.250000000 nS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 8.16679 uA	 -756 fA	 816.6790000 nA/um	 -75.60000000 fA/um	 76.60000000 nS	 7.660000000 nS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 8.17251 uA	 -808 fA	 817.2510000 nA/um	 -80.80000000 fA/um	 101.9000000 nS	 10.19000000 nS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 8.17698 uA	 -1.021 pA	 817.6980000 nA/um	 -102.1000000 fA/um	 79.20000000 nS	 7.920000000 nS/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 8.18043 uA	 -1.037 pA	 818.0430000 nA/um	 -103.7000000 fA/um	 82.70000000 nS	 8.270000000 nS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 8.18525 uA	 -1.036 pA	 818.5250000 nA/um	 -103.6000000 fA/um	 85.80000000 nS	 8.580000000 nS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 8.18901 uA	 -1.159 pA	 818.9010000 nA/um	 -115.9000000 fA/um	 63.30000000 nS	 6.330000000 nS/um
36	 -250.0 mV	 0 V	 10.00 mV	 0 V	 8.19158 uA	 -946 fA	 819.1580000 nA/um	 -94.60000000 fA/um	 67.00000000 nS	 6.700000000 nS/um
37	 -200.0 mV	 0 V	 10.00 mV	 0 V	 8.19571 uA	 -1.311 pA	 819.5710000 nA/um	 -131.1000000 fA/um	 95.30000000 nS	 9.530000000 nS/um
