Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 100.00 mV	 0 V	 86.1623 uA	 11.44400000 uS
2	 -450.0 mV	 0 V	 100.00 mV	 0 V	 86.7345 uA	 11.70700000 uS
3	 -400.0 mV	 0 V	 100.00 mV	 0 V	 87.3330 uA	 12.57900000 uS
4	 -350.0 mV	 0 V	 100.00 mV	 0 V	 87.9924 uA	 13.68300000 uS
5	 -300.0 mV	 0 V	 100.00 mV	 0 V	 88.7013 uA	 14.80300000 uS
6	 -250.0 mV	 0 V	 100.00 mV	 0 V	 89.4727 uA	 16.18100000 uS
7	 -200.0 mV	 0 V	 100.00 mV	 0 V	 90.3194 uA	 17.81800000 uS
8	 -150.0 mV	 0 V	 100.00 mV	 0 V	 91.2545 uA	 19.51900000 uS
9	 -100.0 mV	 0 V	 100.00 mV	 0 V	 92.2713 uA	 21.39800000 uS
10	 -50.0 mV	 0 V	 100.00 mV	 0 V	 93.3943 uA	 23.43900000 uS
11	 0 V	 0 V	 100.00 mV	 0 V	 94.6152 uA	 25.67700000 uS
12	 50.0 mV	 0 V	 100.00 mV	 0 V	 95.9620 uA	 27.95300000 uS
13	 100.0 mV	 0 V	 100.00 mV	 0 V	 97.4105 uA	 29.85200000 uS
14	 150.0 mV	 0 V	 100.00 mV	 0 V	 98.9472 uA	 32.17100000 uS
15	 200.0 mV	 0 V	 100.00 mV	 0 V	 100.6276 uA	 34.55300000 uS
16	 250.0 mV	 0 V	 100.00 mV	 0 V	 102.4025 uA	 36.55400000 uS
17	 300.0 mV	 0 V	 100.00 mV	 0 V	 104.2830 uA	 38.38800000 uS
18	 350.0 mV	 0 V	 100.00 mV	 0 V	 106.2413 uA	 40.37800000 uS
19	 400.0 mV	 0 V	 100.00 mV	 0 V	 108.3208 uA	 42.28700000 uS
20	 450.0 mV	 0 V	 100.00 mV	 0 V	 110.4700 uA	 42.68200000 uS
21	 500.0 mV	 0 V	 100.00 mV	 0 V	 112.589 uA	 44.19000000 uS
22	 550.0 mV	 0 V	 100.00 mV	 0 V	 114.889 uA	 45.66000000 uS
23	 600.0 mV	 0 V	 100.00 mV	 0 V	 117.155 uA	 45.74000000 uS
24	 650.0 mV	 0 V	 100.00 mV	 0 V	 119.463 uA	 46.47000000 uS
25	 700.0 mV	 0 V	 100.00 mV	 0 V	 121.802 uA	 46.44000000 uS
26	 750.0 mV	 0 V	 100.00 mV	 0 V	 124.107 uA	 46.50000000 uS
27	 800.0 mV	 0 V	 100.00 mV	 0 V	 126.452 uA	 46.64000000 uS
28	 850.0 mV	 0 V	 100.00 mV	 0 V	 128.771 uA	 46.01000000 uS
29	 900.0 mV	 0 V	 100.00 mV	 0 V	 131.053 uA	 45.47000000 uS
30	 950.0 mV	 0 V	 100.00 mV	 0 V	 133.318 uA	 44.90000000 uS
31	 1.0000 V	 0 V	 100.00 mV	 0 V	 135.543 uA	 44.26000000 uS
32	 1.0500 V	 0 V	 100.00 mV	 0 V	 137.744 uA	 43.41000000 uS
33	 1.1000 V	 0 V	 100.00 mV	 0 V	 139.884 uA	 42.30000000 uS
34	 1.1500 V	 0 V	 100.00 mV	 0 V	 141.974 uA	 41.59000000 uS
35	 1.2000 V	 0 V	 100.00 mV	 0 V	 144.043 uA	 40.50000000 uS
36	 1.2500 V	 0 V	 100.00 mV	 0 V	 146.024 uA	 39.60000000 uS
37	 1.3000 V	 0 V	 100.00 mV	 0 V	 148.003 uA	 38.93000000 uS
38	 1.3500 V	 0 V	 100.00 mV	 0 V	 149.917 uA	 37.83000000 uS
39	 1.4000 V	 0 V	 100.00 mV	 0 V	 151.786 uA	 36.65000000 uS
40	 1.4500 V	 0 V	 100.00 mV	 0 V	 153.582 uA	 35.89000000 uS
41	 1.5000 V	 0 V	 100.00 mV	 0 V	 155.375 uA	 35.35000000 uS
42	 1.5500 V	 0 V	 100.00 mV	 0 V	 157.117 uA	 34.49000000 uS
43	 1.6000 V	 0 V	 100.00 mV	 0 V	 158.824 uA	 33.11000000 uS
44	 1.6500 V	 0 V	 100.00 mV	 0 V	 160.428 uA	 32.23000000 uS
45	 1.7000 V	 0 V	 100.00 mV	 0 V	 162.047 uA	 31.77000000 uS
46	 1.7500 V	 0 V	 100.00 mV	 0 V	 163.605 uA	 30.83000000 uS
47	 1.8000 V	 0 V	 100.00 mV	 0 V	 165.130 uA	 29.88000000 uS
48	 1.8500 V	 0 V	 100.00 mV	 0 V	 166.593 uA	 29.19000000 uS
49	 1.9000 V	 0 V	 100.00 mV	 0 V	 168.049 uA	 28.58000000 uS
50	 1.9500 V	 0 V	 100.00 mV	 0 V	 169.451 uA	 27.88000000 uS
51	 2.0000 V	 0 V	 100.00 mV	 0 V	 170.837 uA	 27.13000000 uS
52	 2.0500 V	 0 V	 100.00 mV	 0 V	 172.164 uA	 26.29000000 uS
53	 2.1000 V	 0 V	 100.00 mV	 0 V	 173.466 uA	 25.70000000 uS
54	 2.1500 V	 0 V	 100.00 mV	 0 V	 174.734 uA	 25.28000000 uS
55	 2.2000 V	 0 V	 100.00 mV	 0 V	 175.994 uA	 24.75000000 uS
56	 2.2500 V	 0 V	 100.00 mV	 0 V	 177.209 uA	 24.02000000 uS
57	 2.3000 V	 0 V	 100.00 mV	 0 V	 178.396 uA	 23.40000000 uS
58	 2.3500 V	 0 V	 100.00 mV	 0 V	 179.549 uA	 23.16000000 uS
59	 2.4000 V	 0 V	 100.00 mV	 0 V	 180.712 uA	 22.56000000 uS
60	 2.4500 V	 0 V	 100.00 mV	 0 V	 181.805 uA	 21.77000000 uS
61	 2.5000 V	 0 V	 100.00 mV	 0 V	 182.889 uA	 21.47000000 uS
62	 2.5500 V	 0 V	 100.00 mV	 0 V	 183.952 uA	 21.05000000 uS
63	 2.6000 V	 0 V	 100.00 mV	 0 V	 184.994 uA	 20.70000000 uS
64	 2.6500 V	 0 V	 100.00 mV	 0 V	 186.022 uA	 20.09000000 uS
65	 2.7000 V	 0 V	 100.00 mV	 0 V	 187.003 uA	 19.69000000 uS
66	 2.7500 V	 0 V	 100.00 mV	 0 V	 187.991 uA	 19.42000000 uS
67	 2.8000 V	 0 V	 100.00 mV	 0 V	 188.945 uA	 18.88000000 uS
68	 2.8500 V	 0 V	 100.00 mV	 0 V	 189.879 uA	 18.60000000 uS
69	 2.9000 V	 0 V	 100.00 mV	 0 V	 190.805 uA	 18.23000000 uS
70	 2.9500 V	 0 V	 100.00 mV	 0 V	 191.702 uA	 17.94000000 uS
71	 3.0000 V	 0 V	 100.00 mV	 0 V	 192.599 uA	 17.64000000 uS
72	 3.0500 V	 0 V	 100.00 mV	 0 V	 193.466 uA	 17.13000000 uS
73	 3.1000 V	 0 V	 100.00 mV	 0 V	 194.312 uA	 16.95000000 uS
74	 3.1500 V	 0 V	 100.00 mV	 0 V	 195.161 uA	 16.71000000 uS
75	 3.2000 V	 0 V	 100.00 mV	 0 V	 195.983 uA	 16.39000000 uS
76	 3.2500 V	 0 V	 100.00 mV	 0 V	 196.800 uA	 15.88000000 uS
77	 3.3000 V	 0 V	 100.00 mV	 0 V	 197.571 uA	 15.43000000 uS
78	 3.3500 V	 0 V	 100.00 mV	 0 V	 198.343 uA	 15.51000000 uS
79	 3.4000 V	 0 V	 100.00 mV	 0 V	 199.122 uA	 15.32000000 uS
80	 3.4500 V	 0 V	 100.00 mV	 0 V	 199.875 uA	 14.78000000 uS
81	 3.5000 V	 0 V	 100.00 mV	 0 V	 200.600 uA	 14.56000000 uS
82	 3.5500 V	 0 V	 100.00 mV	 0 V	 201.331 uA	 14.43000000 uS
83	 3.6000 V	 0 V	 100.00 mV	 0 V	 202.043 uA	 14.18000000 uS
84	 3.6500 V	 0 V	 100.00 mV	 0 V	 202.749 uA	 14.02000000 uS
85	 3.7000 V	 0 V	 100.00 mV	 0 V	 203.445 uA	 13.91000000 uS
86	 3.7500 V	 0 V	 100.00 mV	 0 V	 204.140 uA	 13.61000000 uS
87	 3.8000 V	 0 V	 100.00 mV	 0 V	 204.806 uA	 13.48000000 uS
88	 3.8500 V	 0 V	 100.00 mV	 0 V	 205.488 uA	 13.36000000 uS
89	 3.9000 V	 0 V	 100.00 mV	 0 V	 206.142 uA	 12.71000000 uS
90	 3.9500 V	 0 V	 100.00 mV	 0 V	 206.759 uA	 12.49000000 uS
91	 4.0000 V	 0 V	 100.00 mV	 0 V	 207.391 uA	 12.65000000 uS
92	 4.0500 V	 0 V	 100.00 mV	 0 V	 208.024 uA	 12.51000000 uS
93	 4.1000 V	 0 V	 100.00 mV	 0 V	 208.642 uA	 12.27000000 uS
94	 4.1500 V	 0 V	 100.00 mV	 0 V	 209.251 uA	 12.08000000 uS
95	 4.2000 V	 0 V	 100.00 mV	 0 V	 209.850 uA	 11.81000000 uS
96	 4.2500 V	 0 V	 100.00 mV	 0 V	 210.432 uA	 11.64000000 uS
97	 4.3000 V	 0 V	 100.00 mV	 0 V	 211.014 uA	 11.43000000 uS
98	 4.3500 V	 0 V	 100.00 mV	 0 V	 211.575 uA	 11.32000000 uS
99	 4.4000 V	 0 V	 100.00 mV	 0 V	 212.146 uA	 11.20000000 uS
100	 4.4500 V	 0 V	 100.00 mV	 0 V	 212.695 uA	 10.97000000 uS
101	 4.5000 V	 0 V	 100.00 mV	 0 V	 213.243 uA	 10.96000000 uS
102	 4.5500 V	 0 V	 100.00 mV	 0 V	 213.791 uA	 10.79000000 uS
103	 4.6000 V	 0 V	 100.00 mV	 0 V	 214.322 uA	 10.52000000 uS
104	 4.6500 V	 0 V	 100.00 mV	 0 V	 214.843 uA	 10.49000000 uS
105	 4.7000 V	 0 V	 100.00 mV	 0 V	 215.371 uA	 10.48000000 uS
106	 4.7500 V	 0 V	 100.00 mV	 0 V	 215.891 uA	 10.26000000 uS
