

Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -5.0000 V	 0 V	 5.0000 V	 0 V	 25.017 pA	 -15.221 pA	 250.1700000 fA/um	 -152.2100000 fA/um	 -177.9600000 pS	 -1.779600000 pS/um
2	 -4.9500 V	 0 V	 5.0000 V	 0 V	 16.119 pA	 -14.148 pA	 161.1900000 fA/um	 -141.4800000 fA/um	 -108.2800000 pS	 -1.082800000 pS/um
3	 -4.9000 V	 0 V	 5.0000 V	 0 V	 14.189 pA	 -13.258 pA	 141.8900000 fA/um	 -132.5800000 fA/um	 -15.39000000 pS	 -153.9000000 fS/um
4	 -4.8500 V	 0 V	 5.0000 V	 0 V	 14.580 pA	 -12.644 pA	 145.8000000 fA/um	 -126.4400000 fA/um	 -20.47000000 pS	 -204.7000000 fS/um
5	 -4.8000 V	 0 V	 5.0000 V	 0 V	 12.142 pA	 -12.052 pA	 121.4200000 fA/um	 -120.5200000 fA/um	 -23.11000000 pS	 -231.1000000 fS/um
6	 -4.7500 V	 0 V	 5.0000 V	 0 V	 12.269 pA	 -11.653 pA	 122.6900000 fA/um	 -116.5300000 fA/um	 -2.220000000 pS	 -22.20000000 fS/um
7	 -4.7000 V	 0 V	 5.0000 V	 0 V	 11.920 pA	 -11.414 pA	 119.2000000 fA/um	 -114.1400000 fA/um	 -8.000000000 pS	 -80.00000000 fS/um
8	 -4.6500 V	 0 V	 5.0000 V	 0 V	 11.469 pA	 -11.380 pA	 114.6900000 fA/um	 -113.8000000 fA/um	 360.0000000 fS	 3.600000000 fS/um
9	 -4.6000 V	 0 V	 5.0000 V	 0 V	 11.956 pA	 -10.813 pA	 119.5600000 fA/um	 -108.1300000 fA/um	 5.220000000 pS	 52.20000000 fS/um
10	 -4.5500 V	 0 V	 5.0000 V	 0 V	 11.991 pA	 -10.762 pA	 119.9100000 fA/um	 -107.6200000 fA/um	 -7.930000000 pS	 -79.30000000 fS/um
11	 -4.5000 V	 0 V	 5.0000 V	 0 V	 11.163 pA	 -10.882 pA	 111.6300000 fA/um	 -108.8200000 fA/um	 -18.37000000 pS	 -183.7000000 fS/um
12	 -4.4500 V	 0 V	 5.0000 V	 0 V	 10.154 pA	 -10.587 pA	 101.5400000 fA/um	 -105.8700000 fA/um	 -9.770000000 pS	 -97.70000000 fS/um
13	 -4.4000 V	 0 V	 5.0000 V	 0 V	 10.186 pA	 -10.279 pA	 101.8600000 fA/um	 -102.7900000 fA/um	 -2.470000000 pS	 -24.70000000 fS/um
14	 -4.3500 V	 0 V	 5.0000 V	 0 V	 9.907 pA	 -10.146 pA	 99.07000000 fA/um	 -101.4600000 fA/um	 7.380000000 pS	 73.80000000 fS/um
15	 -4.3000 V	 0 V	 5.0000 V	 0 V	 10.924 pA	 -10.017 pA	 109.2400000 fA/um	 -100.1700000 fA/um	 6.890000000 pS	 68.90000000 fS/um
16	 -4.2500 V	 0 V	 5.0000 V	 0 V	 10.596 pA	 -10.065 pA	 105.9600000 fA/um	 -100.6500000 fA/um	 -14.69000000 pS	 -146.9000000 fS/um
17	 -4.2000 V	 0 V	 5.0000 V	 0 V	 9.455 pA	 -9.957 pA	 94.55000000 fA/um	 -99.57000000 fA/um	 -8.660000000 pS	 -86.60000000 fS/um
18	 -4.1500 V	 0 V	 5.0000 V	 0 V	 9.730 pA	 -9.663 pA	 97.30000000 fA/um	 -96.63000000 fA/um	 5.390000000 pS	 53.90000000 fS/um
19	 -4.1000 V	 0 V	 5.0000 V	 0 V	 9.994 pA	 -9.895 pA	 99.94000000 fA/um	 -98.95000000 fA/um	 710.0000000 fS	 7.100000000 fS/um
20	 -4.0500 V	 0 V	 5.0000 V	 0 V	 9.801 pA	 -9.741 pA	 98.01000000 fA/um	 -97.41000000 fA/um	 -8.270000000 pS	 -82.70000000 fS/um
21	 -4.0000 V	 0 V	 5.0000 V	 0 V	 9.167 pA	 -9.777 pA	 91.67000000 fA/um	 -97.77000000 fA/um	 -2.450000000 pS	 -24.50000000 fS/um
22	 -3.9500 V	 0 V	 5.0000 V	 0 V	 9.556 pA	 -9.500 pA	 95.56000000 fA/um	 -95.00000000 fA/um	 440.0000000 fS	 4.400000000 fS/um
23	 -3.9000 V	 0 V	 5.0000 V	 0 V	 9.211 pA	 -9.461 pA	 92.11000000 fA/um	 -94.61000000 fA/um	 11.76000000 pS	 117.6000000 fS/um
24	 -3.8500 V	 0 V	 5.0000 V	 0 V	 10.732 pA	 -9.511 pA	 107.3200000 fA/um	 -95.11000000 fA/um	 2.720000000 pS	 27.20000000 fS/um
25	 -3.8000 V	 0 V	 5.0000 V	 0 V	 9.483 pA	 -9.501 pA	 94.83000000 fA/um	 -95.01000000 fA/um	 -13.69000000 pS	 -136.9000000 fS/um
26	 -3.7500 V	 0 V	 5.0000 V	 0 V	 9.363 pA	 -9.329 pA	 93.63000000 fA/um	 -93.29000000 fA/um	 -4.970000000 pS	 -49.70000000 fS/um
27	 -3.7000 V	 0 V	 5.0000 V	 0 V	 8.986 pA	 -9.267 pA	 89.86000000 fA/um	 -92.67000000 fA/um	 -3.250000000 pS	 -32.50000000 fS/um
28	 -3.6500 V	 0 V	 5.0000 V	 0 V	 9.038 pA	 -9.234 pA	 90.38000000 fA/um	 -92.34000000 fA/um	 20.45000000 pS	 204.5000000 fS/um
29	 -3.6000 V	 0 V	 5.0000 V	 0 V	 11.031 pA	 -9.253 pA	 110.3100000 fA/um	 -92.53000000 fA/um	 3.970000000 pS	 39.70000000 fS/um
30	 -3.5500 V	 0 V	 5.0000 V	 0 V	 9.435 pA	 -9.365 pA	 94.35000000 fA/um	 -93.65000000 fA/um	 -16.69000000 pS	 -166.9000000 fS/um
31	 -3.5000 V	 0 V	 5.0000 V	 0 V	 9.362 pA	 -9.208 pA	 93.62000000 fA/um	 -92.08000000 fA/um	 -14.41000000 pS	 -144.1000000 fS/um
32	 -3.4500 V	 0 V	 5.0000 V	 0 V	 7.994 pA	 -9.090 pA	 79.94000000 fA/um	 -90.90000000 fA/um	 -6.360000000 pS	 -63.60000000 fS/um
33	 -3.4000 V	 0 V	 5.0000 V	 0 V	 8.726 pA	 -9.235 pA	 87.26000000 fA/um	 -92.35000000 fA/um	 8.830000000 pS	 88.30000000 fS/um
34	 -3.3500 V	 0 V	 5.0000 V	 0 V	 8.877 pA	 -8.945 pA	 88.77000000 fA/um	 -89.45000000 fA/um	 1.200000000 pS	 12.00000000 fS/um
35	 -3.3000 V	 0 V	 5.0000 V	 0 V	 8.846 pA	 -9.089 pA	 88.46000000 fA/um	 -90.89000000 fA/um	 6.510000000 pS	 65.10000000 fS/um
36	 -3.2500 V	 0 V	 5.0000 V	 0 V	 9.528 pA	 -9.350 pA	 95.28000000 fA/um	 -93.50000000 fA/um	 -3.230000000 pS	 -32.30000000 fS/um
37	 -3.2000 V	 0 V	 5.0000 V	 0 V	 8.523 pA	 -8.961 pA	 85.23000000 fA/um	 -89.61000000 fA/um	 -18.37000000 pS	 -183.7000000 fS/um
38	 -3.1500 V	 0 V	 5.0000 V	 0 V	 7.691 pA	 -9.225 pA	 76.91000000 fA/um	 -92.25000000 fA/um	 2.600000000 pS	 26.00000000 fS/um
39	 -3.1000 V	 0 V	 5.0000 V	 0 V	 8.783 pA	 -9.095 pA	 87.83000000 fA/um	 -90.95000000 fA/um	 11.30000000 pS	 113.0000000 fS/um
40	 -3.0500 V	 0 V	 5.0000 V	 0 V	 8.821 pA	 -8.927 pA	 88.21000000 fA/um	 -89.27000000 fA/um	 1.100000000 pS	 11.00000000 fS/um
41	 -3.0000 V	 0 V	 5.0000 V	 0 V	 8.893 pA	 -9.055 pA	 88.93000000 fA/um	 -90.55000000 fA/um	 3.960000000 pS	 39.60000000 fS/um
42	 -2.9500 V	 0 V	 5.0000 V	 0 V	 9.217 pA	 -8.914 pA	 92.17000000 fA/um	 -89.14000000 fA/um	 5.920000000 pS	 59.20000000 fS/um
