Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 13.664 pA	 -6.856 pA	 1.366400000 pA/um	 -685.6000000 fA/um	 -75.36000000 pS	 -7.536000000 pS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 9.896 pA	 -7.493 pA	 989.6000000 fA/um	 -749.3000000 fA/um	 -31.07000000 pS	 -3.107000000 pS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 10.557 pA	 -8.147 pA	 1.055700000 pA/um	 -814.7000000 fA/um	 3.380000000 pS	 338.0000000 fS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 10.234 pA	 -7.303 pA	 1.023400000 pA/um	 -730.3000000 fA/um	 7.360000000 pS	 736.0000000 fS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 11.293 pA	 -7.286 pA	 1.129300000 pA/um	 -728.6000000 fA/um	 7.140000000 pS	 714.0000000 fS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 10.948 pA	 -7.729 pA	 1.094800000 pA/um	 -772.9000000 fA/um	 -17.09000000 pS	 -1.709000000 pS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 9.584 pA	 -7.649 pA	 958.4000000 fA/um	 -764.9000000 fA/um	 -15.41000000 pS	 -1.541000000 pS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 9.407 pA	 -6.550 pA	 940.7000000 fA/um	 -655.0000000 fA/um	 2.860000000 pS	 286.0000000 fS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 9.870 pA	 -7.351 pA	 987.0000000 fA/um	 -735.1000000 fA/um	 -3.160000000 pS	 -316.0000000 fS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 9.091 pA	 -6.294 pA	 909.1000000 fA/um	 -629.4000000 fA/um	 -870.0000000 fS	 -87.00000000 fS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 9.783 pA	 -6.806 pA	 978.3000000 fA/um	 -680.6000000 fA/um	 9.530000000 pS	 953.0000000 fS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 10.044 pA	 -7.278 pA	 1.004400000 pA/um	 -727.8000000 fA/um	 -2.500000000 pS	 -250.0000000 fS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 9.533 pA	 -6.591 pA	 953.3000000 fA/um	 -659.1000000 fA/um	 -2.830000000 pS	 -283.0000000 fS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 9.761 pA	 -6.574 pA	 976.1000000 fA/um	 -657.4000000 fA/um	 7.550000000 pS	 755.0000000 fS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 10.288 pA	 -7.099 pA	 1.028800000 pA/um	 -709.9000000 fA/um	 -1.230000000 pS	 -123.0000000 fS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 9.638 pA	 -6.991 pA	 963.8000000 fA/um	 -699.1000000 fA/um	 -3.340000000 pS	 -334.0000000 fS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 9.954 pA	 -6.864 pA	 995.4000000 fA/um	 -686.4000000 fA/um	 11.05000000 pS	 1.105000000 pS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 10.743 pA	 -7.766 pA	 1.074300000 pA/um	 -776.6000000 fA/um	 -7.410000000 pS	 -741.0000000 fS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 9.213 pA	 -7.259 pA	 921.3000000 fA/um	 -725.9000000 fA/um	 -9.130000000 pS	 -913.0000000 fS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 9.830 pA	 -7.104 pA	 983.0000000 fA/um	 -710.4000000 fA/um	 15.20000000 pS	 1.520000000 pS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 10.733 pA	 -7.825 pA	 1.073300000 pA/um	 -782.5000000 fA/um	 1.360000000 pS	 136.0000000 fS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 9.966 pA	 -7.039 pA	 996.6000000 fA/um	 -703.9000000 fA/um	 -2.910000000 pS	 -291.0000000 fS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 10.442 pA	 -7.349 pA	 1.044200000 pA/um	 -734.9000000 fA/um	 8.840000000 pS	 884.0000000 fS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 10.850 pA	 -8.362 pA	 1.085000000 pA/um	 -836.2000000 fA/um	 -1.710000000 pS	 -171.0000000 fS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 10.271 pA	 -7.373 pA	 1.027100000 pA/um	 -737.3000000 fA/um	 -330.0000000 fS	 -33.00000000 fS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 10.817 pA	 -7.262 pA	 1.081700000 pA/um	 -726.2000000 fA/um	 10.60000000 pS	 1.060000000 pS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 11.331 pA	 -7.810 pA	 1.133100000 pA/um	 -781.0000000 fA/um	 -9.330000000 pS	 -933.0000000 fS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 9.884 pA	 -7.181 pA	 988.4000000 fA/um	 -718.1000000 fA/um	 -2.120000000 pS	 -212.0000000 fS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 11.119 pA	 -7.490 pA	 1.111900000 pA/um	 -749.0000000 fA/um	 18.49000000 pS	 1.849000000 pS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 11.733 pA	 -7.872 pA	 1.173300000 pA/um	 -787.2000000 fA/um	 -1.930000000 pS	 -193.0000000 fS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 10.926 pA	 -6.143 pA	 1.092600000 pA/um	 -614.3000000 fA/um	 -2.180000000 pS	 -218.0000000 fS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 11.515 pA	 -7.150 pA	 1.151500000 pA/um	 -715.0000000 fA/um	 9.200000000 pS	 920.0000000 fS/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 11.846 pA	 -7.785 pA	 1.184600000 pA/um	 -778.5000000 fA/um	 -6.460000000 pS	 -646.0000000 fS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 10.869 pA	 -7.380 pA	 1.086900000 pA/um	 -738.0000000 fA/um	 5.990000000 pS	 599.0000000 fS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 12.445 pA	 -7.426 pA	 1.244500000 pA/um	 -742.6000000 fA/um	 12.51000000 pS	 1.251000000 pS/um
