Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
192	 4.5500 V	 0 V	 5.0000 V	 0 V	 10.5567 uA	 -1.792 pA	 105.5670000 nA/um	 -17.92000000 fA/um	 124.0000000 nS	 1.240000000 nS/um
193	 4.6000 V	 0 V	 5.0000 V	 0 V	 10.5670 uA	 -2.003 pA	 105.6700000 nA/um	 -20.03000000 fA/um	 114.0000000 nS	 1.140000000 nS/um
194	 4.6500 V	 0 V	 5.0000 V	 0 V	 10.5681 uA	 -2.036 pA	 105.6810000 nA/um	 -20.36000000 fA/um	 2.000000000 nS	 20.00000000 pS/um
195	 4.7000 V	 0 V	 5.0000 V	 0 V	 10.5672 uA	 -1.962 pA	 105.6720000 nA/um	 -19.62000000 fA/um	 -2.000000000 nS	 -20.00000000 pS/um
196	 4.7500 V	 0 V	 5.0000 V	 0 V	 10.5679 uA	 -1.882 pA	 105.6790000 nA/um	 -18.82000000 fA/um	 -10.00000000 nS	 -100.0000000 pS/um
197	 4.8000 V	 0 V	 5.0000 V	 0 V	 10.5662 uA	 -2.071 pA	 105.6620000 nA/um	 -20.71000000 fA/um	 45.00000000 nS	 450.0000000 pS/um
198	 4.8500 V	 0 V	 5.0000 V	 0 V	 10.5724 uA	 -1.969 pA	 105.7240000 nA/um	 -19.69000000 fA/um	 -12.00000000 nS	 -120.0000000 pS/um
199	 4.9000 V	 0 V	 5.0000 V	 0 V	 10.5650 uA	 -2.026 pA	 105.6500000 nA/um	 -20.26000000 fA/um	 -109.0000000 nS	 -1.090000000 nS/um
200	 4.9500 V	 0 V	 5.0000 V	 0 V	 10.5615 uA	 -1.963 pA	 105.6150000 nA/um	 -19.63000000 fA/um	 -20.00000000 nS	 -200.0000000 pS/um
201	 5.0000 V	 0 V	 5.0000 V	 0 V	 10.5630 uA	 -2.101 pA	 105.6300000 nA/um	 -21.01000000 fA/um	 30.00000000 nS	 300.0000000 pS/um
