Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 277.584 uA	 -7.769 pA	 27.75840000 uA/um	 -776.9000000 fA/um	 40.60000000 uS	 4.060000000 uS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 279.614 uA	 -7.919 pA	 27.96140000 uA/um	 -791.9000000 fA/um	 40.72000000 uS	 4.072000000 uS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 281.656 uA	 -7.752 pA	 28.16560000 uA/um	 -775.2000000 fA/um	 41.25000000 uS	 4.125000000 uS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 283.739 uA	 -7.860 pA	 28.37390000 uA/um	 -786.0000000 fA/um	 41.82000000 uS	 4.182000000 uS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 285.838 uA	 -7.866 pA	 28.58380000 uA/um	 -786.6000000 fA/um	 42.40000000 uS	 4.240000000 uS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 287.979 uA	 -7.772 pA	 28.79790000 uA/um	 -777.2000000 fA/um	 42.85000000 uS	 4.285000000 uS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 290.123 uA	 -7.799 pA	 29.01230000 uA/um	 -779.9000000 fA/um	 43.84000000 uS	 4.384000000 uS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 292.363 uA	 -7.800 pA	 29.23630000 uA/um	 -780.0000000 fA/um	 44.54000000 uS	 4.454000000 uS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 294.577 uA	 -7.839 pA	 29.45770000 uA/um	 -783.9000000 fA/um	 43.99000000 uS	 4.399000000 uS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 296.762 uA	 -7.917 pA	 29.67620000 uA/um	 -791.7000000 fA/um	 44.61000000 uS	 4.461000000 uS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 299.038 uA	 -7.918 pA	 29.90380000 uA/um	 -791.8000000 fA/um	 45.44000000 uS	 4.544000000 uS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 301.306 uA	 -7.854 pA	 30.13060000 uA/um	 -785.4000000 fA/um	 45.67000000 uS	 4.567000000 uS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 303.605 uA	 -7.923 pA	 30.36050000 uA/um	 -792.3000000 fA/um	 47.18000000 uS	 4.718000000 uS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 306.024 uA	 -7.870 pA	 30.60240000 uA/um	 -787.0000000 fA/um	 48.11000000 uS	 4.811000000 uS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 308.416 uA	 -7.888 pA	 30.84160000 uA/um	 -788.8000000 fA/um	 47.86000000 uS	 4.786000000 uS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 310.810 uA	 -7.940 pA	 31.08100000 uA/um	 -794.0000000 fA/um	 47.97000000 uS	 4.797000000 uS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 313.213 uA	 -7.868 pA	 31.32130000 uA/um	 -786.8000000 fA/um	 50.02000000 uS	 5.002000000 uS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 315.812 uA	 -7.898 pA	 31.58120000 uA/um	 -789.8000000 fA/um	 50.47000000 uS	 5.047000000 uS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 318.260 uA	 -7.917 pA	 31.82600000 uA/um	 -791.7000000 fA/um	 50.42000000 uS	 5.042000000 uS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 320.854 uA	 -7.829 pA	 32.08540000 uA/um	 -782.9000000 fA/um	 51.79000000 uS	 5.179000000 uS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 323.439 uA	 -7.887 pA	 32.34390000 uA/um	 -788.7000000 fA/um	 52.77000000 uS	 5.277000000 uS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 326.131 uA	 -7.905 pA	 32.61310000 uA/um	 -790.5000000 fA/um	 53.32000000 uS	 5.332000000 uS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 328.771 uA	 -7.933 pA	 32.87710000 uA/um	 -793.3000000 fA/um	 53.74000000 uS	 5.374000000 uS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 331.505 uA	 -7.813 pA	 33.15050000 uA/um	 -781.3000000 fA/um	 55.44000000 uS	 5.544000000 uS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 334.315 uA	 -7.789 pA	 33.43150000 uA/um	 -778.9000000 fA/um	 56.11000000 uS	 5.611000000 uS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 337.116 uA	 -7.947 pA	 33.71160000 uA/um	 -794.7000000 fA/um	 55.20000000 uS	 5.520000000 uS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 339.835 uA	 -8.003 pA	 33.98350000 uA/um	 -800.3000000 fA/um	 56.01000000 uS	 5.601000000 uS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 342.717 uA	 -7.906 pA	 34.27170000 uA/um	 -790.6000000 fA/um	 58.32000000 uS	 5.832000000 uS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 345.667 uA	 -7.989 pA	 34.56670000 uA/um	 -798.9000000 fA/um	 59.58000000 uS	 5.958000000 uS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 348.675 uA	 -7.935 pA	 34.86750000 uA/um	 -793.5000000 fA/um	 60.96000000 uS	 6.096000000 uS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 351.763 uA	 -8.050 pA	 35.17630000 uA/um	 -805.0000000 fA/um	 61.21000000 uS	 6.121000000 uS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 354.796 uA	 -7.936 pA	 35.47960000 uA/um	 -793.6000000 fA/um	 62.04000000 uS	 6.204000000 uS/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 357.967 uA	 -7.969 pA	 35.79670000 uA/um	 -796.9000000 fA/um	 62.81000000 uS	 6.281000000 uS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 361.077 uA	 -7.997 pA	 36.10770000 uA/um	 -799.7000000 fA/um	 63.87000000 uS	 6.387000000 uS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 364.354 uA	 -7.904 pA	 36.43540000 uA/um	 -790.4000000 fA/um	 64.09000000 uS	 6.409000000 uS/um
36	 -250.0 mV	 0 V	 10.00 mV	 0 V	 367.486 uA	 -7.907 pA	 36.74860000 uA/um	 -790.7000000 fA/um	 63.77000000 uS	 6.377000000 uS/um
37	 -200.0 mV	 0 V	 10.00 mV	 0 V	 370.731 uA	 -8.035 pA	 37.07310000 uA/um	 -803.5000000 fA/um	 66.21000000 uS	 6.621000000 uS/um
38	 -150.0 mV	 0 V	 10.00 mV	 0 V	 374.107 uA	 -7.976 pA	 37.41070000 uA/um	 -797.6000000 fA/um	 66.84000000 uS	 6.684000000 uS/um
