Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 5.13455 mA	 -3.62324 uA	 513.4550000 uA/um	 -362.3240000 nA/um	 1.534200000 mS	 153.4200000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 5.21126 mA	 -3.66621 uA	 521.1260000 uA/um	 -366.6210000 nA/um	 1.562500000 mS	 156.2500000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 5.29080 mA	 -3.70937 uA	 529.0800000 uA/um	 -370.9370000 nA/um	 1.631900000 mS	 163.1900000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 5.37445 mA	 -3.75481 uA	 537.4450000 uA/um	 -375.4810000 nA/um	 1.716200000 mS	 171.6200000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 5.46242 mA	 -3.80528 uA	 546.2420000 uA/um	 -380.5280000 nA/um	 1.809800000 mS	 180.9800000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 5.55543 mA	 -3.85516 uA	 555.5430000 uA/um	 -385.5160000 nA/um	 1.900800000 mS	 190.0800000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 5.65250 mA	 -3.90539 uA	 565.2500000 uA/um	 -390.5390000 nA/um	 1.985900000 mS	 198.5900000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 5.75402 mA	 -3.95707 uA	 575.4020000 uA/um	 -395.7070000 nA/um	 2.086100000 mS	 208.6100000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 5.86111 mA	 -4.00965 uA	 586.1110000 uA/um	 -400.9650000 nA/um	 2.185300000 mS	 218.5300000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 5.97255 mA	 -4.06450 uA	 597.2550000 uA/um	 -406.4500000 nA/um	 2.275600000 mS	 227.5600000 uS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 6.08867 mA	 -4.11987 uA	 608.8670000 uA/um	 -411.9870000 nA/um	 2.372100000 mS	 237.2100000 uS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 6.20976 mA	 -4.17666 uA	 620.9760000 uA/um	 -417.6660000 nA/um	 2.473700000 mS	 247.3700000 uS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 6.33604 mA	 -4.23200 uA	 633.6040000 uA/um	 -423.2000000 nA/um	 2.571500000 mS	 257.1500000 uS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 6.46691 mA	 -4.28802 uA	 646.6910000 uA/um	 -428.8020000 nA/um	 2.673100000 mS	 267.3100000 uS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 6.60335 mA	 -4.34611 uA	 660.3350000 uA/um	 -434.6110000 nA/um	 2.772600000 mS	 277.2600000 uS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 6.74417 mA	 -4.40422 uA	 674.4170000 uA/um	 -440.4220000 nA/um	 2.876500000 mS	 287.6500000 uS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 6.89100 mA	 -4.46076 uA	 689.1000000 uA/um	 -446.0760000 nA/um	 2.974400000 mS	 297.4400000 uS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 7.04161 mA	 -4.51928 uA	 704.1610000 uA/um	 -451.9280000 nA/um	 3.077400000 mS	 307.7400000 uS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 7.19874 mA	 -4.57590 uA	 719.8740000 uA/um	 -457.5900000 nA/um	 3.181500000 mS	 318.1500000 uS/um
