Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
36	 1.2500 V	 0 V	 100.00 mV	 0 V	 67.980 nA	 1.180946000 uS
37	 1.3000 V	 0 V	 100.00 mV	 0 V	 147.550 nA	 2.308890000 uS
38	 1.3500 V	 0 V	 100.00 mV	 0 V	 298.869 nA	 3.943000000 uS
39	 1.4000 V	 0 V	 100.00 mV	 0 V	 541.85 nA	 6.227810000 uS
40	 1.4500 V	 0 V	 100.00 mV	 0 V	 921.65 nA	 8.860800000 uS
41	 1.5000 V	 0 V	 100.00 mV	 0 V	 1.42793 uA	 11.94060000 uS
42	 1.5500 V	 0 V	 100.00 mV	 0 V	 2.11571 uA	 15.11940000 uS
43	 1.6000 V	 0 V	 100.00 mV	 0 V	 2.93987 uA	 17.71870000 uS
44	 1.6500 V	 0 V	 100.00 mV	 0 V	 3.88758 uA	 20.18020000 uS
45	 1.7000 V	 0 V	 100.00 mV	 0 V	 4.95789 uA	 22.36580000 uS
46	 1.7500 V	 0 V	 100.00 mV	 0 V	 6.12416 uA	 24.04890000 uS
47	 1.8000 V	 0 V	 100.00 mV	 0 V	 7.36278 uA	 24.41840000 uS
48	 1.8500 V	 0 V	 100.00 mV	 0 V	 8.5660 uA	 25.11420000 uS
49	 1.9000 V	 0 V	 100.00 mV	 0 V	 9.8742 uA	 26.43200000 uS
50	 1.9500 V	 0 V	 100.00 mV	 0 V	 11.2092 uA	 27.08700000 uS
51	 2.0000 V	 0 V	 100.00 mV	 0 V	 12.5829 uA	 27.43800000 uS
52	 2.0500 V	 0 V	 100.00 mV	 0 V	 13.9530 uA	 27.39400000 uS
53	 2.1000 V	 0 V	 100.00 mV	 0 V	 15.3223 uA	 27.69500000 uS
54	 2.1500 V	 0 V	 100.00 mV	 0 V	 16.7225 uA	 27.96300000 uS
55	 2.2000 V	 0 V	 100.00 mV	 0 V	 18.1186 uA	 27.95000000 uS
56	 2.2500 V	 0 V	 100.00 mV	 0 V	 19.5175 uA	 28.00200000 uS
57	 2.3000 V	 0 V	 100.00 mV	 0 V	 20.9188 uA	 27.93700000 uS
58	 2.3500 V	 0 V	 100.00 mV	 0 V	 22.3112 uA	 28.09600000 uS
59	 2.4000 V	 0 V	 100.00 mV	 0 V	 23.7284 uA	 28.12400000 uS
60	 2.4500 V	 0 V	 100.00 mV	 0 V	 25.1236 uA	 28.10100000 uS
61	 2.5000 V	 0 V	 100.00 mV	 0 V	 26.5385 uA	 27.89800000 uS
62	 2.5500 V	 0 V	 100.00 mV	 0 V	 27.9134 uA	 27.41900000 uS
63	 2.6000 V	 0 V	 100.00 mV	 0 V	 29.2804 uA	 27.47900000 uS
64	 2.6500 V	 0 V	 100.00 mV	 0 V	 30.6613 uA	 27.01200000 uS
65	 2.7000 V	 0 V	 100.00 mV	 0 V	 31.9816 uA	 26.67400000 uS
66	 2.7500 V	 0 V	 100.00 mV	 0 V	 33.3287 uA	 26.58400000 uS
67	 2.8000 V	 0 V	 100.00 mV	 0 V	 34.6400 uA	 26.44600000 uS
68	 2.8500 V	 0 V	 100.00 mV	 0 V	 35.9733 uA	 26.29600000 uS
69	 2.9000 V	 0 V	 100.00 mV	 0 V	 37.2696 uA	 26.27200000 uS
70	 2.9500 V	 0 V	 100.00 mV	 0 V	 38.6005 uA	 25.88900000 uS
71	 3.0000 V	 0 V	 100.00 mV	 0 V	 39.8585 uA	 25.29800000 uS
72	 3.0500 V	 0 V	 100.00 mV	 0 V	 41.1303 uA	 25.06400000 uS
73	 3.1000 V	 0 V	 100.00 mV	 0 V	 42.3649 uA	 24.63800000 uS
74	 3.1500 V	 0 V	 100.00 mV	 0 V	 43.5941 uA	 24.56900000 uS
75	 3.2000 V	 0 V	 100.00 mV	 0 V	 44.8218 uA	 24.28000000 uS
76	 3.2500 V	 0 V	 100.00 mV	 0 V	 46.0221 uA	 23.46400000 uS
77	 3.3000 V	 0 V	 100.00 mV	 0 V	 47.1682 uA	 23.31900000 uS
78	 3.3500 V	 0 V	 100.00 mV	 0 V	 48.3540 uA	 23.29000000 uS
79	 3.4000 V	 0 V	 100.00 mV	 0 V	 49.4972 uA	 22.74300000 uS
80	 3.4500 V	 0 V	 100.00 mV	 0 V	 50.6283 uA	 22.47700000 uS
81	 3.5000 V	 0 V	 100.00 mV	 0 V	 51.7449 uA	 22.05700000 uS
82	 3.5500 V	 0 V	 100.00 mV	 0 V	 52.8340 uA	 21.67900000 uS
83	 3.6000 V	 0 V	 100.00 mV	 0 V	 53.9128 uA	 21.37400000 uS
84	 3.6500 V	 0 V	 100.00 mV	 0 V	 54.9714 uA	 21.18100000 uS
85	 3.7000 V	 0 V	 100.00 mV	 0 V	 56.0309 uA	 20.79800000 uS
86	 3.7500 V	 0 V	 100.00 mV	 0 V	 57.0512 uA	 20.23200000 uS
87	 3.8000 V	 0 V	 100.00 mV	 0 V	 58.0541 uA	 20.05000000 uS
88	 3.8500 V	 0 V	 100.00 mV	 0 V	 59.0562 uA	 20.03100000 uS
89	 3.9000 V	 0 V	 100.00 mV	 0 V	 60.0572 uA	 19.58700000 uS
90	 3.9500 V	 0 V	 100.00 mV	 0 V	 61.0149 uA	 19.09800000 uS
91	 4.0000 V	 0 V	 100.00 mV	 0 V	 61.9670 uA	 19.07600000 uS
92	 4.0500 V	 0 V	 100.00 mV	 0 V	 62.9225 uA	 18.76700000 uS
93	 4.1000 V	 0 V	 100.00 mV	 0 V	 63.8437 uA	 18.36000000 uS
94	 4.1500 V	 0 V	 100.00 mV	 0 V	 64.7585 uA	 18.25600000 uS
95	 4.2000 V	 0 V	 100.00 mV	 0 V	 65.6693 uA	 17.41100000 uS
96	 4.2500 V	 0 V	 100.00 mV	 0 V	 66.4996 uA	 16.96300000 uS
97	 4.3000 V	 0 V	 100.00 mV	 0 V	 67.3656 uA	 17.30200000 uS
98	 4.3500 V	 0 V	 100.00 mV	 0 V	 68.2298 uA	 17.02000000 uS
99	 4.4000 V	 0 V	 100.00 mV	 0 V	 69.0676 uA	 16.43500000 uS
100	 4.4500 V	 0 V	 100.00 mV	 0 V	 69.8733 uA	 16.42300000 uS
101	 4.5000 V	 0 V	 100.00 mV	 0 V	 70.7099 uA	 16.53800000 uS
102	 4.5500 V	 0 V	 100.00 mV	 0 V	 71.5271 uA	 16.03200000 uS
103	 4.6000 V	 0 V	 100.00 mV	 0 V	 72.3131 uA	 15.95500000 uS
104	 4.6500 V	 0 V	 100.00 mV	 0 V	 73.1226 uA	 15.73400000 uS
105	 4.7000 V	 0 V	 100.00 mV	 0 V	 73.8865 uA	 15.44300000 uS
106	 4.7500 V	 0 V	 100.00 mV	 0 V	 74.6669 uA	 15.13200000 uS
107	 4.8000 V	 0 V	 100.00 mV	 0 V	 75.3997 uA	 14.90000000 uS
108	 4.8500 V	 0 V	 100.00 mV	 0 V	 76.1569 uA	 14.83300000 uS
109	 4.9000 V	 0 V	 100.00 mV	 0 V	 76.8830 uA	 14.41400000 uS
110	 4.9500 V	 0 V	 100.00 mV	 0 V	 77.5983 uA	 14.63600000 uS
111	 5.0000 V	 0 V	 100.00 mV	 0 V	 78.3466 uA	 14.96600000 uS
