Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 100.00 mV	 0 V	 83.356 pA	 25.18000000 pS
2	 -450.0 mV	 0 V	 100.00 mV	 0 V	 84.615 pA	 47.54000000 pS
3	 -400.0 mV	 0 V	 100.00 mV	 0 V	 88.110 pA	 64.10000000 pS
4	 -350.0 mV	 0 V	 100.00 mV	 0 V	 91.025 pA	 31.15000000 pS
5	 -300.0 mV	 0 V	 100.00 mV	 0 V	 91.225 pA	 -41.63000000 pS
6	 -250.0 mV	 0 V	 100.00 mV	 0 V	 86.862 pA	 -20.49000000 pS
7	 -200.0 mV	 0 V	 100.00 mV	 0 V	 89.176 pA	 19.38000000 pS
8	 -150.0 mV	 0 V	 100.00 mV	 0 V	 88.800 pA	 -5.530000000 pS
9	 -100.0 mV	 0 V	 100.00 mV	 0 V	 88.623 pA	 23.27000000 pS
10	 -50.0 mV	 0 V	 100.00 mV	 0 V	 91.127 pA	 22.21000000 pS
11	 0 V	 0 V	 100.00 mV	 0 V	 90.844 pA	 -11.16000000 pS
12	 50.0 mV	 0 V	 100.00 mV	 0 V	 90.011 pA	 2.770000000 pS
13	 100.0 mV	 0 V	 100.00 mV	 0 V	 91.121 pA	 -43.65000000 pS
14	 150.0 mV	 0 V	 100.00 mV	 0 V	 85.646 pA	 34.00000000 pS
15	 200.0 mV	 0 V	 100.00 mV	 0 V	 94.521 pA	 80.11000000 pS
16	 250.0 mV	 0 V	 100.00 mV	 0 V	 93.657 pA	 -96.78000000 pS
17	 300.0 mV	 0 V	 100.00 mV	 0 V	 84.843 pA	 -28.65000000 pS
18	 350.0 mV	 0 V	 100.00 mV	 0 V	 90.792 pA	 30.44000000 pS
19	 400.0 mV	 0 V	 100.00 mV	 0 V	 87.887 pA	 -25.91000000 pS
20	 450.0 mV	 0 V	 100.00 mV	 0 V	 88.201 pA	 -28.57000000 pS
21	 500.0 mV	 0 V	 100.00 mV	 0 V	 85.030 pA	 -27.02000000 pS
22	 550.0 mV	 0 V	 100.00 mV	 0 V	 85.499 pA	 21.80000000 pS
23	 600.0 mV	 0 V	 100.00 mV	 0 V	 87.210 pA	 123.3500000 pS
24	 650.0 mV	 0 V	 100.00 mV	 0 V	 97.834 pA	 22.58000000 pS
25	 700.0 mV	 0 V	 100.00 mV	 0 V	 89.468 pA	 -33.98000000 pS
26	 750.0 mV	 0 V	 100.00 mV	 0 V	 94.436 pA	 65.03000000 pS
27	 800.0 mV	 0 V	 100.00 mV	 0 V	 95.971 pA	 216.8200000 pS
28	 850.0 mV	 0 V	 100.00 mV	 0 V	 116.118 pA	 936.8600000 pS
29	 900.0 mV	 0 V	 100.00 mV	 0 V	 189.657 pA	 1.863220000 nS
30	 950.0 mV	 0 V	 100.00 mV	 0 V	 302.44 pA	 5.098830000 nS
31	 1.0000 V	 0 V	 100.00 mV	 0 V	 699.54 pA	 14.84630000 nS
32	 1.0500 V	 0 V	 100.00 mV	 0 V	 1.78707 nA	 37.54060000 nS
33	 1.1000 V	 0 V	 100.00 mV	 0 V	 4.4536 nA	 101.2493000 nS
34	 1.1500 V	 0 V	 100.00 mV	 0 V	 11.9120 nA	 250.0180000 nS
35	 1.2000 V	 0 V	 100.00 mV	 0 V	 29.4554 nA	 560.6800000 nS
