Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 1.51330 mA	 147.5000000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 1.52071 mA	 143.3000000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 1.52763 mA	 142.4000000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 1.53495 mA	 145.9000000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 1.54222 mA	 145.0000000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 1.54945 mA	 142.6000000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 1.55648 mA	 141.3000000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 1.56358 mA	 141.2000000 uS
76	 3.2500 V	 0 V	 1.0000 V	 0 V	 1.57060 mA	 140.1000000 uS
77	 3.3000 V	 0 V	 1.0000 V	 0 V	 1.57759 mA	 138.6000000 uS
78	 3.3500 V	 0 V	 1.0000 V	 0 V	 1.58446 mA	 139.0000000 uS
79	 3.4000 V	 0 V	 1.0000 V	 0 V	 1.59149 mA	 136.7000000 uS
80	 3.4500 V	 0 V	 1.0000 V	 0 V	 1.59813 mA	 144.3000000 uS
81	 3.5000 V	 0 V	 1.0000 V	 0 V	 1.60592 mA	 144.7000000 uS
82	 3.5500 V	 0 V	 1.0000 V	 0 V	 1.61260 mA	 128.0000000 uS
83	 3.6000 V	 0 V	 1.0000 V	 0 V	 1.61872 mA	 127.0000000 uS
84	 3.6500 V	 0 V	 1.0000 V	 0 V	 1.62530 mA	 135.3000000 uS
85	 3.7000 V	 0 V	 1.0000 V	 0 V	 1.63225 mA	 141.3000000 uS
86	 3.7500 V	 0 V	 1.0000 V	 0 V	 1.63943 mA	 137.3000000 uS
87	 3.8000 V	 0 V	 1.0000 V	 0 V	 1.64598 mA	 129.5000000 uS
88	 3.8500 V	 0 V	 1.0000 V	 0 V	 1.65238 mA	 123.3000000 uS
89	 3.9000 V	 0 V	 1.0000 V	 0 V	 1.65831 mA	 124.2000000 uS
90	 3.9500 V	 0 V	 1.0000 V	 0 V	 1.66480 mA	 129.6000000 uS
91	 4.0000 V	 0 V	 1.0000 V	 0 V	 1.67127 mA	 129.3000000 uS
92	 4.0500 V	 0 V	 1.0000 V	 0 V	 1.67773 mA	 129.2000000 uS
93	 4.1000 V	 0 V	 1.0000 V	 0 V	 1.68419 mA	 126.8000000 uS
94	 4.1500 V	 0 V	 1.0000 V	 0 V	 1.69041 mA	 125.2000000 uS
95	 4.2000 V	 0 V	 1.0000 V	 0 V	 1.69671 mA	 125.4000000 uS
96	 4.2500 V	 0 V	 1.0000 V	 0 V	 1.70295 mA	 125.0000000 uS
97	 4.3000 V	 0 V	 1.0000 V	 0 V	 1.70921 mA	 123.5000000 uS
98	 4.3500 V	 0 V	 1.0000 V	 0 V	 1.71530 mA	 124.0000000 uS
99	 4.4000 V	 0 V	 1.0000 V	 0 V	 1.72161 mA	 124.1000000 uS
100	 4.4500 V	 0 V	 1.0000 V	 0 V	 1.72771 mA	 123.6000000 uS
101	 4.5000 V	 0 V	 1.0000 V	 0 V	 1.73397 mA	 121.8000000 uS
102	 4.5500 V	 0 V	 1.0000 V	 0 V	 1.73989 mA	 119.5000000 uS
103	 4.6000 V	 0 V	 1.0000 V	 0 V	 1.74592 mA	 119.9000000 uS
104	 4.6500 V	 0 V	 1.0000 V	 0 V	 1.75188 mA	 119.9000000 uS
105	 4.7000 V	 0 V	 1.0000 V	 0 V	 1.75791 mA	 120.9000000 uS
106	 4.7500 V	 0 V	 1.0000 V	 0 V	 1.76397 mA	 117.8000000 uS
107	 4.8000 V	 0 V	 1.0000 V	 0 V	 1.76969 mA	 115.6000000 uS
108	 4.8500 V	 0 V	 1.0000 V	 0 V	 1.77553 mA	 117.6000000 uS
109	 4.9000 V	 0 V	 1.0000 V	 0 V	 1.78145 mA	 116.6000000 uS
110	 4.9500 V	 0 V	 1.0000 V	 0 V	 1.78719 mA	 114.2000000 uS
111	 5.0000 V	 0 V	 1.0000 V	 0 V	 1.79287 mA	 113.6000000 uS
