Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 449.834 uA	 -15.9492 nA	 44.98340000 uA/um	 -1.594920000 nA/um	 2.460000000 uS	 246.0000000 nS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 449.957 uA	 -15.9385 nA	 44.99570000 uA/um	 -1.593850000 nA/um	 1.960000000 uS	 196.0000000 nS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 450.030 uA	 -15.9392 nA	 45.00300000 uA/um	 -1.593920000 nA/um	 1.440000000 uS	 144.0000000 nS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 450.101 uA	 -15.9326 nA	 45.01010000 uA/um	 -1.593260000 nA/um	 1.510000000 uS	 151.0000000 nS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 450.181 uA	 -15.9331 nA	 45.01810000 uA/um	 -1.593310000 nA/um	 1.530000000 uS	 153.0000000 nS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 450.254 uA	 -15.9159 nA	 45.02540000 uA/um	 -1.591590000 nA/um	 1.540000000 uS	 154.0000000 nS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 450.335 uA	 -15.8964 nA	 45.03350000 uA/um	 -1.589640000 nA/um	 1.600000000 uS	 160.0000000 nS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 450.414 uA	 -15.9274 nA	 45.04140000 uA/um	 -1.592740000 nA/um	 1.610000000 uS	 161.0000000 nS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 450.496 uA	 -15.8961 nA	 45.04960000 uA/um	 -1.589610000 nA/um	 1.440000000 uS	 144.0000000 nS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 450.558 uA	 -15.8857 nA	 45.05580000 uA/um	 -1.588570000 nA/um	 1.450000000 uS	 145.0000000 nS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 450.641 uA	 -15.9662 nA	 45.06410000 uA/um	 -1.596620000 nA/um	 2.170000000 uS	 217.0000000 nS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 450.775 uA	 -15.9277 nA	 45.07750000 uA/um	 -1.592770000 nA/um	 2.330000000 uS	 233.0000000 nS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 450.874 uA	 -15.9163 nA	 45.08740000 uA/um	 -1.591630000 nA/um	 2.040000000 uS	 204.0000000 nS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 450.979 uA	 -15.9113 nA	 45.09790000 uA/um	 -1.591130000 nA/um	 2.020000000 uS	 202.0000000 nS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 451.076 uA	 -15.8787 nA	 45.10760000 uA/um	 -1.587870000 nA/um	 2.070000000 uS	 207.0000000 nS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 451.186 uA	 -15.8945 nA	 45.11860000 uA/um	 -1.589450000 nA/um	 2.220000000 uS	 222.0000000 nS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 451.298 uA	 -15.9474 nA	 45.12980000 uA/um	 -1.594740000 nA/um	 2.340000000 uS	 234.0000000 nS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 451.420 uA	 -15.9805 nA	 45.14200000 uA/um	 -1.598050000 nA/um	 2.490000000 uS	 249.0000000 nS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 451.547 uA	 -15.9469 nA	 45.15470000 uA/um	 -1.594690000 nA/um	 2.440000000 uS	 244.0000000 nS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 451.664 uA	 -15.9017 nA	 45.16640000 uA/um	 -1.590170000 nA/um	 2.460000000 uS	 246.0000000 nS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 451.793 uA	 -15.8951 nA	 45.17930000 uA/um	 -1.589510000 nA/um	 2.730000000 uS	 273.0000000 nS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 451.937 uA	 -15.9215 nA	 45.19370000 uA/um	 -1.592150000 nA/um	 2.860000000 uS	 286.0000000 nS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 452.079 uA	 -15.9396 nA	 45.20790000 uA/um	 -1.593960000 nA/um	 2.970000000 uS	 297.0000000 nS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 452.234 uA	 -15.9528 nA	 45.22340000 uA/um	 -1.595280000 nA/um	 3.100000000 uS	 310.0000000 nS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 452.389 uA	 -15.9432 nA	 45.23890000 uA/um	 -1.594320000 nA/um	 3.230000000 uS	 323.0000000 nS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 452.557 uA	 -15.9237 nA	 45.25570000 uA/um	 -1.592370000 nA/um	 3.420000000 uS	 342.0000000 nS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 452.731 uA	 -15.9259 nA	 45.27310000 uA/um	 -1.592590000 nA/um	 3.550000000 uS	 355.0000000 nS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 452.912 uA	 -15.9777 nA	 45.29120000 uA/um	 -1.597770000 nA/um	 3.750000000 uS	 375.0000000 nS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 453.106 uA	 -15.9661 nA	 45.31060000 uA/um	 -1.596610000 nA/um	 3.930000000 uS	 393.0000000 nS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 453.305 uA	 -15.9325 nA	 45.33050000 uA/um	 -1.593250000 nA/um	 4.120000000 uS	 412.0000000 nS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 453.518 uA	 -15.9594 nA	 45.35180000 uA/um	 -1.595940000 nA/um	 4.390000000 uS	 439.0000000 nS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 453.744 uA	 -15.9615 nA	 45.37440000 uA/um	 -1.596150000 nA/um	 4.640000000 uS	 464.0000000 nS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 453.982 uA	 -15.9234 nA	 45.39820000 uA/um	 -1.592340000 nA/um	 4.810000000 uS	 481.0000000 nS/um
34	 -350.0 mV	 0 V	 2.0000 V	 0 V	 454.225 uA	 -15.9430 nA	 45.42250000 uA/um	 -1.594300000 nA/um	 4.970000000 uS	 497.0000000 nS/um
