Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 478.361 nA	 130 fA	 47.83610000 nA/um	 13.00000000 fA/um	 43.06000000 nS	 4.306000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 480.514 nA	 -1.018 pA	 48.05140000 nA/um	 -101.8000000 fA/um	 22.16000000 nS	 2.216000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 480.577 nA	 1.913 pA	 48.05770000 nA/um	 191.3000000 fA/um	 5.480000000 nS	 548.0000000 pS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 481.062 nA	 -485 fA	 48.10620000 nA/um	 -48.50000000 fA/um	 -4.680000000 nS	 -468.0000000 pS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 480.109 nA	 457 fA	 48.01090000 nA/um	 45.70000000 fA/um	 9.020000000 nS	 902.0000000 pS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 481.964 nA	 -1.967 pA	 48.19640000 nA/um	 -196.7000000 fA/um	 11.58000000 nS	 1.158000000 nS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 481.267 nA	 -696 fA	 48.12670000 nA/um	 -69.60000000 fA/um	 -8.140000000 nS	 -814.0000000 pS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 481.150 nA	 -306 fA	 48.11500000 nA/um	 -30.60000000 fA/um	 -1.920000000 nS	 -192.0000000 pS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 481.075 nA	 -966 fA	 48.10750000 nA/um	 -96.60000000 fA/um	 -150.0000000 pS	 -15.00000000 pS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 481.135 nA	 -298 fA	 48.11350000 nA/um	 -29.80000000 fA/um	 480.0000000 pS	 48.00000000 pS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 481.123 nA	 -289 fA	 48.11230000 nA/um	 -28.90000000 fA/um	 1.340000000 nS	 134.0000000 pS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 481.269 nA	 -372 fA	 48.12690000 nA/um	 -37.20000000 fA/um	 4.720000000 nS	 472.0000000 pS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 481.595 nA	 -657 fA	 48.15950000 nA/um	 -65.70000000 fA/um	 4.110000000 nS	 411.0000000 pS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 481.680 nA	 -502 fA	 48.16800000 nA/um	 -50.20000000 fA/um	 2.560000000 nS	 256.0000000 pS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 481.851 nA	 -341 fA	 48.18510000 nA/um	 -34.10000000 fA/um	 3.520000000 nS	 352.0000000 pS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 482.032 nA	 -260 fA	 48.20320000 nA/um	 -26.00000000 fA/um	 4.860000000 nS	 486.0000000 pS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 482.337 nA	 -578 fA	 48.23370000 nA/um	 -57.80000000 fA/um	 5.600000000 nS	 560.0000000 pS/um
