Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 10.4210 nA	 1.042100000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 238.910 nA	 23.89100000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 262.200 nA	 26.22000000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 475.850 nA	 47.58500000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 876.010 nA	 87.60100000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 595.280 nA	 59.52800000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 830.50 nA	 83.05000000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.60250 uA	 160.2500000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.30170 uA	 130.1700000 nA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 1.90690 uA	 190.6900000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 1.91140 uA	 191.1400000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.29350 uA	 129.3500000 nA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 1.84440 uA	 184.4400000 nA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 2.80040 uA	 280.0400000 nA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 2.04580 uA	 204.5800000 nA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 1.62580 uA	 162.5800000 nA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 3.20160 uA	 320.1600000 nA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 3.32920 uA	 332.9200000 nA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 2.11810 uA	 211.8100000 nA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 2.64690 uA	 264.6900000 nA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 4.03960 uA	 403.9600000 nA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 2.38820 uA	 238.8200000 nA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 2.57440 uA	 257.4400000 nA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 4.44890 uA	 444.8900000 nA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 4.23350 uA	 423.3500000 nA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 2.59520 uA	 259.5200000 nA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 2.83820 uA	 283.8200000 nA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 5.00710 uA	 500.7100000 nA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 4.58260 uA	 458.2600000 nA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 2.73910 uA	 273.9100000 nA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 3.31310 uA	 331.3100000 nA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 6.01750 uA	 601.7500000 nA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 4.11320 uA	 411.3200000 nA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 2.97750 uA	 297.7500000 nA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 5.96560 uA	 596.5600000 nA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 5.29850 uA	 529.8500000 nA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 3.05570 uA	 305.5700000 nA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 6.06710 uA	 606.7100000 nA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 6.13950 uA	 613.9500000 nA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 3.23620 uA	 323.6200000 nA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 3.99860 uA	 399.8600000 nA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 7.02280 uA	 702.2800000 nA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 4.20920 uA	 420.9200000 nA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 3.53990 uA	 353.9900000 nA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 7.20610 uA	 720.6100000 nA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 6.53540 uA	 653.5400000 nA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 3.60980 uA	 360.9800000 nA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 3.88810 uA	 388.8100000 nA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 7.64800 uA	 764.8000000 nA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 6.01900 uA	 601.9000000 nA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 3.42310 uA	 342.3100000 nA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 7.14130 uA	 714.1300000 nA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 7.20200 uA	 720.2000000 nA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 3.88320 uA	 388.3200000 nA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 3.99850 uA	 399.8500000 nA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 8.55260 uA	 855.2600000 nA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 6.62920 uA	 662.9200000 nA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 3.53240 uA	 353.2400000 nA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 4.77550 uA	 477.5500000 nA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 8.58590 uA	 858.5900000 nA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 4.37100 uA	 437.1000000 nA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 4.33480 uA	 433.4800000 nA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 9.16460 uA	 916.4600000 nA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 6.21560 uA	 621.5600000 nA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 3.64960 uA	 364.9600000 nA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 8.46930 uA	 846.9300000 nA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 7.54430 uA	 754.4300000 nA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 3.84490 uA	 384.4900000 nA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 4.48600 uA	 448.6000000 nA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 9.04060 uA	 904.0600000 nA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 7.96790 uA	 796.7900000 nA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 4.00250 uA	 400.2500000 nA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 5.11170 uA	 511.1700000 nA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 9.62120 uA	 962.1200000 nA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 7.38810 uA	 738.8100000 nA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 3.60140 uA	 360.1400000 nA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 8.64490 uA	 864.4900000 nA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 7.83900 uA	 783.9000000 nA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 3.54170 uA	 354.1700000 nA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 6.19420 uA	 619.4200000 nA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 9.29160 uA	 929.1600000 nA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 5.13620 uA	 513.6200000 nA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 4.09300 uA	 409.3000000 nA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 7.84910 uA	 784.9100000 nA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 9.35000 uA	 935.0000000 nA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 4.68070 uA	 468.0700000 nA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 4.38450 uA	 438.4500000 nA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 9.11730 uA	 911.7300000 nA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 8.94420 uA	 894.4200000 nA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 4.40580 uA	 440.5800000 nA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 6.54140 uA	 654.1400000 nA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 9.30690 uA	 930.6900000 nA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 4.86720 uA	 486.7200000 nA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 5.71840 uA	 571.8400000 nA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 10.00570 uA	 1.000570000 uA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 6.62270 uA	 662.2700000 nA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 4.93900 uA	 493.9000000 nA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 9.81480 uA	 981.4800000 nA/um
99	 2.0000 V	 0 V	 490.0 mV	 0 V	 7.55030 uA	 755.0300000 nA/um
100	 2.0000 V	 0 V	 495.0 mV	 0 V	 4.66790 uA	 466.7900000 nA/um
101	 2.0000 V	 0 V	 500.0 mV	 0 V	 6.98360 uA	 698.3600000 nA/um
102	 2.0000 V	 0 V	 505.0 mV	 0 V	 9.45940 uA	 945.9400000 nA/um
103	 2.0000 V	 0 V	 510.0 mV	 0 V	 6.29410 uA	 629.4100000 nA/um
104	 2.0000 V	 0 V	 515.0 mV	 0 V	 5.02250 uA	 502.2500000 nA/um
105	 2.0000 V	 0 V	 520.0 mV	 0 V	 7.98510 uA	 798.5100000 nA/um
106	 2.0000 V	 0 V	 525.0 mV	 0 V	 9.10110 uA	 910.1100000 nA/um
107	 2.0000 V	 0 V	 530.0 mV	 0 V	 5.12900 uA	 512.9000000 nA/um
108	 2.0000 V	 0 V	 535.0 mV	 0 V	 7.31010 uA	 731.0100000 nA/um
109	 2.0000 V	 0 V	 540.0 mV	 0 V	 9.60720 uA	 960.7200000 nA/um
110	 2.0000 V	 0 V	 545.0 mV	 0 V	 5.48690 uA	 548.6900000 nA/um
111	 2.0000 V	 0 V	 550.0 mV	 0 V	 6.14360 uA	 614.3600000 nA/um
112	 2.0000 V	 0 V	 555.0 mV	 0 V	 9.97110 uA	 997.1100000 nA/um
113	 2.0000 V	 0 V	 560.0 mV	 0 V	 7.24700 uA	 724.7000000 nA/um
114	 2.0000 V	 0 V	 565.0 mV	 0 V	 5.44990 uA	 544.9900000 nA/um
115	 2.0000 V	 0 V	 570.0 mV	 0 V	 10.12570 uA	 1.012570000 uA/um
116	 2.0000 V	 0 V	 575.0 mV	 0 V	 8.24930 uA	 824.9300000 nA/um
117	 2.0000 V	 0 V	 580.0 mV	 0 V	 5.48770 uA	 548.7700000 nA/um
118	 2.0000 V	 0 V	 585.0 mV	 0 V	 7.43050 uA	 743.0500000 nA/um
119	 2.0000 V	 0 V	 590.0 mV	 0 V	 9.99430 uA	 999.4300000 nA/um
120	 2.0000 V	 0 V	 595.0 mV	 0 V	 7.99720 uA	 799.7200000 nA/um
121	 2.0000 V	 0 V	 600.0 mV	 0 V	 5.66160 uA	 566.1600000 nA/um
122	 2.0000 V	 0 V	 605.0 mV	 0 V	 8.33140 uA	 833.1400000 nA/um
123	 2.0000 V	 0 V	 610.0 mV	 0 V	 9.58730 uA	 958.7300000 nA/um
124	 2.0000 V	 0 V	 615.0 mV	 0 V	 5.85630 uA	 585.6300000 nA/um
125	 2.0000 V	 0 V	 620.0 mV	 0 V	 7.11590 uA	 711.5900000 nA/um
126	 2.0000 V	 0 V	 625.0 mV	 0 V	 10.29840 uA	 1.029840000 uA/um
127	 2.0000 V	 0 V	 630.0 mV	 0 V	 8.77410 uA	 877.4100000 nA/um
128	 2.0000 V	 0 V	 635.0 mV	 0 V	 5.96010 uA	 596.0100000 nA/um
129	 2.0000 V	 0 V	 640.0 mV	 0 V	 8.53250 uA	 853.2500000 nA/um
130	 2.0000 V	 0 V	 645.0 mV	 0 V	 9.71500 uA	 971.5000000 nA/um
131	 2.0000 V	 0 V	 650.0 mV	 0 V	 6.04740 uA	 604.7400000 nA/um
132	 2.0000 V	 0 V	 655.0 mV	 0 V	 7.54030 uA	 754.0300000 nA/um
133	 2.0000 V	 0 V	 660.0 mV	 0 V	 10.12390 uA	 1.012390000 uA/um
134	 2.0000 V	 0 V	 665.0 mV	 0 V	 8.15930 uA	 815.9300000 nA/um
135	 2.0000 V	 0 V	 670.0 mV	 0 V	 6.21860 uA	 621.8600000 nA/um
136	 2.0000 V	 0 V	 675.0 mV	 0 V	 8.22510 uA	 822.5100000 nA/um
137	 2.0000 V	 0 V	 680.0 mV	 0 V	 10.25680 uA	 1.025680000 uA/um
138	 2.0000 V	 0 V	 685.0 mV	 0 V	 8.37100 uA	 837.1000000 nA/um
139	 2.0000 V	 0 V	 690.0 mV	 0 V	 6.24390 uA	 624.3900000 nA/um
140	 2.0000 V	 0 V	 695.0 mV	 0 V	 8.95520 uA	 895.5200000 nA/um
141	 2.0000 V	 0 V	 700.0 mV	 0 V	 10.31920 uA	 1.031920000 uA/um
142	 2.0000 V	 0 V	 705.0 mV	 0 V	 7.96700 uA	 796.7000000 nA/um
143	 2.0000 V	 0 V	 710.0 mV	 0 V	 6.81800 uA	 681.8000000 nA/um
144	 2.0000 V	 0 V	 715.0 mV	 0 V	 9.77390 uA	 977.3900000 nA/um
145	 2.0000 V	 0 V	 720.0 mV	 0 V	 9.98700 uA	 998.7000000 nA/um
146	 2.0000 V	 0 V	 725.0 mV	 0 V	 6.46270 uA	 646.2700000 nA/um
147	 2.0000 V	 0 V	 730.0 mV	 0 V	 9.50990 uA	 950.9900000 nA/um
148	 2.0000 V	 0 V	 735.0 mV	 0 V	 9.79300 uA	 979.3000000 nA/um
149	 2.0000 V	 0 V	 740.0 mV	 0 V	 6.56760 uA	 656.7600000 nA/um
150	 2.0000 V	 0 V	 745.0 mV	 0 V	 8.63220 uA	 863.2200000 nA/um
151	 2.0000 V	 0 V	 750.0 mV	 0 V	 10.36760 uA	 1.036760000 uA/um
152	 2.0000 V	 0 V	 755.0 mV	 0 V	 7.93740 uA	 793.7400000 nA/um
153	 2.0000 V	 0 V	 760.0 mV	 0 V	 7.58580 uA	 758.5800000 nA/um
154	 2.0000 V	 0 V	 765.0 mV	 0 V	 10.66990 uA	 1.066990000 uA/um
155	 2.0000 V	 0 V	 770.0 mV	 0 V	 8.49790 uA	 849.7900000 nA/um
156	 2.0000 V	 0 V	 775.0 mV	 0 V	 6.86380 uA	 686.3800000 nA/um
157	 2.0000 V	 0 V	 780.0 mV	 0 V	 10.36460 uA	 1.036460000 uA/um
158	 2.0000 V	 0 V	 785.0 mV	 0 V	 10.04220 uA	 1.004220000 uA/um
159	 2.0000 V	 0 V	 790.0 mV	 0 V	 7.97110 uA	 797.1100000 nA/um
160	 2.0000 V	 0 V	 795.0 mV	 0 V	 7.35110 uA	 735.1100000 nA/um
161	 2.0000 V	 0 V	 800.0 mV	 0 V	 10.29230 uA	 1.029230000 uA/um
162	 2.0000 V	 0 V	 805.0 mV	 0 V	 9.54270 uA	 954.2700000 nA/um
163	 2.0000 V	 0 V	 810.0 mV	 0 V	 7.08380 uA	 708.3800000 nA/um
164	 2.0000 V	 0 V	 815.0 mV	 0 V	 8.57000 uA	 857.0000000 nA/um
165	 2.0000 V	 0 V	 820.0 mV	 0 V	 10.36940 uA	 1.036940000 uA/um
