Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 1.85256 uA	 -1.172 pA	 185.2560000 nA/um	 -117.2000000 fA/um	 111.4000000 nS	 11.14000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 1.85813 uA	 -1.466 pA	 185.8130000 nA/um	 -146.6000000 fA/um	 55.90000000 nS	 5.590000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 1.85815 uA	 -1.309 pA	 185.8150000 nA/um	 -130.9000000 fA/um	 -300.0000000 pS	 -30.00000000 pS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 1.85810 uA	 -1.462 pA	 185.8100000 nA/um	 -146.2000000 fA/um	 2.500000000 nS	 250.0000000 pS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 1.85840 uA	 -1.663 pA	 185.8400000 nA/um	 -166.3000000 fA/um	 3.300000000 nS	 330.0000000 pS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 1.85843 uA	 -1.543 pA	 185.8430000 nA/um	 -154.3000000 fA/um	 -3.300000000 nS	 -330.0000000 pS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 1.85807 uA	 -1.560 pA	 185.8070000 nA/um	 -156.0000000 fA/um	 2.500000000 nS	 250.0000000 pS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 1.85868 uA	 -1.567 pA	 185.8680000 nA/um	 -156.7000000 fA/um	 1.600000000 nS	 160.0000000 pS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 1.85823 uA	 -1.451 pA	 185.8230000 nA/um	 -145.1000000 fA/um	 -800.0000000 pS	 -80.00000000 pS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 1.85860 uA	 -1.415 pA	 185.8600000 nA/um	 -141.5000000 fA/um	 1.500000000 nS	 150.0000000 pS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 1.85838 uA	 -1.534 pA	 185.8380000 nA/um	 -153.4000000 fA/um	 -1.000000000 nS	 -100.0000000 pS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 1.85850 uA	 -1.508 pA	 185.8500000 nA/um	 -150.8000000 fA/um	 -6.500000000 nS	 -650.0000000 pS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 1.85773 uA	 -1.386 pA	 185.7730000 nA/um	 -138.6000000 fA/um	 2.000000000 nS	 200.0000000 pS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 1.85870 uA	 -1.395 pA	 185.8700000 nA/um	 -139.5000000 fA/um	 5.900000000 nS	 590.0000000 pS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 1.85832 uA	 -1.360 pA	 185.8320000 nA/um	 -136.0000000 fA/um	 -100.0000000 pS	 -10.00000000 pS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 1.85869 uA	 -1.474 pA	 185.8690000 nA/um	 -147.4000000 fA/um	 -100.0000000 pS	 -10.00000000 pS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 1.85831 uA	 -1.413 pA	 185.8310000 nA/um	 -141.3000000 fA/um	 200.0000000 pS	 20.00000000 pS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 1.85871 uA	 -1.487 pA	 185.8710000 nA/um	 -148.7000000 fA/um	 2.000000000 nS	 200.0000000 pS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 1.85851 uA	 -1.363 pA	 185.8510000 nA/um	 -136.3000000 fA/um	 -4.000000000 nS	 -400.0000000 pS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 1.85831 uA	 -1.548 pA	 185.8310000 nA/um	 -154.8000000 fA/um	 -3.100000000 nS	 -310.0000000 pS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 1.85820 uA	 -1.620 pA	 185.8200000 nA/um	 -162.0000000 fA/um	 4.400000000 nS	 440.0000000 pS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 1.85875 uA	 -1.419 pA	 185.8750000 nA/um	 -141.9000000 fA/um	 4.900000000 nS	 490.0000000 pS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 1.85869 uA	 -1.495 pA	 185.8690000 nA/um	 -149.5000000 fA/um	 -600.0000000 pS	 -60.00000000 pS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 1.85869 uA	 -1.466 pA	 185.8690000 nA/um	 -146.6000000 fA/um	 600.0000000 pS	 60.00000000 pS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 1.85875 uA	 -1.340 pA	 185.8750000 nA/um	 -134.0000000 fA/um	 3.200000000 nS	 320.0000000 pS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 1.85901 uA	 -1.509 pA	 185.9010000 nA/um	 -150.9000000 fA/um	 200.0000000 pS	 20.00000000 pS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 1.85877 uA	 -1.538 pA	 185.8770000 nA/um	 -153.8000000 fA/um	 300.0000000 pS	 30.00000000 pS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 1.85904 uA	 -1.381 pA	 185.9040000 nA/um	 -138.1000000 fA/um	 3.400000000 nS	 340.0000000 pS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 1.85911 uA	 -1.428 pA	 185.9110000 nA/um	 -142.8000000 fA/um	 500.0000000 pS	 50.00000000 pS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 1.85909 uA	 -1.468 pA	 185.9090000 nA/um	 -146.8000000 fA/um	 100.0000000 pS	 10.00000000 pS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 1.85912 uA	 -1.471 pA	 185.9120000 nA/um	 -147.1000000 fA/um	 0 S	 0 S/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 1.85909 uA	 -1.520 pA	 185.9090000 nA/um	 -152.0000000 fA/um	 0 S	 0 S/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 1.85912 uA	 -1.503 pA	 185.9120000 nA/um	 -150.3000000 fA/um	 -300.0000000 pS	 -30.00000000 pS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 1.85906 uA	 -1.455 pA	 185.9060000 nA/um	 -145.5000000 fA/um	 1.400000000 nS	 140.0000000 pS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 1.85926 uA	 -1.425 pA	 185.9260000 nA/um	 -142.5000000 fA/um	 6.500000000 nS	 650.0000000 pS/um
36	 -250.0 mV	 0 V	 10.00 mV	 0 V	 1.85971 uA	 -1.433 pA	 185.9710000 nA/um	 -143.3000000 fA/um	 5.100000000 nS	 510.0000000 pS/um
37	 -200.0 mV	 0 V	 10.00 mV	 0 V	 1.85977 uA	 -1.417 pA	 185.9770000 nA/um	 -141.7000000 fA/um	 1.400000000 nS	 140.0000000 pS/um
38	 -150.0 mV	 0 V	 10.00 mV	 0 V	 1.85985 uA	 -1.499 pA	 185.9850000 nA/um	 -149.9000000 fA/um	 300.0000000 pS	 30.00000000 pS/um
39	 -100.0 mV	 0 V	 10.00 mV	 0 V	 1.85980 uA	 -1.440 pA	 185.9800000 nA/um	 -144.0000000 fA/um	 200.0000000 pS	 20.00000000 pS/um
40	 -50.0 mV	 0 V	 10.00 mV	 0 V	 1.85987 uA	 -1.368 pA	 185.9870000 nA/um	 -136.8000000 fA/um	 -300.0000000 pS	 -30.00000000 pS/um
41	 0 V	 0 V	 10.00 mV	 0 V	 1.85977 uA	 -1.533 pA	 185.9770000 nA/um	 -153.3000000 fA/um	 9.400000000 nS	 940.0000000 pS/um
42	 50.0 mV	 0 V	 10.00 mV	 0 V	 1.86081 uA	 -1.471 pA	 186.0810000 nA/um	 -147.1000000 fA/um	 3.100000000 nS	 310.0000000 pS/um
43	 100.0 mV	 0 V	 10.00 mV	 0 V	 1.86008 uA	 -1.473 pA	 186.0080000 nA/um	 -147.3000000 fA/um	 -9.100000000 nS	 -910.0000000 pS/um
44	 150.0 mV	 0 V	 10.00 mV	 0 V	 1.85990 uA	 -1.510 pA	 185.9900000 nA/um	 -151.0000000 fA/um	 -700.0000000 pS	 -70.00000000 pS/um
45	 200.0 mV	 0 V	 10.00 mV	 0 V	 1.86001 uA	 -1.601 pA	 186.0010000 nA/um	 -160.1000000 fA/um	 -800.0000000 pS	 -80.00000000 pS/um
46	 250.0 mV	 0 V	 10.00 mV	 0 V	 1.85982 uA	 -1.479 pA	 185.9820000 nA/um	 -147.9000000 fA/um	 -3.900000000 nS	 -390.0000000 pS/um
47	 300.0 mV	 0 V	 10.00 mV	 0 V	 1.85962 uA	 -1.560 pA	 185.9620000 nA/um	 -156.0000000 fA/um	 3.200000000 nS	 320.0000000 pS/um
48	 350.0 mV	 0 V	 10.00 mV	 0 V	 1.86014 uA	 -1.443 pA	 186.0140000 nA/um	 -144.3000000 fA/um	 3.800000000 nS	 380.0000000 pS/um
49	 400.0 mV	 0 V	 10.00 mV	 0 V	 1.86000 uA	 -1.556 pA	 186.0000000 nA/um	 -155.6000000 fA/um	 1.700000000 nS	 170.0000000 pS/um
50	 450.0 mV	 0 V	 10.00 mV	 0 V	 1.86031 uA	 -1.442 pA	 186.0310000 nA/um	 -144.2000000 fA/um	 4.200000000 nS	 420.0000000 pS/um
51	 500.0 mV	 0 V	 10.00 mV	 0 V	 1.86042 uA	 -1.587 pA	 186.0420000 nA/um	 -158.7000000 fA/um	 7.300000000 nS	 730.0000000 pS/um
