Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 84.5180 uA	 8.451800000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 80.5300 uA	 8.053000000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 90.5270 uA	 9.052700000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 99.4740 uA	 9.947400000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 84.1510 uA	 8.415100000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 87.8840 uA	 8.788400000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 102.2490 uA	 10.22490000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 88.8970 uA	 8.889700000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 84.7470 uA	 8.474700000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 101.9160 uA	 10.19160000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 97.1050 uA	 9.710500000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 86.8700 uA	 8.687000000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 91.1760 uA	 9.117600000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 104.6200 uA	 10.46200000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 100.3130 uA	 10.03130000 uA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 89.1200 uA	 8.912000000 uA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 91.9580 uA	 9.195800000 uA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 107.3900 uA	 10.73900000 uA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 102.1000 uA	 10.21000000 uA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 90.9360 uA	 9.093600000 uA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 95.0650 uA	 9.506500000 uA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 108.0320 uA	 10.80320000 uA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 93.3030 uA	 9.330300000 uA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 97.8870 uA	 9.788700000 uA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 110.4670 uA	 11.04670000 uA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 103.7410 uA	 10.37410000 uA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 93.1240 uA	 9.312400000 uA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 110.0040 uA	 11.00040000 uA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 111.1570 uA	 11.11570000 uA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 96.2840 uA	 9.628400000 uA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 102.6550 uA	 10.26550000 uA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 105.890 uA	 10.58900000 uA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 115.450 uA	 11.54500000 uA/um
99	 2.0000 V	 0 V	 490.0 mV	 0 V	 99.580 uA	 9.958000000 uA/um
100	 2.0000 V	 0 V	 495.0 mV	 0 V	 102.590 uA	 10.25900000 uA/um
101	 2.0000 V	 0 V	 500.0 mV	 0 V	 116.500 uA	 11.65000000 uA/um
102	 2.0000 V	 0 V	 505.0 mV	 0 V	 112.640 uA	 11.26400000 uA/um
103	 2.0000 V	 0 V	 510.0 mV	 0 V	 97.530 uA	 9.753000000 uA/um
104	 2.0000 V	 0 V	 515.0 mV	 0 V	 117.750 uA	 11.77500000 uA/um
105	 2.0000 V	 0 V	 520.0 mV	 0 V	 111.470 uA	 11.14700000 uA/um
106	 2.0000 V	 0 V	 525.0 mV	 0 V	 97.870 uA	 9.787000000 uA/um
107	 2.0000 V	 0 V	 530.0 mV	 0 V	 119.090 uA	 11.90900000 uA/um
108	 2.0000 V	 0 V	 535.0 mV	 0 V	 112.550 uA	 11.25500000 uA/um
109	 2.0000 V	 0 V	 540.0 mV	 0 V	 100.130 uA	 10.01300000 uA/um
110	 2.0000 V	 0 V	 545.0 mV	 0 V	 120.970 uA	 12.09700000 uA/um
111	 2.0000 V	 0 V	 550.0 mV	 0 V	 113.350 uA	 11.33500000 uA/um
112	 2.0000 V	 0 V	 555.0 mV	 0 V	 98.290 uA	 9.829000000 uA/um
113	 2.0000 V	 0 V	 560.0 mV	 0 V	 119.300 uA	 11.93000000 uA/um
114	 2.0000 V	 0 V	 565.0 mV	 0 V	 120.100 uA	 12.01000000 uA/um
115	 2.0000 V	 0 V	 570.0 mV	 0 V	 101.320 uA	 10.13200000 uA/um
116	 2.0000 V	 0 V	 575.0 mV	 0 V	 108.010 uA	 10.80100000 uA/um
117	 2.0000 V	 0 V	 580.0 mV	 0 V	 126.460 uA	 12.64600000 uA/um
118	 2.0000 V	 0 V	 585.0 mV	 0 V	 111.700 uA	 11.17000000 uA/um
119	 2.0000 V	 0 V	 590.0 mV	 0 V	 100.210 uA	 10.02100000 uA/um
120	 2.0000 V	 0 V	 595.0 mV	 0 V	 120.860 uA	 12.08600000 uA/um
121	 2.0000 V	 0 V	 600.0 mV	 0 V	 125.630 uA	 12.56300000 uA/um
122	 2.0000 V	 0 V	 605.0 mV	 0 V	 109.320 uA	 10.93200000 uA/um
123	 2.0000 V	 0 V	 610.0 mV	 0 V	 101.980 uA	 10.19800000 uA/um
124	 2.0000 V	 0 V	 615.0 mV	 0 V	 125.120 uA	 12.51200000 uA/um
125	 2.0000 V	 0 V	 620.0 mV	 0 V	 125.370 uA	 12.53700000 uA/um
126	 2.0000 V	 0 V	 625.0 mV	 0 V	 107.370 uA	 10.73700000 uA/um
127	 2.0000 V	 0 V	 630.0 mV	 0 V	 109.880 uA	 10.98800000 uA/um
128	 2.0000 V	 0 V	 635.0 mV	 0 V	 128.110 uA	 12.81100000 uA/um
129	 2.0000 V	 0 V	 640.0 mV	 0 V	 124.110 uA	 12.41100000 uA/um
130	 2.0000 V	 0 V	 645.0 mV	 0 V	 105.730 uA	 10.57300000 uA/um
131	 2.0000 V	 0 V	 650.0 mV	 0 V	 115.690 uA	 11.56900000 uA/um
132	 2.0000 V	 0 V	 655.0 mV	 0 V	 130.700 uA	 13.07000000 uA/um
