Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 24.0751 mA	 -1.88093 uA	 2.407510000 mA/um	 -188.0930000 nA/um	 1.580000000 mS	 158.0000000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 24.1541 mA	 -1.88103 uA	 2.415410000 mA/um	 -188.1030000 nA/um	 1.601000000 mS	 160.1000000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 24.2352 mA	 -1.88164 uA	 2.423520000 mA/um	 -188.1640000 nA/um	 1.644000000 mS	 164.4000000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 24.3185 mA	 -1.88262 uA	 2.431850000 mA/um	 -188.2620000 nA/um	 1.681000000 mS	 168.1000000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 24.4033 mA	 -1.88368 uA	 2.440330000 mA/um	 -188.3680000 nA/um	 1.709000000 mS	 170.9000000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 24.4894 mA	 -1.88583 uA	 2.448940000 mA/um	 -188.5830000 nA/um	 1.757000000 mS	 175.7000000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 24.5790 mA	 -1.88819 uA	 2.457900000 mA/um	 -188.8190000 nA/um	 1.803000000 mS	 180.3000000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 24.6697 mA	 -1.89140 uA	 2.466970000 mA/um	 -189.1400000 nA/um	 1.851000000 mS	 185.1000000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 24.7641 mA	 -1.89516 uA	 2.476410000 mA/um	 -189.5160000 nA/um	 1.903000000 mS	 190.3000000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 24.8600 mA	 -1.89966 uA	 2.486000000 mA/um	 -189.9660000 nA/um	 1.940000000 mS	 194.0000000 uS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 24.9581 mA	 -1.90459 uA	 2.495810000 mA/um	 -190.4590000 nA/um	 1.987000000 mS	 198.7000000 uS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 25.0587 mA	 -1.91031 uA	 2.505870000 mA/um	 -191.0310000 nA/um	 2.041000000 mS	 204.1000000 uS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 25.1622 mA	 -1.91659 uA	 2.516220000 mA/um	 -191.6590000 nA/um	 2.098000000 mS	 209.8000000 uS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 25.2685 mA	 -1.92350 uA	 2.526850000 mA/um	 -192.3500000 nA/um	 2.152000000 mS	 215.2000000 uS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 25.3774 mA	 -1.93041 uA	 2.537740000 mA/um	 -193.0410000 nA/um	 2.197000000 mS	 219.7000000 uS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 25.4882 mA	 -1.93866 uA	 2.548820000 mA/um	 -193.8660000 nA/um	 2.253000000 mS	 225.3000000 uS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 25.6027 mA	 -1.94729 uA	 2.560270000 mA/um	 -194.7290000 nA/um	 2.313000000 mS	 231.3000000 uS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 25.7195 mA	 -1.95635 uA	 2.571950000 mA/um	 -195.6350000 nA/um	 2.374000000 mS	 237.4000000 uS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 25.8401 mA	 -1.96578 uA	 2.584010000 mA/um	 -196.5780000 nA/um	 2.442000000 mS	 244.2000000 uS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 25.9637 mA	 -1.97566 uA	 2.596370000 mA/um	 -197.5660000 nA/um	 2.496000000 mS	 249.6000000 uS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 26.0897 mA	 -1.98604 uA	 2.608970000 mA/um	 -198.6040000 nA/um	 2.555000000 mS	 255.5000000 uS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 26.2192 mA	 -1.99700 uA	 2.621920000 mA/um	 -199.7000000 nA/um	 2.635000000 mS	 263.5000000 uS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 26.3532 mA	 -2.00794 uA	 2.635320000 mA/um	 -200.7940000 nA/um	 2.704000000 mS	 270.4000000 uS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 26.4896 mA	 -2.01903 uA	 2.648960000 mA/um	 -201.9030000 nA/um	 2.778000000 mS	 277.8000000 uS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 26.6310 mA	 -2.03064 uA	 2.663100000 mA/um	 -203.0640000 nA/um	 2.855000000 mS	 285.5000000 uS/um
