Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 445.809 nA	 -601 fA	 44.58090000 nA/um	 -60.10000000 fA/um	 27.52000000 nS	 2.752000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 447.185 nA	 -702 fA	 44.71850000 nA/um	 -70.20000000 fA/um	 15.55000000 nS	 1.555000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 447.364 nA	 -715 fA	 44.73640000 nA/um	 -71.50000000 fA/um	 1.980000000 nS	 198.0000000 pS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 447.383 nA	 -820 fA	 44.73830000 nA/um	 -82.00000000 fA/um	 1.360000000 nS	 136.0000000 pS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 447.500 nA	 -803 fA	 44.75000000 nA/um	 -80.30000000 fA/um	 3.250000000 nS	 325.0000000 pS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 447.708 nA	 -1.049 pA	 44.77080000 nA/um	 -104.9000000 fA/um	 -9.540000000 nS	 -954.0000000 pS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 446.546 nA	 -942 fA	 44.65460000 nA/um	 -94.20000000 fA/um	 -9.340000000 nS	 -934.0000000 pS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 446.774 nA	 -840 fA	 44.67740000 nA/um	 -84.00000000 fA/um	 -1.660000000 nS	 -166.0000000 pS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 446.380 nA	 -695 fA	 44.63800000 nA/um	 -69.50000000 fA/um	 -3.700000000 nS	 -370.0000000 pS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 446.404 nA	 -796 fA	 44.64040000 nA/um	 -79.60000000 fA/um	 22.59000000 nS	 2.259000000 nS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 448.639 nA	 2.463 pA	 44.86390000 nA/um	 246.3000000 fA/um	 27.08000000 nS	 2.708000000 nS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 449.112 nA	 2.354 pA	 44.91120000 nA/um	 235.4000000 fA/um	 5.350000000 nS	 535.0000000 pS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 449.174 nA	 2.227 pA	 44.91740000 nA/um	 222.7000000 fA/um	 1.600000000 nS	 160.0000000 pS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 449.272 nA	 2.947 pA	 44.92720000 nA/um	 294.7000000 fA/um	 200.0000000 pS	 20.00000000 pS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 449.194 nA	 2.562 pA	 44.91940000 nA/um	 256.2000000 fA/um	 -2.100000000 nS	 -210.0000000 pS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 449.062 nA	 1.750 pA	 44.90620000 nA/um	 175.0000000 fA/um	 -1.100000000 nS	 -110.0000000 pS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 449.084 nA	 2.041 pA	 44.90840000 nA/um	 204.1000000 fA/um	 20.00000000 pS	 2.000000000 pS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 449.064 nA	 2.441 pA	 44.90640000 nA/um	 244.1000000 fA/um	 20.00000000 pS	 2.000000000 pS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 449.086 nA	 2.242 pA	 44.90860000 nA/um	 224.2000000 fA/um	 110.0000000 pS	 11.00000000 pS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 449.075 nA	 2.287 pA	 44.90750000 nA/um	 228.7000000 fA/um	 40.00000000 pS	 4.000000000 pS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 449.090 nA	 2.256 pA	 44.90900000 nA/um	 225.6000000 fA/um	 -1.550000000 nS	 -155.0000000 pS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 448.920 nA	 2.425 pA	 44.89200000 nA/um	 242.5000000 fA/um	 200.0000000 pS	 20.00000000 pS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 449.110 nA	 2.318 pA	 44.91100000 nA/um	 231.8000000 fA/um	 390.0000000 pS	 39.00000000 pS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 448.959 nA	 2.340 pA	 44.89590000 nA/um	 234.0000000 fA/um	 -1.280000000 nS	 -128.0000000 pS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 448.982 nA	 2.511 pA	 44.89820000 nA/um	 251.1000000 fA/um	 1.180000000 nS	 118.0000000 pS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 449.077 nA	 1.910 pA	 44.90770000 nA/um	 191.0000000 fA/um	 -1.710000000 nS	 -171.0000000 pS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 448.811 nA	 2.416 pA	 44.88110000 nA/um	 241.6000000 fA/um	 -1.730000000 nS	 -173.0000000 pS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 448.904 nA	 2.692 pA	 44.89040000 nA/um	 269.2000000 fA/um	 670.0000000 pS	 67.00000000 pS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 448.878 nA	 2.615 pA	 44.88780000 nA/um	 261.5000000 fA/um	 -490.0000000 pS	 -49.00000000 pS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 448.855 nA	 2.581 pA	 44.88550000 nA/um	 258.1000000 fA/um	 3.030000000 nS	 303.0000000 pS/um
