Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 1.27230 uA	 127.2300000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 34.0390 uA	 3.403900000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 42.2270 uA	 4.222700000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 102.4900 uA	 10.24900000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 101.320 uA	 10.13200000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 115.540 uA	 11.55400000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 226.490 uA	 22.64900000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 221.690 uA	 22.16900000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 163.830 uA	 16.38300000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 218.930 uA	 21.89300000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 366.170 uA	 36.61700000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 327.610 uA	 32.76100000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 223.450 uA	 22.34500000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 315.610 uA	 31.56100000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 490.310 uA	 49.03100000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 323.910 uA	 32.39100000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 340.220 uA	 34.02200000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 592.030 uA	 59.20300000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 496.960 uA	 49.69600000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 316.060 uA	 31.60600000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 506.070 uA	 50.60700000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 675.540 uA	 67.55400000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 484.910 uA	 48.49100000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 375.010 uA	 37.50100000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 775.950 uA	 77.59500000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 739.900 uA	 73.99000000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 484.050 uA	 48.40500000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 438.050 uA	 43.80500000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 883.530 uA	 88.35300000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 691.880 uA	 69.18800000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 437.540 uA	 43.75400000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 866.020 uA	 86.60200000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 925.540 uA	 92.55400000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 539.180 uA	 53.91800000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 610.020 uA	 61.00200000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 1.040790 mA	 104.0790000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 808.550 uA	 80.85500000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 472.870 uA	 47.28700000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 855.260 uA	 85.52600000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 1.091630 mA	 109.1630000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 839.670 uA	 83.96700000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 552.920 uA	 55.29200000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 1.068330 mA	 106.8330000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 1.001110 mA	 100.1110000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 531.490 uA	 53.14900000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 888.720 uA	 88.87200000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 808.30 uA	 80.83000000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 1.23580 mA	 123.5800000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 719.930 uA	 71.99300000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 642.20 uA	 64.22000000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 1.27180 mA	 127.1800000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 1.03020 mA	 103.0200000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 556.20 uA	 55.62000000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 1.19020 mA	 119.0200000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 1.12500 mA	 112.5000000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 587.20 uA	 58.72000000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 1.22500 mA	 122.5000000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 1.23310 mA	 123.3100000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 884.650 uA	 88.46500000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 857.00 uA	 85.70000000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 1.37490 mA	 137.4900000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 997.40 uA	 99.74000000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 655.00 uA	 65.50000000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 1.37800 mA	 137.8000000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 1.21980 mA	 121.9800000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 622.80 uA	 62.28000000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 1.18370 mA	 118.3700000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 1.38310 mA	 138.3100000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 638.20 uA	 63.82000000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 1.13220 mA	 113.2200000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 1.35120 mA	 135.1200000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 643.20 uA	 64.32000000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 1.22590 mA	 122.5900000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 1.20760 mA	 120.7600000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 666.60 uA	 66.66000000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 1.21200 mA	 121.2000000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 1.23460 mA	 123.4600000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 701.70 uA	 70.17000000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 1.48080 mA	 148.0800000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 1.28290 mA	 128.2900000 uA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 700.60 uA	 70.06000000 uA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 1.32930 mA	 132.9300000 uA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 1.33320 mA	 133.3200000 uA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 752.70 uA	 75.27000000 uA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 1.17950 mA	 117.9500000 uA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 1.45580 mA	 145.5800000 uA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 1.04790 mA	 104.7900000 uA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 828.70 uA	 82.87000000 uA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 1.51490 mA	 151.4900000 uA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 1.36800 mA	 136.8000000 uA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 751.60 uA	 75.16000000 uA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 1.28630 mA	 128.6300000 uA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 1.43030 mA	 143.0300000 uA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 890.30 uA	 89.03000000 uA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 1.03870 mA	 103.8700000 uA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 1.50470 mA	 150.4700000 uA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 1.17370 mA	 117.3700000 uA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 819.20 uA	 81.92000000 uA/um
