Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 18.9261 nA	 -12.4918 nA	 1.892610000 nA/um	 -1.249180000 nA/um	 -294.0000000 pS	 -29.40000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 18.9114 nA	 -12.4854 nA	 1.891140000 nA/um	 -1.248540000 nA/um	 -86.00000000 pS	 -8.600000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 18.9175 nA	 -12.4970 nA	 1.891750000 nA/um	 -1.249700000 nA/um	 -10.00000000 pS	 -1.000000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 18.9104 nA	 -12.4829 nA	 1.891040000 nA/um	 -1.248290000 nA/um	 -67.00000000 pS	 -6.700000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 18.9108 nA	 -12.4774 nA	 1.891080000 nA/um	 -1.247740000 nA/um	 -123.0000000 pS	 -12.30000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 18.8981 nA	 -12.4745 nA	 1.889810000 nA/um	 -1.247450000 nA/um	 -122.0000000 pS	 -12.20000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 18.8986 nA	 -12.4778 nA	 1.889860000 nA/um	 -1.247780000 nA/um	 204.0000000 pS	 20.40000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 18.9185 nA	 -12.4775 nA	 1.891850000 nA/um	 -1.247750000 nA/um	 153.0000000 pS	 15.30000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 18.9139 nA	 -12.4757 nA	 1.891390000 nA/um	 -1.247570000 nA/um	 -92.00000000 pS	 -9.200000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 18.9093 nA	 -12.4829 nA	 1.890930000 nA/um	 -1.248290000 nA/um	 -146.0000000 pS	 -14.60000000 pS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 18.8993 nA	 -12.4705 nA	 1.889930000 nA/um	 -1.247050000 nA/um	 -57.00000000 pS	 -5.700000000 pS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 18.9036 nA	 -12.4650 nA	 1.890360000 nA/um	 -1.246500000 nA/um	 4.000000000 pS	 400.0000000 fS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 18.8997 nA	 -12.4827 nA	 1.889970000 nA/um	 -1.248270000 nA/um	 -146.0000000 pS	 -14.60000000 pS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 18.8890 nA	 -12.4675 nA	 1.888900000 nA/um	 -1.246750000 nA/um	 -179.0000000 pS	 -17.90000000 pS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 18.8818 nA	 -12.4846 nA	 1.888180000 nA/um	 -1.248460000 nA/um	 11.00000000 pS	 1.100000000 pS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 18.8901 nA	 -12.4662 nA	 1.889010000 nA/um	 -1.246620000 nA/um	 265.0000000 pS	 26.50000000 pS/um
