Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 23.9819 nA	 -16.5351 nA	 2.398190000 nA/um	 -1.653510000 nA/um	 -494.0000000 pS	 -49.40000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 23.9572 nA	 -16.5822 nA	 2.395720000 nA/um	 -1.658220000 nA/um	 -145.0000000 pS	 -14.50000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 23.9674 nA	 -16.5390 nA	 2.396740000 nA/um	 -1.653900000 nA/um	 141.0000000 pS	 14.10000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 23.9713 nA	 -16.5539 nA	 2.397130000 nA/um	 -1.655390000 nA/um	 -108.0000000 pS	 -10.80000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 23.9566 nA	 -16.5789 nA	 2.395660000 nA/um	 -1.657890000 nA/um	 -20.00000000 pS	 -2.000000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 23.9693 nA	 -16.5811 nA	 2.396930000 nA/um	 -1.658110000 nA/um	 129.0000000 pS	 12.90000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 23.9695 nA	 -16.5805 nA	 2.396950000 nA/um	 -1.658050000 nA/um	 -40.00000000 pS	 -4.000000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 23.9653 nA	 -16.5952 nA	 2.396530000 nA/um	 -1.659520000 nA/um	 -65.00000000 pS	 -6.500000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 23.9630 nA	 -16.5568 nA	 2.396300000 nA/um	 -1.655680000 nA/um	 0 S	 0 S/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 23.9653 nA	 -16.5555 nA	 2.396530000 nA/um	 -1.655550000 nA/um	 4.000000000 pS	 400.0000000 fS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 23.9634 nA	 -16.5395 nA	 2.396340000 nA/um	 -1.653950000 nA/um	 -59.00000000 pS	 -5.900000000 pS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 23.9594 nA	 -16.5732 nA	 2.395940000 nA/um	 -1.657320000 nA/um	 5.000000000 pS	 500.0000000 fS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 23.9639 nA	 -16.5786 nA	 2.396390000 nA/um	 -1.657860000 nA/um	 -37.00000000 pS	 -3.700000000 pS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 23.9557 nA	 -16.5669 nA	 2.395570000 nA/um	 -1.656690000 nA/um	 -104.0000000 pS	 -10.40000000 pS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 23.9535 nA	 -16.5581 nA	 2.395350000 nA/um	 -1.655810000 nA/um	 73.00000000 pS	 7.300000000 pS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 23.9630 nA	 -16.5507 nA	 2.396300000 nA/um	 -1.655070000 nA/um	 30.00000000 pS	 3.000000000 pS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 23.9565 nA	 -16.5480 nA	 2.395650000 nA/um	 -1.654800000 nA/um	 -82.00000000 pS	 -8.200000000 pS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 23.9548 nA	 -16.5687 nA	 2.395480000 nA/um	 -1.656870000 nA/um	 -13.00000000 pS	 -1.300000000 pS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 23.9552 nA	 -16.5342 nA	 2.395520000 nA/um	 -1.653420000 nA/um	 139.0000000 pS	 13.90000000 pS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 23.9687 nA	 -16.5480 nA	 2.396870000 nA/um	 -1.654800000 nA/um	 -174.0000000 pS	 -17.40000000 pS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 23.9378 nA	 -16.5091 nA	 2.393780000 nA/um	 -1.650910000 nA/um	 -360.0000000 pS	 -36.00000000 pS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 23.9327 nA	 -16.5433 nA	 2.393270000 nA/um	 -1.654330000 nA/um	 124.0000000 pS	 12.40000000 pS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 23.9502 nA	 -16.5656 nA	 2.395020000 nA/um	 -1.656560000 nA/um	 81.00000000 pS	 8.100000000 pS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 23.9408 nA	 -16.5489 nA	 2.394080000 nA/um	 -1.654890000 nA/um	 -165.0000000 pS	 -16.50000000 pS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 23.9337 nA	 -16.5377 nA	 2.393370000 nA/um	 -1.653770000 nA/um	 76.00000000 pS	 7.600000000 pS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 23.9484 nA	 -16.5488 nA	 2.394840000 nA/um	 -1.654880000 nA/um	 89.00000000 pS	 8.900000000 pS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 23.9426 nA	 -16.5324 nA	 2.394260000 nA/um	 -1.653240000 nA/um	 54.00000000 pS	 5.400000000 pS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 23.9538 nA	 -16.5831 nA	 2.395380000 nA/um	 -1.658310000 nA/um	 48.00000000 pS	 4.800000000 pS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 23.9474 nA	 -16.5567 nA	 2.394740000 nA/um	 -1.655670000 nA/um	 -119.0000000 pS	 -11.90000000 pS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 23.9419 nA	 -16.5757 nA	 2.394190000 nA/um	 -1.657570000 nA/um	 -40.00000000 pS	 -4.000000000 pS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 23.9434 nA	 -16.5795 nA	 2.394340000 nA/um	 -1.657950000 nA/um	 23.00000000 pS	 2.300000000 pS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 23.9442 nA	 -16.5682 nA	 2.394420000 nA/um	 -1.656820000 nA/um	 -43.00000000 pS	 -4.300000000 pS/um
