Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 6.376 pA	 -4.298 pA	 637.6000000 fA/um	 -429.8000000 fA/um	 -16.08000000 pS	 -1.608000000 pS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 5.572 pA	 -4.127 pA	 557.2000000 fA/um	 -412.7000000 fA/um	 -7.230000000 pS	 -723.0000000 fS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 5.653 pA	 -4.399 pA	 565.3000000 fA/um	 -439.9000000 fA/um	 2.030000000 pS	 203.0000000 fS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 5.775 pA	 -4.301 pA	 577.5000000 fA/um	 -430.1000000 fA/um	 -1.560000000 pS	 -156.0000000 fS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 5.497 pA	 -4.350 pA	 549.7000000 fA/um	 -435.0000000 fA/um	 -360.0000000 fS	 -36.00000000 fS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 5.739 pA	 -4.414 pA	 573.9000000 fA/um	 -441.4000000 fA/um	 1.910000000 pS	 191.0000000 fS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 5.688 pA	 -4.414 pA	 568.8000000 fA/um	 -441.4000000 fA/um	 -160.0000000 fS	 -16.00000000 fS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 5.723 pA	 -4.174 pA	 572.3000000 fA/um	 -417.4000000 fA/um	 90.00000000 fS	 9.000000000 fS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 5.697 pA	 -4.463 pA	 569.7000000 fA/um	 -446.3000000 fA/um	 430.0000000 fS	 43.00000000 fS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 5.766 pA	 -4.499 pA	 576.6000000 fA/um	 -449.9000000 fA/um	 1.190000000 pS	 119.0000000 fS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 5.816 pA	 -4.524 pA	 581.6000000 fA/um	 -452.4000000 fA/um	 -1.090000000 pS	 -109.0000000 fS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 5.657 pA	 -4.350 pA	 565.7000000 fA/um	 -435.0000000 fA/um	 -1.200000000 pS	 -120.0000000 fS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 5.696 pA	 -4.465 pA	 569.6000000 fA/um	 -446.5000000 fA/um	 30.00000000 fS	 3.000000000 fS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 5.660 pA	 -4.349 pA	 566.0000000 fA/um	 -434.9000000 fA/um	 540.0000000 fS	 54.00000000 fS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 5.750 pA	 -4.444 pA	 575.0000000 fA/um	 -444.4000000 fA/um	 150.0000000 fS	 15.00000000 fS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 5.675 pA	 -4.498 pA	 567.5000000 fA/um	 -449.8000000 fA/um	 -390.0000000 fS	 -39.00000000 fS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 5.711 pA	 -4.184 pA	 571.1000000 fA/um	 -418.4000000 fA/um	 1.080000000 pS	 108.0000000 fS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 5.783 pA	 -4.410 pA	 578.3000000 fA/um	 -441.0000000 fA/um	 -320.0000000 fS	 -32.00000000 fS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 5.679 pA	 -4.260 pA	 567.9000000 fA/um	 -426.0000000 fA/um	 -3.450000000 pS	 -345.0000000 fS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 5.438 pA	 -4.019 pA	 543.8000000 fA/um	 -401.9000000 fA/um	 -2.450000000 pS	 -245.0000000 fS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 5.434 pA	 -4.501 pA	 543.4000000 fA/um	 -450.1000000 fA/um	 480.0000000 fS	 48.00000000 fS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 5.486 pA	 -4.291 pA	 548.6000000 fA/um	 -429.1000000 fA/um	 3.240000000 pS	 324.0000000 fS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 5.758 pA	 -4.200 pA	 575.8000000 fA/um	 -420.0000000 fA/um	 520.0000000 fS	 52.00000000 fS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 5.538 pA	 -4.459 pA	 553.8000000 fA/um	 -445.9000000 fA/um	 -2.110000000 pS	 -211.0000000 fS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 5.547 pA	 -4.360 pA	 554.7000000 fA/um	 -436.0000000 fA/um	 870.0000000 fS	 87.00000000 fS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 5.625 pA	 -4.128 pA	 562.5000000 fA/um	 -412.8000000 fA/um	 -330.0000000 fS	 -33.00000000 fS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 5.514 pA	 -4.355 pA	 551.4000000 fA/um	 -435.5000000 fA/um	 -480.0000000 fS	 -48.00000000 fS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 5.577 pA	 -4.400 pA	 557.7000000 fA/um	 -440.0000000 fA/um	 90.00000000 fS	 9.000000000 fS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 5.523 pA	 -4.241 pA	 552.3000000 fA/um	 -424.1000000 fA/um	 -1.170000000 pS	 -117.0000000 fS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 5.460 pA	 -4.354 pA	 546.0000000 fA/um	 -435.4000000 fA/um	 860.0000000 fS	 86.00000000 fS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 5.609 pA	 -4.348 pA	 560.9000000 fA/um	 -434.8000000 fA/um	 540.0000000 fS	 54.00000000 fS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 5.514 pA	 -4.334 pA	 551.4000000 fA/um	 -433.4000000 fA/um	 -1.280000000 pS	 -128.0000000 fS/um
