Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 21.364 pA	 -9.495 pA	 2.136400000 pA/um	 -949.5000000 fA/um	 -8.720000000 pS	 -872.0000000 fS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 20.928 pA	 -8.806 pA	 2.092800000 pA/um	 -880.6000000 fA/um	 -6.740000000 pS	 -674.0000000 fS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 20.690 pA	 -9.460 pA	 2.069000000 pA/um	 -946.0000000 fA/um	 -1.120000000 pS	 -112.0000000 fS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 20.816 pA	 -9.432 pA	 2.081600000 pA/um	 -943.2000000 fA/um	 2.670000000 pS	 267.0000000 fS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 20.957 pA	 -9.777 pA	 2.095700000 pA/um	 -977.7000000 fA/um	 -2.060000000 pS	 -206.0000000 fS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 20.610 pA	 -9.131 pA	 2.061000000 pA/um	 -913.1000000 fA/um	 -80.00000000 fS	 -8.000000000 fS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 20.949 pA	 -9.771 pA	 2.094900000 pA/um	 -977.1000000 fA/um	 1.960000000 pS	 196.0000000 fS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 20.806 pA	 -8.889 pA	 2.080600000 pA/um	 -888.9000000 fA/um	 -450.0000000 fS	 -45.00000000 fS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 20.904 pA	 -9.864 pA	 2.090400000 pA/um	 -986.4000000 fA/um	 2.040000000 pS	 204.0000000 fS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 21.010 pA	 -9.388 pA	 2.101000000 pA/um	 -938.8000000 fA/um	 70.00000000 fS	 7.000000000 fS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 20.911 pA	 -9.538 pA	 2.091100000 pA/um	 -953.8000000 fA/um	 970.0000000 fS	 97.00000000 fS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 21.107 pA	 -9.975 pA	 2.110700000 pA/um	 -997.5000000 fA/um	 -2.010000000 pS	 -201.0000000 fS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 20.710 pA	 -10.180 pA	 2.071000000 pA/um	 -1.018000000 pA/um	 -4.400000000 pS	 -440.0000000 fS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 20.667 pA	 -11.257 pA	 2.066700000 pA/um	 -1.125700000 pA/um	 1.550000000 pS	 155.0000000 fS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 20.865 pA	 -9.703 pA	 2.086500000 pA/um	 -970.3000000 fA/um	 8.360000000 pS	 836.0000000 fS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 21.503 pA	 -9.497 pA	 2.150300000 pA/um	 -949.7000000 fA/um	 3.850000000 pS	 385.0000000 fS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 21.250 pA	 -10.284 pA	 2.125000000 pA/um	 -1.028400000 pA/um	 -5.560000000 pS	 -556.0000000 fS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 20.947 pA	 -9.689 pA	 2.094700000 pA/um	 -968.9000000 fA/um	 -2.460000000 pS	 -246.0000000 fS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 21.004 pA	 -9.460 pA	 2.100400000 pA/um	 -946.0000000 fA/um	 -1.900000000 pS	 -190.0000000 fS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 20.757 pA	 -9.253 pA	 2.075700000 pA/um	 -925.3000000 fA/um	 2.870000000 pS	 287.0000000 fS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 21.291 pA	 -9.885 pA	 2.129100000 pA/um	 -988.5000000 fA/um	 6.580000000 pS	 658.0000000 fS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 21.415 pA	 -10.039 pA	 2.141500000 pA/um	 -1.003900000 pA/um	 -3.740000000 pS	 -374.0000000 fS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 20.917 pA	 -9.822 pA	 2.091700000 pA/um	 -982.2000000 fA/um	 -5.780000000 pS	 -578.0000000 fS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 20.837 pA	 -9.451 pA	 2.083700000 pA/um	 -945.1000000 fA/um	 -4.080000000 pS	 -408.0000000 fS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 20.509 pA	 -9.248 pA	 2.050900000 pA/um	 -924.8000000 fA/um	 1.630000000 pS	 163.0000000 fS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 21.000 pA	 -8.687 pA	 2.100000000 pA/um	 -868.7000000 fA/um	 4.180000000 pS	 418.0000000 fS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 20.927 pA	 -9.441 pA	 2.092700000 pA/um	 -944.1000000 fA/um	 -2.430000000 pS	 -243.0000000 fS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 20.757 pA	 -9.468 pA	 2.075700000 pA/um	 -946.8000000 fA/um	 1.050000000 pS	 105.0000000 fS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 21.032 pA	 -9.853 pA	 2.103200000 pA/um	 -985.3000000 fA/um	 2.760000000 pS	 276.0000000 fS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 21.033 pA	 -8.869 pA	 2.103300000 pA/um	 -886.9000000 fA/um	 4.520000000 pS	 452.0000000 fS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 21.484 pA	 -9.223 pA	 2.148400000 pA/um	 -922.3000000 fA/um	 7.290000000 pS	 729.0000000 fS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 21.762 pA	 -9.945 pA	 2.176200000 pA/um	 -994.5000000 fA/um	 480.0000000 fS	 48.00000000 fS/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 21.532 pA	 -10.037 pA	 2.153200000 pA/um	 -1.003700000 pA/um	 -5.780000000 pS	 -578.0000000 fS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 21.184 pA	 -10.736 pA	 2.118400000 pA/um	 -1.073600000 pA/um	 870.0000000 fS	 87.00000000 fS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 21.619 pA	 -9.381 pA	 2.161900000 pA/um	 -938.1000000 fA/um	 400.0000000 fS	 40.00000000 fS/um
