Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 58.3310 nA	 5.833100000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 1.11560 uA	 111.5600000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 1.62440 uA	 162.4400000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 3.36430 uA	 336.4300000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 4.65690 uA	 465.6900000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 4.00520 uA	 400.5200000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 5.81740 uA	 581.7400000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 8.50340 uA	 850.3400000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 6.81800 uA	 681.8000000 nA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 7.63900 uA	 763.9000000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 8.8860 uA	 888.6000000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 13.3400 uA	 1.334000000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 10.5590 uA	 1.055900000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 10.8750 uA	 1.087500000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 16.6410 uA	 1.664100000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 15.5980 uA	 1.559800000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 11.9270 uA	 1.192700000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 17.6210 uA	 1.762100000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 20.4910 uA	 2.049100000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 15.0260 uA	 1.502600000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 15.5090 uA	 1.550900000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 22.2250 uA	 2.222500000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 23.4210 uA	 2.342100000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 16.5990 uA	 1.659900000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 18.8120 uA	 1.881200000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 27.0630 uA	 2.706300000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 23.3550 uA	 2.335500000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 18.7350 uA	 1.873500000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 22.7910 uA	 2.279100000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 31.8460 uA	 3.184600000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 21.2740 uA	 2.127400000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 24.4110 uA	 2.441100000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 34.6780 uA	 3.467800000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 25.6130 uA	 2.561300000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 23.8900 uA	 2.389000000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 35.8050 uA	 3.580500000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 32.9610 uA	 3.296100000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 24.2200 uA	 2.422000000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 29.4270 uA	 2.942700000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 40.5210 uA	 4.052100000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 31.4510 uA	 3.145100000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 26.1260 uA	 2.612600000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 34.6630 uA	 3.466300000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 40.5370 uA	 4.053700000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 28.1210 uA	 2.812100000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 32.9570 uA	 3.295700000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 46.0260 uA	 4.602600000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 32.9270 uA	 3.292700000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 31.4260 uA	 3.142600000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 46.5150 uA	 4.651500000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 44.5790 uA	 4.457900000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 32.9240 uA	 3.292400000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 36.2130 uA	 3.621300000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 51.0510 uA	 5.105100000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 45.2320 uA	 4.523200000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 33.2500 uA	 3.325000000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 46.0220 uA	 4.602200000 uA/um
