Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 870 fA	 -1.700 pA	 87.00000000 fA/um	 -170.0000000 fA/um	 -3.340000000 pS	 -334.0000000 fS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 703 fA	 -1.357 pA	 70.30000000 fA/um	 -135.7000000 fA/um	 -5.540000000 pS	 -554.0000000 fS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 316 fA	 -1.570 pA	 31.60000000 fA/um	 -157.0000000 fA/um	 -3.800000000 pS	 -380.0000000 fS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 323 fA	 -1.574 pA	 32.30000000 fA/um	 -157.4000000 fA/um	 -1.310000000 pS	 -131.0000000 fS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 185 fA	 -2.794 pA	 18.50000000 fA/um	 -279.4000000 fA/um	 -1.700000000 pS	 -170.0000000 fS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 153 fA	 -2.001 pA	 15.30000000 fA/um	 -200.1000000 fA/um	 1.220000000 pS	 122.0000000 fS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 307 fA	 -1.371 pA	 30.70000000 fA/um	 -137.1000000 fA/um	 4.660000000 pS	 466.0000000 fS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 619 fA	 -1.976 pA	 61.90000000 fA/um	 -197.6000000 fA/um	 2.680000000 pS	 268.0000000 fS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 575 fA	 -1.864 pA	 57.50000000 fA/um	 -186.4000000 fA/um	 -3.740000000 pS	 -374.0000000 fS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 245 fA	 -1.735 pA	 24.50000000 fA/um	 -173.5000000 fA/um	 -4.220000000 pS	 -422.0000000 fS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 153 fA	 -1.792 pA	 15.30000000 fA/um	 -179.2000000 fA/um	 1.810000000 pS	 181.0000000 fS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 426 fA	 -1.925 pA	 42.60000000 fA/um	 -192.5000000 fA/um	 -600.0000000 fS	 -60.00000000 fS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 93 fA	 -1.928 pA	 9.300000000 fA/um	 -192.8000000 fA/um	 -1.500000000 pS	 -150.0000000 fS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 276 fA	 -1.558 pA	 27.60000000 fA/um	 -155.8000000 fA/um	 2.300000000 pS	 230.0000000 fS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 323 fA	 -1.967 pA	 32.30000000 fA/um	 -196.7000000 fA/um	 -2.280000000 pS	 -228.0000000 fS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 48 fA	 -1.837 pA	 4.800000000 fA/um	 -183.7000000 fA/um	 3.870000000 pS	 387.0000000 fS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 710 fA	 -1.225 pA	 71.00000000 fA/um	 -122.5000000 fA/um	 21.69000000 pS	 2.169000000 pS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 2.217 pA	 -2.502 pA	 221.7000000 fA/um	 -250.2000000 fA/um	 -7.710000000 pS	 -771.0000000 fS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 -61 fA	 -490 fA	 -6.100000000 fA/um	 -49.00000000 fA/um	 -20.84000000 pS	 -2.084000000 pS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 133 fA	 -1.547 pA	 13.30000000 fA/um	 -154.7000000 fA/um	 5.710000000 pS	 571.0000000 fS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 510 fA	 -1.951 pA	 51.00000000 fA/um	 -195.1000000 fA/um	 2.230000000 pS	 223.0000000 fS/um
