Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 -23.5050 nA	 -2.350500000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 -21.9240 nA	 -2.192400000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 -20.2750 nA	 -2.027500000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 -20.0920 nA	 -2.009200000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 -17.8320 nA	 -1.783200000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 -16.8440 nA	 -1.684400000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 -15.9670 nA	 -1.596700000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 -14.0220 nA	 -1.402200000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 -13.7260 nA	 -1.372600000 nA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 -12.7020 nA	 -1.270200000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 -11.3510 nA	 -1.135100000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 -10.8200 nA	 -1.082000000 nA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 -9.8420 nA	 -984.2000000 pA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 -9.17850 nA	 -917.8500000 pA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 -8.36240 nA	 -836.2400000 pA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 -7.38470 nA	 -738.4700000 pA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 -6.88480 nA	 -688.4800000 pA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 -6.58000 nA	 -658.0000000 pA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 -5.74590 nA	 -574.5900000 pA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 -5.13110 nA	 -513.1100000 pA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 -4.84770 nA	 -484.7700000 pA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 -4.40930 nA	 -440.9300000 pA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 -3.85800 nA	 -385.8000000 pA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 -3.50010 nA	 -350.0100000 pA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 -3.28570 nA	 -328.5700000 pA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 -2.92330 nA	 -292.3300000 pA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 -2.51260 nA	 -251.2600000 pA/um
