Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
28	 850.0 mV	 0 V	 1.0000 V	 0 V	 253.374 uA	 51.60000000 uS
29	 900.0 mV	 0 V	 1.0000 V	 0 V	 256.110 uA	 57.56000000 uS
30	 950.0 mV	 0 V	 1.0000 V	 0 V	 259.130 uA	 65.34000000 uS
31	 1.0000 V	 0 V	 1.0000 V	 0 V	 262.644 uA	 73.63000000 uS
32	 1.0500 V	 0 V	 1.0000 V	 0 V	 266.493 uA	 82.78000000 uS
33	 1.1000 V	 0 V	 1.0000 V	 0 V	 270.922 uA	 93.36000000 uS
34	 1.1500 V	 0 V	 1.0000 V	 0 V	 275.829 uA	 99.98000000 uS
35	 1.2000 V	 0 V	 1.0000 V	 0 V	 280.920 uA	 107.4500000 uS
36	 1.2500 V	 0 V	 1.0000 V	 0 V	 286.574 uA	 117.7500000 uS
37	 1.3000 V	 0 V	 1.0000 V	 0 V	 292.695 uA	 126.1800000 uS
38	 1.3500 V	 0 V	 1.0000 V	 0 V	 299.192 uA	 134.5300000 uS
39	 1.4000 V	 0 V	 1.0000 V	 0 V	 306.148 uA	 141.6800000 uS
40	 1.4500 V	 0 V	 1.0000 V	 0 V	 313.360 uA	 149.0700000 uS
41	 1.5000 V	 0 V	 1.0000 V	 0 V	 321.055 uA	 156.5400000 uS
42	 1.5500 V	 0 V	 1.0000 V	 0 V	 329.014 uA	 161.0800000 uS
43	 1.6000 V	 0 V	 1.0000 V	 0 V	 337.163 uA	 167.1300000 uS
44	 1.6500 V	 0 V	 1.0000 V	 0 V	 345.727 uA	 172.8300000 uS
45	 1.7000 V	 0 V	 1.0000 V	 0 V	 354.446 uA	 177.7700000 uS
46	 1.7500 V	 0 V	 1.0000 V	 0 V	 363.504 uA	 180.3200000 uS
47	 1.8000 V	 0 V	 1.0000 V	 0 V	 372.478 uA	 184.0400000 uS
48	 1.8500 V	 0 V	 1.0000 V	 0 V	 381.908 uA	 191.5300000 uS
49	 1.9000 V	 0 V	 1.0000 V	 0 V	 391.631 uA	 193.4800000 uS
50	 1.9500 V	 0 V	 1.0000 V	 0 V	 401.256 uA	 198.9000000 uS
51	 2.0000 V	 0 V	 1.0000 V	 0 V	 411.521 uA	 201.3200000 uS
52	 2.0500 V	 0 V	 1.0000 V	 0 V	 421.388 uA	 201.8200000 uS
53	 2.1000 V	 0 V	 1.0000 V	 0 V	 431.703 uA	 205.8500000 uS
54	 2.1500 V	 0 V	 1.0000 V	 0 V	 441.973 uA	 208.4700000 uS
55	 2.2000 V	 0 V	 1.0000 V	 0 V	 452.550 uA	 210.2500000 uS
56	 2.2500 V	 0 V	 1.0000 V	 0 V	 462.998 uA	 211.3800000 uS
57	 2.3000 V	 0 V	 1.0000 V	 0 V	 473.688 uA	 213.2500000 uS
58	 2.3500 V	 0 V	 1.0000 V	 0 V	 484.323 uA	 215.4900000 uS
59	 2.4000 V	 0 V	 1.0000 V	 0 V	 495.237 uA	 216.7800000 uS
60	 2.4500 V	 0 V	 1.0000 V	 0 V	 506.001 uA	 216.7700000 uS
61	 2.5000 V	 0 V	 1.0000 V	 0 V	 516.914 uA	 218.8500000 uS
62	 2.5500 V	 0 V	 1.0000 V	 0 V	 527.886 uA	 218.5900000 uS
63	 2.6000 V	 0 V	 1.0000 V	 0 V	 538.773 uA	 217.3800000 uS
64	 2.6500 V	 0 V	 1.0000 V	 0 V	 549.624 uA	 217.6700000 uS
65	 2.7000 V	 0 V	 1.0000 V	 0 V	 560.540 uA	 218.9300000 uS
66	 2.7500 V	 0 V	 1.0000 V	 0 V	 571.517 uA	 218.7300000 uS
67	 2.8000 V	 0 V	 1.0000 V	 0 V	 582.413 uA	 217.0100000 uS
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 593.218 uA	 217.9200000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 604.205 uA	 218.1500000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 615.033 uA	 215.5200000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 625.757 uA	 216.6400000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 636.697 uA	 216.5800000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 647.415 uA	 212.8500000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 657.982 uA	 212.5900000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 668.674 uA	 213.5300000 uS
76	 3.2500 V	 0 V	 1.0000 V	 0 V	 679.335 uA	 209.0300000 uS
77	 3.3000 V	 0 V	 1.0000 V	 0 V	 689.577 uA	 213.7000000 uS
78	 3.3500 V	 0 V	 1.0000 V	 0 V	 700.705 uA	 217.4100000 uS
79	 3.4000 V	 0 V	 1.0000 V	 0 V	 711.318 uA	 209.2300000 uS
80	 3.4500 V	 0 V	 1.0000 V	 0 V	 721.628 uA	 206.7700000 uS
81	 3.5000 V	 0 V	 1.0000 V	 0 V	 731.995 uA	 208.5500000 uS
82	 3.5500 V	 0 V	 1.0000 V	 0 V	 742.483 uA	 208.2000000 uS
83	 3.6000 V	 0 V	 1.0000 V	 0 V	 752.815 uA	 203.6200000 uS
84	 3.6500 V	 0 V	 1.0000 V	 0 V	 762.845 uA	 205.2200000 uS
85	 3.7000 V	 0 V	 1.0000 V	 0 V	 773.337 uA	 206.7100000 uS
86	 3.7500 V	 0 V	 1.0000 V	 0 V	 783.516 uA	 202.5900000 uS
87	 3.8000 V	 0 V	 1.0000 V	 0 V	 793.596 uA	 200.2600000 uS
88	 3.8500 V	 0 V	 1.0000 V	 0 V	 803.542 uA	 198.9900000 uS
89	 3.9000 V	 0 V	 1.0000 V	 0 V	 813.495 uA	 198.4800000 uS
90	 3.9500 V	 0 V	 1.0000 V	 0 V	 823.390 uA	 197.4500000 uS
91	 4.0000 V	 0 V	 1.0000 V	 0 V	 833.240 uA	 197.2200000 uS
92	 4.0500 V	 0 V	 1.0000 V	 0 V	 843.112 uA	 197.7700000 uS
93	 4.1000 V	 0 V	 1.0000 V	 0 V	 853.017 uA	 193.5300000 uS
94	 4.1500 V	 0 V	 1.0000 V	 0 V	 862.465 uA	 189.2800000 uS
95	 4.2000 V	 0 V	 1.0000 V	 0 V	 871.945 uA	 192.3300000 uS
96	 4.2500 V	 0 V	 1.0000 V	 0 V	 881.698 uA	 192.3700000 uS
97	 4.3000 V	 0 V	 1.0000 V	 0 V	 891.182 uA	 187.6300000 uS
98	 4.3500 V	 0 V	 1.0000 V	 0 V	 900.461 uA	 187.9400000 uS
99	 4.4000 V	 0 V	 1.0000 V	 0 V	 909.976 uA	 186.3000000 uS
100	 4.4500 V	 0 V	 1.0000 V	 0 V	 919.091 uA	 184.4700000 uS
101	 4.5000 V	 0 V	 1.0000 V	 0 V	 928.423 uA	 188.5900000 uS
102	 4.5500 V	 0 V	 1.0000 V	 0 V	 937.950 uA	 186.3200000 uS
103	 4.6000 V	 0 V	 1.0000 V	 0 V	 947.055 uA	 181.8500000 uS
104	 4.6500 V	 0 V	 1.0000 V	 0 V	 956.135 uA	 181.0200000 uS
105	 4.7000 V	 0 V	 1.0000 V	 0 V	 965.157 uA	 182.2100000 uS
106	 4.7500 V	 0 V	 1.0000 V	 0 V	 974.356 uA	 181.3800000 uS
107	 4.8000 V	 0 V	 1.0000 V	 0 V	 983.295 uA	 177.9100000 uS
108	 4.8500 V	 0 V	 1.0000 V	 0 V	 992.147 uA	 176.7900000 uS
109	 4.9000 V	 0 V	 1.0000 V	 0 V	 1.000974 mA	 176.4600000 uS
110	 4.9500 V	 0 V	 1.0000 V	 0 V	 1.009793 mA	 175.4700000 uS
111	 5.0000 V	 0 V	 1.0000 V	 0 V	 1.018521 mA	 174.5600000 uS
