Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 1.0000 V	 0 V	 235.187 uA	 4.980000000 uS
2	 -450.0 mV	 0 V	 1.0000 V	 0 V	 235.436 uA	 4.800000000 uS
3	 -400.0 mV	 0 V	 1.0000 V	 0 V	 235.667 uA	 4.690000000 uS
4	 -350.0 mV	 0 V	 1.0000 V	 0 V	 235.905 uA	 4.220000000 uS
5	 -300.0 mV	 0 V	 1.0000 V	 0 V	 236.089 uA	 3.990000000 uS
6	 -250.0 mV	 0 V	 1.0000 V	 0 V	 236.304 uA	 4.780000000 uS
7	 -200.0 mV	 0 V	 1.0000 V	 0 V	 236.567 uA	 5.400000000 uS
8	 -150.0 mV	 0 V	 1.0000 V	 0 V	 236.844 uA	 4.980000000 uS
9	 -100.0 mV	 0 V	 1.0000 V	 0 V	 237.065 uA	 4.900000000 uS
10	 -50.0 mV	 0 V	 1.0000 V	 0 V	 237.334 uA	 5.870000000 uS
11	 0 V	 0 V	 1.0000 V	 0 V	 237.652 uA	 6.130000000 uS
12	 50.0 mV	 0 V	 1.0000 V	 0 V	 237.947 uA	 6.110000000 uS
13	 100.0 mV	 0 V	 1.0000 V	 0 V	 238.263 uA	 6.270000000 uS
14	 150.0 mV	 0 V	 1.0000 V	 0 V	 238.574 uA	 6.850000000 uS
15	 200.0 mV	 0 V	 1.0000 V	 0 V	 238.948 uA	 7.110000000 uS
16	 250.0 mV	 0 V	 1.0000 V	 0 V	 239.285 uA	 7.810000000 uS
17	 300.0 mV	 0 V	 1.0000 V	 0 V	 239.729 uA	 10.24000000 uS
18	 350.0 mV	 0 V	 1.0000 V	 0 V	 240.309 uA	 11.45000000 uS
19	 400.0 mV	 0 V	 1.0000 V	 0 V	 240.874 uA	 12.28000000 uS
20	 450.0 mV	 0 V	 1.0000 V	 0 V	 241.537 uA	 15.09000000 uS
21	 500.0 mV	 0 V	 1.0000 V	 0 V	 242.383 uA	 17.85000000 uS
22	 550.0 mV	 0 V	 1.0000 V	 0 V	 243.322 uA	 20.32000000 uS
23	 600.0 mV	 0 V	 1.0000 V	 0 V	 244.415 uA	 23.29000000 uS
24	 650.0 mV	 0 V	 1.0000 V	 0 V	 245.651 uA	 27.41000000 uS
25	 700.0 mV	 0 V	 1.0000 V	 0 V	 247.156 uA	 32.41000000 uS
26	 750.0 mV	 0 V	 1.0000 V	 0 V	 248.892 uA	 37.94000000 uS
27	 800.0 mV	 0 V	 1.0000 V	 0 V	 250.950 uA	 44.82000000 uS
